#JusticeForDisha,#justiceforSushanthSinghRajput,513
#EvidencesScreamMurder,#ArrestSSRKillersNow,111
#Justice4SSRIsGlobalDemand,#JusticeForDisha,128
#Rhea,#KanganaRanuat,7
#2BrutalMurders,#JusticeForDisha,1128
#ArrestSSRKillersNow,#EvidencesScreamMurder,165
#2BrutalMurders,#EvidencesScreamMurder,92
#HomicideAngleExplodes,#JusticeForDisha,5
#SSRVisceraTruthNow,#SSRAIIMSReport,19
#SSR,#EvidencesScreamMurder,31
#DishaSalian,#JusticeForDisha,745
#RightToReport,#ArrestSSRKillersNow,8
#Justice4SSRIsGlobalDemand,#ArrestDishaSSRKillers,36
#KanganaRanuat,#JusticeForSSR,28
#JusticeForSSR,#JusticeForDisha,1180
#ExposeDishaSalianCase,#ArrestDishaSSRKillers,13
#justiceforSushanthSinghRajput,#ArrestSSRKillersNow,22
#RightToReport,#EvidencesScreamMurder,5
#RightToReport,#ArrestDishaSSRKillers,5
#SSRVisceraTruthNow,#JusticeForDisha,688
#ArrestDishaSSRKillers,#ArrestCulpritsOfSSR,51
#SSR,#Rhea,48
#SSR,#JusticeForSSR,52
#Justice4SSRIsGlobalDemand,#EvidencesScreamMurder,29
#ExposeDishaSalianCase,#SSRVisceraTruthNow,30
#2BrutalMurders,#ExposeDishaSalianCase,1143
#EvidencesScreamMurder,#SSRVisceraTruthNow,4230
#ExposeDishaSalianCase,#EvidencesScreamMurder,156
#ArrestDishaSSRKillers,#JusticeForDisha,79
#SSR,#KanganaRanaut,60
#SSRVisceraTruthNow,#justiceforSushanthSinghRajput,19
#EvidencesScreamMurder,#JusticeForDisha,3757
#SushantSinghRajput,#DishaSalian,232
#ArrestSSRKillersNow,#Justice4SSRIsGlobalDemand,37
#SSR,#SushantSinghRajput,82
#ArrestSSRKillersNow,#JusticeForDisha,34
#2BrutalMurders,#SSRVisceraTruthNow,29
#Justice4SSRIsGlobalDemand,#ArrestSSRKillersNow,37
#EvidencesScreamMurder,#ExposeDishaSalianCase,117
#ExposeDishaSalianCase,#ArrestSSRKillersNow,25
#SSRAIIMSReport,#ArrestDishaSSRKillers,22
#2BrutalMurders,#ArrestSSRKillersNow,48
#justiceforSushanthSinghRajput,#JusticeForDisha,472
#2BrutalMurders,#ArrestCulpritsOfSSR,17
#JusticeForSSR,#KanganaRanaut,216
#JusticeForDisha,#Justice4SSRIsGlobalDemand,128
#Justice4SSRIsGlobalDemand,#justiceforSushanthSinghRajput,15
#SSRAIIMSReport,#SSRVisceraTruthNow,19
#ExposeDishaSalianCase,#RightToReport,10
#Maharashtra,#JusticeForDisha,35
#2BrutalMurders,#ArrestDishaSSRKillers,36
#SSRAIIMSReport,#justiceforSushanthSinghRajput,13
#CBI,#KanganaRanaut,21
#SSR,#CBI,44
#RightToReport,#ExposeDishaSalianCase,10
#EvidencesScreamMurder,#JusticeForSSR,756
#SSRVisceraTruthNow,#ArrestDishaSSRKillers,22
#KanganaRanaut,#JusticeForSSR,186
#JusticeForDisha,#EvidencesScreamMurder,4098
#justiceforSushanthSinghRajput,#ArrestDishaSSRKillers,56
#HomicideAngleExplodes,#ArrestSSRKillersNow,4
#Rhea,#KanganaRanaut,24
#ArrestCulpritsOfSSR,#justiceforSushanthSinghRajput,33
#SSR,#DishaSalian,538
#ArrestDishaSSRKillers,#EvidencesScreamMurder,120
#SSRVisceraTruthNow,#ArrestSSRKillersNow,21
#2BrutalMurders,#Justice4SSRIsGlobalDemand,19
#HomicideAngleExplodes,#justiceforSushanthSinghRajput,1
#DishaSalian,#SushantSinghRajput,280
#justiceforSushanthSinghRajput,#ArrestCulpritsOfSSR,36
#JusticeForDisha,#DishaSalian,662
#JusticeForSSR,#EvidencesScreamMurder,756
#EvidencesScreamMurder,#SushantSinghRajput,102
#EvidencesScreamMurder,#ArrestDishaSSRKillers,166
src,dst,count
#CBI,#DishaSalian,26
#ArrestSSRKillersNow,#ArrestDishaSSRKillers,147
#DishaSalian,#JusticeForSSR,48
#SSR,#JusticeForDisha,153
#SushantSinghRajput,#EvidencesScreamMurder,136
#KanganaRanuat,#SushantSinghRajput,26
#JusticeForDisha,#SSRVisceraTruthNow,840
#2BrutalMurders,#RightToReport,131
#ArrestDishaSSRKillers,#ArrestSSRKillersNow,180
#ExposeDishaSalianCase,#JusticeForDisha,1314
#2BrutalMurders,#justiceforSushanthSinghRajput,21
#CBI,#SushantSinghRajput,47
#2BrutalMurders,#HomicideAngleExplodes,56
#SSR,#KanganaRanuat,30
#SSR,#WhatATragedy,104
#HomicideAngleExplodes,#EvidencesScreamMurder,2
#WarriorsRoar4SSR,#JusticeForSSR,40
#SSRVisceraTruthNow,#EvidencesScreamMurder,4230
#HomicideAngleExplodes,#ExposeDishaSalianCase,1
#2BrutalMurders,#SSRAIIMSReport,15
#HomicideAngleExplodes,#RightToReport,2
#SushantSinghRajput,#CBI,47
#RightToReport,#JusticeForDisha,9
#justiceforSushanthSinghRajput,#EvidencesScreamMurder,165
#JusticeForDisha,#ExposeDishaSalianCase,1206
#EvidencesScreamMurder,#justiceforSushanthSinghRajput,138
#JusticeForDisha,#JusticeForSSR,1284
#SSR,#Maharashtra,37
#ArrestCulpritsOfSSR,#ArrestDishaSSRKillers,51
#SSR,#WarriorsRoar4SSR,89
#SSRAIIMSReport,#ArrestCulpritsOfSSR,13
#Rhea,#SushantSinghRajput,13
#ArrestDishaSSRKillers,#justiceforSushanthSinghRajput,56
