src,dst,count
#2BrutalMurders,@iRaviTiwari,3535
@iRaviTiwari,@republic,2156
@iRaviTiwari,@Imkgauravmishra,651
@iRaviTiwari,@Dhann_shree,454
@iRaviTiwari,@rupali0023,392
@iRaviTiwari,@belikevinayak,385
@iRaviTiwari,@Republic_Bharat,105
#2BrutalMurders,@Remember2ndOct,482
@Remember2ndOct,@republic,73
@Remember2ndOct,@Neil_Panchtilak,38
#2BrutalMurders,@AkKanpur,251
@AkKanpur,@republic,5
@AkKanpur,@rupali0023,1
#2BrutalMurders,@Neil_Panchtilak,117
@Neil_Panchtilak,@Remember2ndOct,38
#2BrutalMurders,@republic,78
@republic,@Republic_Bharat,12216
#2BrutalMurders,@Brand_AtulNamo,74
@Brand_AtulNamo,@iRaviTiwari,1
#2BrutalMurders,@Imkgauravmishra,70
@Imkgauravmishra,@iRaviTiwari,704
@Imkgauravmishra,@rupali0023,466
@Imkgauravmishra,@belikevinayak,442
@Imkgauravmishra,@Dhann_shree,442
@Imkgauravmishra,@republic,245
@Imkgauravmishra,@Republic_Bharat,38
@Imkgauravmishra,@lostsoul_apu,32
#2BrutalMurders,@rupali0023,69
@rupali0023,@republic,808
@rupali0023,@Republic_Bharat,792
@rupali0023,@Dhann_shree,498
@rupali0023,@belikevinayak,488
@rupali0023,@iRaviTiwari,476
@rupali0023,@Imkgauravmishra,427
@rupali0023,@lostsoul_apu,97
#2BrutalMurders,@vikashranjan,69
@vikashranjan,@republic,63
@vikashranjan,@lostsoul_apu,27
@vikashranjan,@Imkgauravmishra,24
@vikashranjan,@rupali0023,16
@vikashranjan,@iRaviTiwari,8
@vikashranjan,@Remember2ndOct,6
#2BrutalMurders,@Dhann_shree,65
@Dhann_shree,@iRaviTiwari,372
@Dhann_shree,@Imkgauravmishra,362
@Dhann_shree,@rupali0023,354
@Dhann_shree,@belikevinayak,328
@Dhann_shree,@lostsoul_apu,29
@Dhann_shree,@EvaPhoenix,14
@Dhann_shree,@republic,9
#2BrutalMurders,@EvaPhoenix,63
@EvaPhoenix,@Dhann_shree,14
@EvaPhoenix,@rupali0023,14
@EvaPhoenix,@lostsoul_apu,12
#2BrutalMurders,@Akanksh66792121,49
@Akanksh66792121,@JennieSakamoto,30
@Akanksh66792121,@Remember2ndOct,10
#2BrutalMurders,@Ekalavya230,49
@Ekalavya230,@republic,1
#2BrutalMurders,@Officiall_Sonu,47
@Officiall_Sonu,@rupali0023,3
@Officiall_Sonu,@republic,1
#2BrutalMurders,@RiyushaA95,45
@RiyushaA95,@republic,141
@RiyushaA95,@Republic_Bharat,65
@RiyushaA95,@lostsoul_apu,7
#2BrutalMurders,@Republic_Bharat,43
@Republic_Bharat,@republic,12320
@Republic_Bharat,@rupali0023,792
@Republic_Bharat,@lostsoul_apu,188
#2BrutalMurders,@JennieSakamoto,29
@JennieSakamoto,@Akanksh66792121,40
@JennieSakamoto,@belikevinayak,6
@JennieSakamoto,@lostsoul_apu,6
@JennieSakamoto,@republic,4
#2BrutalMurders,@belikevinayak,26
@belikevinayak,@rupali0023,488
@belikevinayak,@iRaviTiwari,469
@belikevinayak,@Imkgauravmishra,402
@belikevinayak,@Dhann_shree,368
@belikevinayak,@republic,23
@belikevinayak,@lostsoul_apu,15
#2BrutalMurders,@meastik,23
@meastik,@lostsoul_apu,3
@meastik,@Remember2ndOct,2
#2BrutalMurders,@lostsoul_apu,22
@lostsoul_apu,@republic,838
@lostsoul_apu,@Republic_Bharat,139
@lostsoul_apu,@rupali0023,95
