src,dst,count
#Armenia,#Azerbaijan,28873
#Azerbaijan,#Turkey,28585
#Azerbaijan,#Artsakh,19120
#Azerbaijan,#StopAzerbaijaniAggression,11208
#Azerbaijan,#ArtsakhStrong,11124
#Azerbaijan,#Karabakh,10791
#Azerbaijan,#NagornoKarabakh,8940
#Azerbaijan,#NKpeace,6458
#Azerbaijan,#StopAliyev,5760
#Armenia,#Turkey,23569
#Turkey,#Azerbaijan,28597
#Turkey,#StopAzerbaijaniAggression,9384
#Turkey,#Artsakh,8125
#Turkey,#ArtsakhStrong,7776
#Turkey,#NagornoKarabakh,6913
#Turkey,#StopAliyev,4524
#Turkey,#NKpeace,4513
#Armenia,#ArtsakhStrong,12600
#ArtsakhStrong,#StopAzerbaijaniAggression,22860
#ArtsakhStrong,#NKpeace,12420
#ArtsakhStrong,#StopAliyev,12204
#ArtsakhStrong,#Azerbaijan,11124
#ArtsakhStrong,#Turkey,7776
#ArtsakhStrong,#NagornoKarabakh,6888
#ArtsakhStrong,#Artsakh,6276
#Armenia,#StopAzerbaijaniAggression,12456
#StopAzerbaijaniAggression,#ArtsakhStrong,22848
#StopAzerbaijaniAggression,#StopAliyev,14448
#StopAzerbaijaniAggression,#Azerbaijan,11208
#StopAzerbaijaniAggression,#NKpeace,9552
#StopAzerbaijaniAggression,#Turkey,9384
#StopAzerbaijaniAggression,#Artsakh,7512
#StopAzerbaijaniAggression,#NagornoKarabakh,5328
#Armenia,#Artsakh,11101
#Artsakh,#Azerbaijan,19106
#Artsakh,#Turkey,8125
#Artsakh,#StopAzerbaijaniAggression,7512
#Artsakh,#ArtsakhStrong,6288
#Artsakh,#Karabakh,4729
#Artsakh,#NagornoKarabakh,3912
#Artsakh,#NKpeace,3577
#Armenia,#NagornoKarabakh,8006
#NagornoKarabakh,#Azerbaijan,8928
#NagornoKarabakh,#Turkey,6912
#NagornoKarabakh,#ArtsakhStrong,6888
#NagornoKarabakh,#StopAzerbaijaniAggression,5328
#NagornoKarabakh,#Artsakh,3912
#NagornoKarabakh,#StopAliyev,3780
#NagornoKarabakh,#NKpeace,3732
#Armenia,#NKpeace,6013
#NKpeace,#ArtsakhStrong,12420
#NKpeace,#StopAzerbaijaniAggression,7970
#NKpeace,#StopAliyev,7669
#NKpeace,#Azerbaijan,6446
#NKpeace,#Karabakh,4849
#NKpeace,#Turkey,4513
#NKpeace,#NagornoKarabakh,3732
#NKpeace,#Artsakh,3577
#Armenia,#StopAliyev,5136
#StopAliyev,#StopAzerbaijaniAggression,14460
#StopAliyev,#ArtsakhStrong,12204
#StopAliyev,#NKpeace,7645
#StopAliyev,#Azerbaijan,5760
#StopAliyev,#Turkey,4524
#StopAliyev,#NagornoKarabakh,3780
#StopAliyev,#Karabakh,3612
#Armenia,#Karabakh,4197
#Karabakh,#Azerbaijan,10791
#Karabakh,#ArtsakhStrong,5460
#Karabakh,#NKpeace,4849
#Karabakh,#Artsakh,4729
#Karabakh,#StopAzerbaijaniAggression,3876
#Karabakh,#StopAliyev,3612
#Karabakh,#Turkey,2831
#Armenia,#Turkish,3873
#Turkish,#Azerbaijan,1541
#Turkish,#Artsakh,1475
#Turkish,#Turkey,567
#Turkish,#StopAzerbaijaniAggression,462
#Turkish,#ArtsakhStrong,192
