src,dst,count
#Azerbaijan,#Armenia,5865
#Armenia,#Turkey,4229
#Armenia,#ArtsakhStrong,2375
#Armenia,#StopAzerbaijaniAggression,1814
#Armenia,#Artsakh,1762
#Armenia,#Vardenis,1470
#Armenia,#NagornoKarabakh,1327
#Armenia,#NKpeace,1070
#Armenia,#Azerbaijani,1045
#Armenia,#StopAliyev,911
#Armenia,#Armenian,888
#Armenia,#Karabakh,734
#Armenia,#Syrian,691
#Armenia,#Stepanakert,378
#Armenia,#Azerbaijaniaggression,356
#Armenia,#Pakistan,338
#Armenia,#KarabakhNow,320
#Armenia,#Arstakh,286
#Azerbaijan,#Turkey,5752
#Turkey,#Armenia,4121
#Turkey,#Syria,3033
#Turkey,#Pakistan,2826
#Turkey,#ArtsakhStrong,1694
#Turkey,#StopAzerbaijaniAggression,1350
#Turkey,#Artsakh,1220
#Turkey,#NagornoKarabakh,951
#Turkey,#Karabakh,826
#Turkey,#Syrian,762
#Turkey,#NKpeace,552
#Azerbaijan,#NagornoKarabakh,2855
#NagornoKarabakh,#Vardenis,1669
#NagornoKarabakh,#Armenia,1293
#NagornoKarabakh,#Turkey,949
#NagornoKarabakh,#ArtsakhStrong,847
#NagornoKarabakh,#StopAzerbaijaniAggression,741
#NagornoKarabakh,#NKpeace,663
#NagornoKarabakh,#Artsakh,538
#NagornoKarabakh,#StopAliyev,516
#NagornoKarabakh,#Stepanakert,377
#NagornoKarabakh,#KarabakhNow,253
#NagornoKarabakh,#NKPeace,252
#NagornoKarabakh,#Karabakh,249
#NagornoKarabakh,#Azerbaijaniaggression,207
#NagornoKarabakh,#Arstakh,159
#NagornoKarabakh,#Azerbaijani,130
#Azerbaijan,#ArtsakhStrong,2635
#ArtsakhStrong,#StopAzerbaijaniAggression,3480
#ArtsakhStrong,#Armenia,2375
#ArtsakhStrong,#StopAliyev,1936
#ArtsakhStrong,#Turkey,1730
#ArtsakhStrong,#NKpeace,1295
#ArtsakhStrong,#Artsakh,1102
#ArtsakhStrong,#NagornoKarabakh,873
#ArtsakhStrong,#DefendArtsakh,813
#ArtsakhStrong,#Karabakh,766
#ArtsakhStrong,#Stepanakert,571
#ArtsakhStrong,#Syrian,559
#ArtsakhStrong,#Azerbaijaniaggression,557
#ArtsakhStrong,#Azerbaijani,469
#ArtsakhStrong,#KarabakhNow,456
#Azerbaijan,#Vardenis,2331
#Vardenis,#NagornoKarabakh,1668
#Vardenis,#Armenia,1465
#Vardenis,#Azerbaijani,990
#Vardenis,#Turkey,299
#Vardenis,#StopAzerbaijaniAggression,247
#Vardenis,#ArtsakhStrong,180
#Vardenis,#Armenian,167
#Vardenis,#Artsakh,159
#Vardenis,#StopAliyev,141
#Vardenis,#NKpeace,96
#Vardenis,#Karabakh,36
#Azerbaijan,#StopAzerbaijaniAggression,1979
#StopAzerbaijaniAggression,#ArtsakhStrong,3484
#StopAzerbaijaniAggression,#StopAliyev,2388
#StopAzerbaijaniAggression,#Armenia,1813
#StopAzerbaijaniAggression,#Turkey,1349
#StopAzerbaijaniAggression,#Artsakh,1239
#StopAzerbaijaniAggression,#NKpeace,1082
#StopAzerbaijaniAggression,#DefendArtsakh,858
#StopAzerbaijaniAggression,#Karabakh,751
#StopAzerbaijaniAggression,#NagornoKarabakh,741
#StopAzerbaijaniAggression,#Azerbaijani,550
#StopAzerbaijaniAggression,#Azerbaijaniaggression,388
#StopAzerbaijaniAggression,#Martakert,336
#Azerbaijan,#Artsakh,1801
#Artsakh,#Armenia,1760
#Artsakh,#Turkey,1252
#Artsakh,#StopAzerbaijaniAggression,1240
#Artsakh,#ArtsakhStrong,1102
#Artsakh,#StopAliyev,732
#Artsakh,#Karabakh,589
#Artsakh,#NagornoKarabakh,560
#Artsakh,#Azerbaijani,473
#Artsakh,#NKpeace,388
#Artsakh,#DefendArtsakh,327
#Artsakh,#Martakert,279
#Artsakh,#Smerch,275
#Artsakh,#Stepanakert,245
#Artsakh,#Armenian,204
#Artsakh,#NKPeace,170
#Artsakh,#Vardenis,159
#Azerbaijan,#Karabakh,1341
#Karabakh,#Turkey,826
#Karabakh,#ArtsakhStrong,766
#Karabakh,#StopAzerbaijaniAggression,750
#Karabakh,#Armenia,734
#Karabakh,#Artsakh,589
#Karabakh,#StopAliyev,484
#Karabakh,#NKpeace,414
#Karabakh,#KarabakhNow,252
#Karabakh,#NagornoKarabakh,249
#Karabakh,#Azerbaijaniaggression,220
#Karabakh,#Stepanakert,166
#Karabakh,#Arstakh,159
#Karabakh,#Azerbaijani,94
#Karabakh,#Armenian,86
#Karabakh,#Syria,78
#Azerbaijan,#NKpeace,1335
#NKpeace,#ArtsakhStrong,1295
#NKpeace,#StopAzerbaijaniAggression,1079
#NKpeace,#Armenia,1070
#NKpeace,#StopAliyev,709
#NKpeace,#NagornoKarabakh,663
#NKpeace,#Turkey,552
#NKpeace,#KarabakhNow,458
#NKpeace,#Azerbaijaniaggression,425
#NKpeace,#Karabakh,414
#NKpeace,#Artsakh,388
#NKpeace,#Stepanakert,352
