src,dst,count
#Azerbaijan,@tcsavunma,2772
#Azerbaijan,@sharafyan_a,1020
#Azerbaijan,@wwwmodgovaz,801
#Azerbaijan,@mfankr,630
@mfankr,@armenia,1
#Azerbaijan,@FrankSchwabe,604
#Azerbaijan,@armnewstoday,592
#Azerbaijan,@algalitsky,559
@algalitsky,@Pres_Artsakh,2
#Azerbaijan,@narecus,516
#Azerbaijan,@ShStepanyan,499
@ShStepanyan,@ArmenianUnified,8
@ShStepanyan,@armenia,8
@ShStepanyan,@razminfo,5
#Azerbaijan,@ArmenianUnified,430
@ArmenianUnified,@armenia,14
@ArmenianUnified,@ShStepanyan,8
@ArmenianUnified,@Pres_Artsakh,2
#Azerbaijan,@razminfo,408
@razminfo,@ShStepanyan,5
@razminfo,@ArmenianUnified,1
#Azerbaijan,@Pres_Artsakh,351
@Pres_Artsakh,@ArmenianUnified,2
@Pres_Artsakh,@algalitsky,2
#Azerbaijan,@SirushoOfficial,272
#Azerbaijan,@Kornelij,246
#Azerbaijan,@ManeAdamian,231
#Azerbaijan,@Hayrapetyan_M,224
#Azerbaijan,@armenia,200
@armenia,@ArmenianUnified,14
@armenia,@ShStepanyan,8
#Azerbaijan,@ChrisBohjalian,150
#Azerbaijan,@drapr007,146
@drapr007,@armenia,2
#Azerbaijan,@BabakTaghvaee1,143
