src,dst,count
#BTS,#iHeartFestival2020,19453
#iHeartFestival2020,#Dynamite,107
#iHeartFestival2020,#BTSARMY,67
#iHeartFestival2020,#BTS_Dynamite,33
#BTS,#Dynamite,11986
#Dynamite,#BTS_Dynamite,6369
#Dynamite,#BTSDynamite,4010
#Dynamite,#iHeartFestival2020,107
#Dynamite,#BTSARMY,77
#Dynamite,#방탄소년단,27
#BTS,#BTS_Dynamite,9705
#BTS_Dynamite,#Dynamite,5350
#BTS_Dynamite,#BTSDynamite,3929
#BTS_Dynamite,#BTSARMY,1282
#BTS_Dynamite,#Artistoftheyear,575
#BTS,#방탄소년단,9645
#방탄소년단,#BTSARMY,333
#방탄소년단,#BTS_Dynamite,37
#방탄소년단,#Dynamite,27
#BTS,#GlobalDigitalArtistRank,9303
#BTS,#IU,7550
#BTS,#Artistoftheyear,6361
#Artistoftheyear,#ArianaGrande,5659
#Artistoftheyear,#TheWeeknd,5652
#BTS,#BTSARMY,6272
#BTSARMY,#BTS_Dynamite,1252
#BTSARMY,#Artistoftheyear,620
#BTSARMY,#방탄소년단,177
#BTS,#TheWeeknd,5859
#TheWeeknd,#Artistoftheyear,5645
#TheWeeknd,#ArianaGrande,5633
#TheWeeknd,#Dynamite,18
#BTS,#ArianaGrande,5654
#ArianaGrande,#Artistoftheyear,5660
#ArianaGrande,#TheWeeknd,5653
#BTS,#BTSDynamite,4446
#BTSDynamite,#BTS_Dynamite,4198
#BTSDynamite,#Dynamite,3442
#BTSDynamite,#BTSARMY,8
#BTSDynamite,#방탄소년단,3
#BTS,#AGT,1923
#AGT,#Dynamite,3
#AGT,#iHeartFestival2020,1
