src,dst,count
#BTSWEEK,#BTSonFallon_D2,92
#BTSonFallon_D2,#Debates2020,15
#BTSonFallon_D2,#explosion,11
#BTSonFallon_D2,#BTS,8
#BTSonFallon_D2,#shutupman,7
#BTSonFallon_D2,#TheStealer1stWin,6
#BTSonFallon_D2,#Trump,6
#BTSonFallon_D2,#ARMY,4
#BTSonFallon_D2,#BTS1onHot100,4
#BTSWEEK,#explosion,22
#explosion,#Debates2020,1536
#explosion,#shutupman,860
#explosion,#BabriDemolitionCase,280
#BTSWEEK,#Debates2020,18
#Debates2020,#explosion,1536
#Debates2020,#shutupman,1404
#Debates2020,#Trump,1383
#BTSWEEK,#BTS,13
#BTS,#방탄소년단,87093
#BTS,#BTSARMY,7012
#BTSWEEK,#TheStealer1stWin,6
#TheStealer1stWin,#explosion,120
#TheStealer1stWin,#BabriDemolitionCase,50
#TheStealer1stWin,#ImranKhanMustMeetQasim,15
#TheStealer1stWin,#shutupman,12
#TheStealer1stWin,#Debates2020,7
#BTSWEEK,#Trump,5
#Trump,#Debates2020,1383
#BTSWEEK,#BTS1onHot100,5
#BTS1onHot100,#BTS,13
#BTS1onHot100,#BTSARMY,8
#BTS1onHot100,#ARMY,4
#BTS1onHot100,#shutupman,4
#BTS1onHot100,#Trump,4
#BTS1onHot100,#JUNGKOOK,4
#BTS1onHot100,#JIMIN,4
#BTS1onHot100,#Debates2020,4
#BTSWEEK,#BTSxVariety,5
#BTSxVariety,#BTS,882
#BTSxVariety,#방탄소년단,860
#BTSxVariety,#BTSARMY,11
#BTSxVariety,#ARMY,3
#BTSxVariety,#KCAMexico,2
#BTSxVariety,#JIMIN,2
#BTSWEEK,#방탄소년단,5
#방탄소년단,#BTS,87059
#방탄소년단,#BTSxVariety,688
#방탄소년단,#BTSARMY,359
#방탄소년단,#JIMIN,16
#방탄소년단,#JUNGKOOK,14
#BTSWEEK,#ARMY,4
#ARMY,#KCAMexico,50458
#ARMY,#OnBTS,42300
#ARMY,#BTS,391
#ARMY,#BTSARMY,103
#BTSWEEK,#JIMIN,4
#JIMIN,#BTS,577
#JIMIN,#JUNGKOOK,243
#JIMIN,#방탄소년단,16
#JIMIN,#BTSARMY,7
#BTSWEEK,#shutupman,4
#shutupman,#Debates2020,1287
#shutupman,#explosion,860
#shutupman,#BabriDemolitionCase,28
#shutupman,#Trump,26
#BTSWEEK,#KCAMexico,4
#KCAMexico,#OnBTS,189730
#KCAMexico,#ARMY,49054
#KCAMexico,#BTS,2535
#BTSWEEK,#OnBTS,4
#OnBTS,#KCAMexico,178572
#OnBTS,#ARMY,38085
#OnBTS,#BTS,968
#OnBTS,#BTSARMY,79
#BTSWEEK,#BabriDemolitionCase,4
#BabriDemolitionCase,#explosion,140
#BabriDemolitionCase,#shutupman,56
#BabriDemolitionCase,#TheStealer1stWin,25
#BTSWEEK,#JUNGKOOK,4
#JUNGKOOK,#BTS,510
#JUNGKOOK,#JIMIN,480
#JUNGKOOK,#Trump,16
#JUNGKOOK,#방탄소년단,14
#BTSWEEK,#BTSonFallon,4
#BTSonFallon,#방탄소년단,1
#BTSonFallon,#BTS,1
#BTSWEEK,#BTSARMY,3
#BTSARMY,#BTS,7199
#BTSARMY,#방탄소년단,190
#BTSARMY,#ARMY,103
#BTSARMY,#OnBTS,79
#BTSARMY,#KCAMexico,55
#BTSWEEK,#FridayLivestream,3
#BTSWEEK,#ImranKhanMustMeetQasim,3
#ImranKhanMustMeetQasim,#explosion,23
#ImranKhanMustMeetQasim,#BabriDemolitionCase,17
#ImranKhanMustMeetQasim,#TheStealer1stWin,15
#ImranKhanMustMeetQasim,#Debates2020,11
