src,dst,count
#COVID19,@govkristinoem,2231
@govkristinoem,@realDonaldTrump,5
@govkristinoem,@POTUS,3
#COVID19,@realDonaldTrump,623
@realDonaldTrump,@JoeBiden,21177
@realDonaldTrump,@POTUS,14518
#COVID19,@DrGJackBrown,191
@DrGJackBrown,@JoeBiden,867
@DrGJackBrown,@realDonaldTrump,2
#COVID19,@WHO,166
@WHO,@UN,1779
@WHO,@UNICEF,405
@WHO,@realDonaldTrump,48
#COVID19,@TrinityResists,156
@TrinityResists,@realDonaldTrump,150
#COVID19,@JoeBiden,137
@JoeBiden,@realDonaldTrump,21201
@JoeBiden,@POTUS,1724
#COVID19,@SenatorDurbin,137
@SenatorDurbin,@JoeBiden,3
@SenatorDurbin,@realDonaldTrump,2
#COVID19,@DrEricDing,107
@DrEricDing,@realDonaldTrump,11
#COVID19,@UNICEF,102
@UNICEF,@UN,767
@UNICEF,@WHO,444
@UNICEF,@realDonaldTrump,6
#COVID19,@BryanDawsonUSA,97
@BryanDawsonUSA,@realDonaldTrump,9
@BryanDawsonUSA,@JoeBiden,6
#COVID19,@Laurie_Garrett,86
#COVID19,@student0P,86
#COVID19,@POTUS,82
@POTUS,@realDonaldTrump,18154
@POTUS,@JoeBiden,1670
#COVID19,@GordonGChang,75
@GordonGChang,@realDonaldTrump,6
@GordonGChang,@POTUS,4
#COVID19,@UN,68
@UN,@WHO,1777
@UN,@UNICEF,767
@UN,@realDonaldTrump,661
#COVID19,@RebelNewsOnline,61
#COVID19,@mburufleitas,59
#COVID19,@YourAnonCentral,57
@YourAnonCentral,@realDonaldTrump,54
#COVID19,@ANI,56
#COVID19,@dhershiser,55
