src,dst,count
#COVID19,$1307621801044799488,5
#COVID19,$93071854,4
#COVID19,$241563938,3
#COVID19,$88869834,3
#COVID19,$1266712307641573377,2
#COVID19,$1078069559129718785,2
#COVID19,$1902206046,2
#COVID19,$1083892419328962562,2
#COVID19,$1273360963950071815,2
#COVID19,$1263542845031485448,2
#COVID19,$908321280,2
#COVID19,$593813785,2
#COVID19,$825099239730581507,2
#COVID19,$60065029,2
#COVID19,$1305093076705189888,2
#COVID19,$32917190,2
#COVID19,$2244469873,2
#COVID19,$911226731113172994,2
#COVID19,$1190009851285520385,2
#COVID19,$740928906,2
#COVID19,$19133683,2
#COVID19,$50843943,2
#COVID19,$952247125185720320,2
#COVID19,$514937433,2
#COVID19,$175042044,2
