src,dst,count
#Corona,#Bollywood,1212
#Corona,#COVID19,925
#COVID19,#coronavirus,7463
#COVID19,#Coronavirus,1641
#COVID19,#Trump,976
#Corona,#AfD,567
#AfD,#COVID19,408
#AfD,#Dessau,365
#AfD,#Spreading,362
#AfD,#Trump,33
#Corona,#COVID__19,493
#COVID__19,#COVID19,442
#COVID__19,#coronavirus,347
#COVID__19,#Coronavirus,194
#Corona,#Dessau,407
#Dessau,#AfD,455
#Dessau,#COVID19,362
#Dessau,#Spreading,317
#Corona,#Zweitewelle,364
#Zweitewelle,#coronavirus,1
#Zweitewelle,#Covid_19,1
#Corona,#Spreading,362
#Spreading,#Dessau,407
#Spreading,#COVID19,407
#Spreading,#AfD,407
#Corona,#Scholz,321
#Scholz,#AfD,3
#Corona,#BILD,306
#BILD,#Studie,281
#BILD,#AfD,2
#BILD,#Coronavirus,2
#BILD,#COVID19,1
#Corona,#Schulen,291
#Schulen,#Kitas,184
#Schulen,#coronavirus,8
#Schulen,#COVID19,5
#Schulen,#Maskenpflicht,5
#Corona,#AnneWill,272
#Corona,#coronavirus,271
#coronavirus,#COVID19,6135
#coronavirus,#Covid_19,459
#coronavirus,#COVID__19,277
#coronavirus,#Trump,148
#Corona,#Trump,252
#Trump,#COVID19,1242
#Corona,#Studie,243
#Studie,#BILD,301
#Studie,#AfD,7
#Corona,#Neuinfektionen,216
#Neuinfektionen,#Coronavirus,32
#Neuinfektionen,#Maskenpflicht,29
#Neuinfektionen,#Covid_19,26
#Corona,#Covid_19,210
#Covid_19,#coronavirus,345
#Covid_19,#COVID19,69
#Covid_19,#Maskenpflicht,34
#Covid_19,#Trump,33
#Corona,#Kitas,189
#Kitas,#Schulen,191
#Kitas,#COVID19,2
#Kitas,#Pandemie,1
#Corona,#Maskenpflicht,189
#Maskenpflicht,#Neuinfektionen,29
#Maskenpflicht,#COVID19,29
#Maskenpflicht,#Covid_19,28
#Corona,#Coronavirus,128
#Coronavirus,#COVID19,1981
#Coronavirus,#Trump,229
#Coronavirus,#COVID__19,131
#Coronavirus,#Neuinfektionen,32
#Corona,#Pandemie,124
#Pandemie,#COVID19,28
#Pandemie,#COVID__19,9
#Pandemie,#Coronavirus,7
#Pandemie,#coronavirus,7
