src,dst,count
#Covid19,#CoronaVirus,3428
#CoronaVirus,#SarsCov2,3001
#CoronaVirus,#Forecast,2829
#CoronaVirus,#NorthAmerica,1271
#CoronaVirus,#USA,970
#CoronaVirus,#Europe,272
#CoronaVirus,#Africa,254
#CoronaVirus,#EU,146
#CoronaVirus,#Asia,117
#CoronaVirus,#SouthAmerica,39
#Covid19,#Forecast,3333
#Forecast,#CoronaVirus,3249
#Forecast,#SarsCov2,2980
#Forecast,#NorthAmerica,1136
#Forecast,#USA,701
#Forecast,#Europe,240
#Forecast,#Africa,229
#Forecast,#EU,191
#Forecast,#Asia,83
#Forecast,#SouthAmerica,39
#Covid19,#SarsCov2,2824
#SarsCov2,#CoronaVirus,3323
#SarsCov2,#Forecast,2662
#SarsCov2,#NorthAmerica,1214
#SarsCov2,#USA,701
#SarsCov2,#Europe,282
#SarsCov2,#Africa,275
#SarsCov2,#EU,206
#SarsCov2,#Asia,100
#SarsCov2,#SouthAmerica,39
#Covid19,#NorthAmerica,1271
#NorthAmerica,#SarsCov2,1292
#NorthAmerica,#USA,1016
#NorthAmerica,#Forecast,980
#NorthAmerica,#CoronaVirus,902
#Covid19,#USA,623
#USA,#NorthAmerica,925
#USA,#CoronaVirus,826
#USA,#SarsCov2,773
#USA,#Forecast,627
#Covid19,#Europe,308
#Europe,#EU,548
#Europe,#Forecast,324
#Europe,#CoronaVirus,293
#Europe,#SarsCov2,282
#Europe,#USA,120
#Covid19,#Africa,185
#Africa,#CoronaVirus,208
#Africa,#SarsCov2,200
#Africa,#Forecast,183
#Africa,#EU,30
#Africa,#USA,22
#Africa,#Europe,19
#Covid19,#EU,185
#EU,#Europe,530
#EU,#Forecast,161
#EU,#CoronaVirus,161
#EU,#SarsCov2,146
#Covid19,#Coronavirus,131
#Coronavirus,#Corona,112
#Covid19,#Asia,100
#Asia,#CoronaVirus,117
#Asia,#SarsCov2,83
#Asia,#Forecast,73
#Asia,#Europe,7
#Asia,#USA,6
#Asia,#Africa,6
#Covid19,#BigBreaking,81
#Covid19,#coronavirus,70
#coronavirus,#Corona,393
#Covid19,#Kerala,41
#Covid19,#Corona,39
#Corona,#coronavirus,271
#Covid19,#SouthAmerica,39
#SouthAmerica,#SarsCov2,39
#SouthAmerica,#Forecast,39
#SouthAmerica,#CoronaVirus,39
