src,dst,count
#Covid19,@HelenBranswell,174
#Covid19,@realDonaldTrump,82
#Covid19,@helenbevan,71
#Covid19,@SParnis,70
#Covid19,@ichbinstiller,58
#Covid19,@derekjames150,41
#Covid19,@OpIndia_in,38
#Covid19,@SimonHarrisTD,32
#Covid19,@Ian56789,30
#Covid19,@BrianGPowell,28
@BrianGPowell,@sallyKP,224
@BrianGPowell,@realDonaldTrump,4
#Covid19,@sallyKP,28
@sallyKP,@BrianGPowell,224
#Covid19,@twilabrase,22
#Covid19,@LegalLro,21
#Covid19,@DaniOliver,20
#Covid19,@SadiqKhan,19
@SadiqKhan,@hauser_5,115
#Covid19,@AhmadiyyaDE,19
#Covid19,@neeri_csum,18
#Covid19,@hauser_5,18
@hauser_5,@SadiqKhan,161
#Covid19,@OffGuardian0,18
#Covid19,@aragon_jb,16
