src,dst,count
#DalitLivesMatter,"*हाथरस घटना मीडिया सीएम योगी इस्तीफा क्यों नहीं माँग",130
#DalitLivesMatter,"*बेटी बचाओ दलित बचाओ यूपी बचाओ।",81
"*बेटी बचाओ दलित बचाओ यूपी बचाओ।","*योगी हटाओ",87
#DalitLivesMatter,"*योगी हटाओ",81
"*योगी हटाओ","*बेटी बचाओ दलित बचाओ यूपी बचाओ।",87
#DalitLivesMatter,*twitter,30
*twitter,*people,357
#DalitLivesMatter,"*dalit voices",26
"*dalit voices",*twitter,29
#DalitLivesMatter,*protest,24
*protest,"*favourite bhajan",36
*protest,"*youth congress marches",30
*protest,"*mahatma gandhi",30
*protest,*attire,19
*protest,*justice,15
#DalitLivesMatter,*repeat,22
*repeat,"*propaganda dalit life matters",10
*repeat,*hindoo,10
*repeat,*leftists,10
*repeat,*casteism,2
*repeat,*govt,1
#DalitLivesMatter,*justice,22
*justice,*family,71
*justice,*people,17
*justice,*protest,15
#DalitLivesMatter,"*bollywood celebrities",20
"*bollywood celebrities",*people,3
"*bollywood celebrities",*country,3
#DalitLivesMatter,"*youth congress marches",19
"*youth congress marches",*attire,38
"*youth congress marches","*favourite bhajan",20
"*youth congress marches","*mahatma gandhi",20
"*youth congress marches",*protest,19
#DalitLivesMatter,"*mahatma gandhi",19
"*mahatma gandhi","*youth congress marches",30
"*mahatma gandhi","*favourite bhajan",30
"*mahatma gandhi",*attire,26
"*mahatma gandhi",*protest,18
#DalitLivesMatter,*attire,19
*attire,"*youth congress marches",19
*attire,"*mahatma gandhi",19
*attire,"*favourite bhajan",19
*attire,*protest,18
#DalitLivesMatter,*people,19
*people,*twitter,329
#DalitLivesMatter,"*favourite bhajan",19
"*favourite bhajan","*youth congress marches",19
"*favourite bhajan","*mahatma gandhi",19
"*favourite bhajan",*attire,19
"*favourite bhajan",*protest,18
#DalitLivesMatter,*hashtag,18
*hashtag,*people,9
*hashtag,*words,7
*hashtag,*dalits,3
*hashtag,*caste,1
#DalitLivesMatter,"*sc&slash;st अधिकार मनीषा वाल्मीकि न्याय",17
#DalitLivesMatter,"*जुल्म टक्कर संघर्ष हमारा नारा",16
#DalitLivesMatter,"*dalit lives matter dalit lives matter dalit lives matter",14
#DalitLivesMatter,*dalits,14
*dalits,*movement,6
*dalits,*hashtag,3
*dalits,*caste,2
*dalits,*people,1
#DalitLivesMatter,*slogan,14
#DalitLivesMatter,"*मुबई बोलने वाली सस्ता गांजा फूंककर कुत्ते भौंकने वाली चरसी",13
#DalitLivesMatter,"*सबसे पहले हाथरस",12
"*सबसे पहले हाथरस","*रिमांड बहुत समस्या समाधान जाएगा।",15
#DalitLivesMatter,"*रिमांड बहुत समस्या समाधान जाएगा।",12
"*रिमांड बहुत समस्या समाधान जाएगा।","*सबसे पहले हाथरस",15
#DalitLivesMatter,*trash,12
*trash,*country,6
*trash,*people,5
*trash,*twitter,2
#DalitLivesMatter,*leftists,10
*leftists,*repeat,10
*leftists,"*propaganda dalit life matters",10
*leftists,*twitter,3
*leftists,*protest,1
#DalitLivesMatter,*words,10
*words,*people,25
*words,*hashtag,7
#DalitLivesMatter,"*लेने वक़्त करने क्या दलित दलित होता",10
#DalitLivesMatter,"*propaganda dalit life matters",10
"*propaganda dalit life matters",*repeat,10
"*propaganda dalit life matters",*leftists,10
#DalitLivesMatter,*caste,10
*caste,*dalits,2
*caste,*people,2
*caste,*casteism,2
*caste,*justice,2
#DalitLivesMatter,"*एकदम लेकिन केवल केवल यूपी दलितों खबरदार किसी राजस्थान",9
"*एकदम लेकिन केवल केवल यूपी दलितों खबरदार किसी राजस्थान",*छत्ती…,9
#DalitLivesMatter,"*huge crowds",9
"*huge crowds",*evening,9
#DalitLivesMatter,*hindoo,9
*hindoo,*repeat,9
#DalitLivesMatter,*govt,9
*govt,*family,20
*govt,*bharti,7
#DalitLivesMatter,*evening,9
*evening,"*huge crowds",9
#DalitLivesMatter,*country,9
*country,*people,37
*country,*family,15
#DalitLivesMatter,*छत्ती…,9
*छत्ती…,"*एकदम लेकिन केवल केवल यूपी दलितों खबरदार किसी राजस्थान",9
#DalitLivesMatter,*loudly,8
#DalitLivesMatter,*family,8
*family,*justice,37
*family,*people,24
#DalitLivesMatter,*trend,8
*trend,*twitter,6
*trend,*people,4
#DalitLivesMatter,*casteism,8
*casteism,*repeat,2
*casteism,*caste,2
*casteism,*govt,1
#DalitLivesMatter,"*बेलचपटा घण्टाबजवा ढोंगिया…",8
#DalitLivesMatter,"*बेलचपटा घण्टाबजवा ढों…",8
#DalitLivesMatter,*movement,8
*movement,*dalits,6
*movement,*justice,2
*movement,*people,2
#DalitLivesMatter,"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",7
"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",*पुलिस,7
"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",*थानेदार,7
"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",*डीएम,7
"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",*एसपी,7
#DalitLivesMatter,*थानेदार,7
*थानेदार,*पुलिस,7
*थानेदार,*डीएम,7
*थानेदार,*एसपी,7
*थानेदार,"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",7
#DalitLivesMatter,*एसपी,7
*एसपी,*पुलिस,7
*एसपी,*थानेदार,7
*एसपी,*डीएम,7
*एसपी,"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",7
#DalitLivesMatter,"*सारे राष्ट्र खड़े होने अपील करता हूँ। हाथरस मामला जेंडर अधिक सामाजिक अत्याचार हैं।",7
#DalitLivesMatter,*डीएम,7
*डीएम,*पुलिस,7
*डीएम,*थानेदार,7
*डीएम,*एसपी,7
*डीएम,"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",7
#DalitLivesMatter,*पुलिस,7
*पुलिस,*थानेदार,7
*पुलिस,*डीएम,7
*पुलिस,*एसपी,7
*पुलिस,"*एडीएम सत्ता चोला बनकर स्वाभाविक हैं।",7
#DalitLivesMatter,*bharti,7
*bharti,*govt,7
*bharti,*family,6
