src,dst,count
#DalitLivesMatter,"*हाथरस घटना मीडिया सीएम योगी इस्तीफा क्यों नहीं माँग",138
#DalitLivesMatter,"*बेटी बचाओ दलित बचाओ यूपी बचाओ।",88
"*बेटी बचाओ दलित बचाओ यूपी बचाओ।","*योगी हटाओ",88
#DalitLivesMatter,"*योगी हटाओ",88
"*योगी हटाओ","*बेटी बचाओ दलित बचाओ यूपी बचाओ।",88
#DalitLivesMatter,*twitter,35
*twitter,*people,359
#DalitLivesMatter,"*dalit voices",30
"*dalit voices",*twitter,29
#DalitLivesMatter,*protest,26
*protest,"*favourite bhajan",36
*protest,"*youth congress marches",30
*protest,"*mahatma gandhi",30
*protest,*attire,19
*protest,*justice,15
#DalitLivesMatter,"*bollywood celebrities",23
"*bollywood celebrities",*people,3
"*bollywood celebrities",*country,3
#DalitLivesMatter,*repeat,23
*repeat,"*propaganda dalit life matters",10
*repeat,*hindoo,10
*repeat,*leftists,10
*repeat,*casteism,2
*repeat,*govt,1
#DalitLivesMatter,*justice,23
*justice,*family,72
*justice,*people,17
*justice,*protest,15
#DalitLivesMatter,"*indian celebrities",20
#DalitLivesMatter,"*जुल्म टक्कर संघर्ष हमारा नारा",20
#DalitLivesMatter,*twee…,20
#DalitLivesMatter,"*youth congress marches",20
"*youth congress marches",*attire,37
"*youth congress marches","*favourite bhajan",19
"*youth congress marches","*mahatma gandhi",19
"*youth congress marches",*protest,18
#DalitLivesMatter,"*favourite bhajan",20
"*favourite bhajan","*youth congress marches",19
"*favourite bhajan","*mahatma gandhi",19
"*favourite bhajan",*attire,19
"*favourite bhajan",*protest,18
#DalitLivesMatter,"*mahatma gandhi",20
"*mahatma gandhi","*youth congress marches",30
"*mahatma gandhi","*favourite bhajan",30
"*mahatma gandhi",*attire,26
"*mahatma gandhi",*protest,18
#DalitLivesMatter,*attire,20
*attire,"*youth congress marches",19
*attire,"*mahatma gandhi",19
*attire,"*favourite bhajan",19
*attire,*protest,18
#DalitLivesMatter,*people,19
*people,*twitter,329
#DalitLivesMatter,*hashtag,18
*hashtag,*people,9
*hashtag,*words,7
*hashtag,*dalits,3
*hashtag,*caste,1
#DalitLivesMatter,"*sc&slash;st अधिकार मनीषा वाल्मीकि न्याय",17
#DalitLivesMatter,*trash,16
*trash,*country,6
*trash,*people,5
*trash,*twitter,2
#DalitLivesMatter,"*मुबई बोलने वाली सस्ता गांजा फूंककर कुत्ते भौंकने वाली चरसी",15
#DalitLivesMatter,*dalits,15
*dalits,*movement,6
*dalits,*hashtag,3
*dalits,*caste,2
*dalits,*people,1
#DalitLivesMatter,*slogan,14
#DalitLivesMatter,"*dalit lives matter dalit lives matter dalit lives matter",14
#DalitLivesMatter,*govt,14
*govt,*family,20
*govt,*bharti,7
*govt,"*hathras incident",7
#DalitLivesMatter,"*सबसे पहले हाथरस",13
"*सबसे पहले हाथरस","*रिमांड बहुत समस्या समाधान जाएगा।",15
#DalitLivesMatter,"*रिमांड बहुत समस्या समाधान जाएगा।",13
"*रिमांड बहुत समस्या समाधान जाएगा।","*सबसे पहले हाथरस",15
#DalitLivesMatter,*caste,11
*caste,*dalits,2
*caste,*people,2
*caste,*casteism,2
*caste,*justice,2
#DalitLivesMatter,"*लेने वक़्त करने क्या दलित दलित होता",10
#DalitLivesMatter,*words,10
*words,*people,25
*words,*hashtag,7
#DalitLivesMatter,*hindoo,10
*hindoo,*repeat,9
#DalitLivesMatter,*trend,10
*trend,*twitter,6
*trend,*people,4
#DalitLivesMatter,"*propaganda dalit life matters",10
"*propaganda dalit life matters",*repeat,10
"*propaganda dalit life matters",*leftists,10
#DalitLivesMatter,*leftists,10
*leftists,*repeat,10
*leftists,"*propaganda dalit life matters",10
*leftists,*twitter,3
*leftists,*protest,1
#DalitLivesMatter,*country,9
*country,*people,37
*country,*family,15
#DalitLivesMatter,"*एकदम लेकिन केवल केवल यूपी दलितों खबरदार किसी राजस्थान",9
"*एकदम लेकिन केवल केवल यूपी दलितों खबरदार किसी राजस्थान",*छत्ती…,9
#DalitLivesMatter,*छत्ती…,9
*छत्ती…,"*एकदम लेकिन केवल केवल यूपी दलितों खबरदार किसी राजस्थान",9
#DalitLivesMatter,"*huge crowds",9
"*huge crowds",*evening,9
#DalitLivesMatter,*movement,9
*movement,*dalits,6
*movement,*justice,2
*movement,*people,2
#DalitLivesMatter,*family,9
*family,*justice,37
*family,*people,24
#DalitLivesMatter,*evening,9
*evening,"*huge crowds",9
#DalitLivesMatter,*casteism,9
*casteism,*repeat,2
*casteism,*caste,2
*casteism,*govt,1
#DalitLivesMatter,*loudly,8
#DalitLivesMatter,"*बेलचपटा घण्टाबजवा ढों…",8
#DalitLivesMatter,*protests,8
*protests,*people,18
*protests,*justice,11
#DalitLivesMatter,"*hathras incident",8
"*hathras incident",*govt,7
"*hathras incident",*bharti,7
"*hathras incident",*people,2
"*hathras incident",*justice,1
#DalitLivesMatter,"*बेलचपटा घण्टाबजवा ढोंगिया…",8
#DalitLivesMatter,*bharti,8
*bharti,"*hathras incident",7
*bharti,*govt,7
*bharti,*family,6
#DalitLivesMatter,"*dalit दलित करो,कहने",7
#DalitLivesMatter,*थानेदार,7
