src,dst,count
#DalitLivesMatter,#dalitslivesmatter,58
#dalitslivesmatter,#DalitLivesMatters,7
#dalitslivesmatter,#HathrasHorror,5
#dalitslivesmatter,#ResignAdityanath,5
#dalitslivesmatter,#कलंक_योगी,5
#DalitLivesMatter,#JusticeForManishaValmiki,55
#JusticeForManishaValmiki,#JusticeForIndiasDaughters,49
#JusticeForManishaValmiki,#JusticeForManisha,19
#JusticeForManishaValmiki,#CBI4Hatras,17
#JusticeForManishaValmiki,#HathrasTruthExposed,16
#JusticeForManishaValmiki,#HathrasHorror,13
#JusticeForManishaValmiki,#HathrasCase,12
#JusticeForManishaValmiki,#HathrasHorrorShocksIndia,11
#JusticeForManishaValmiki,#ResignAdityanath,10
#JusticeForManishaValmiki,#JusticeForHathrasVictim,9
#JusticeForManishaValmiki,#मनीषा_के_हत्यारों_को_फांसी_दो,7
#JusticeForManishaValmiki,#HathrasTapes,7
#JusticeForManishaValmiki,#ABPKoMatRoko,5
#JusticeForManishaValmiki,#Hathras,4
#JusticeForManishaValmiki,#JusticeForHathrasHorror,3
#JusticeForManishaValmiki,#कलंक_योगी,2
#JusticeForManishaValmiki,#मीडिया_योगी_का_इस्तीफा_माँगो,1
#JusticeForManishaValmiki,#JantarMantar,1
#DalitLivesMatter,#JusticeForIndiasDaughters,50
#JusticeForIndiasDaughters,#JusticeForManishaValmiki,49
#JusticeForIndiasDaughters,#CBI4Hatras,18
#JusticeForIndiasDaughters,#JusticeForManisha,16
#JusticeForIndiasDaughters,#HathrasHorror,15
#JusticeForIndiasDaughters,#HathrasHorrorShocksIndia,13
#JusticeForIndiasDaughters,#ResignAdityanath,11
#JusticeForIndiasDaughters,#HathrasTruthExposed,11
#JusticeForIndiasDaughters,#HathrasCase,10
#JusticeForIndiasDaughters,#HathrasTapes,8
#JusticeForIndiasDaughters,#मनीषा_के_हत्यारों_को_फांसी_दो,8
#JusticeForIndiasDaughters,#YogiResignNOW,7
#JusticeForIndiasDaughters,#JusticeForHathrasVictim,7
#JusticeForIndiasDaughters,#कलंक_योगी,3
#JusticeForIndiasDaughters,#ShameOnYouDM_Hathras,2
#JusticeForIndiasDaughters,#Hathras,2
#JusticeForIndiasDaughters,#JusticeForHathrasHorror,1
#JusticeForIndiasDaughters,#मीडिया_योगी_का_इस्तीफा_माँगो,1
#JusticeForIndiasDaughters,#JantarMantar,1
#JusticeForIndiasDaughters,#MeriBhiBetiHai,1
#JusticeForIndiasDaughters,#ABPKoMatRoko,1
#DalitLivesMatter,#JantarMantar,47
#JantarMantar,#JusticeForManisha,21
#JantarMantar,#HathrasCase,9
#JantarMantar,#MeriBhiBetiHai,8
#JantarMantar,#Hathras,2
#JantarMantar,#HathrasHorror,2
#JantarMantar,#RepublicFor302,2
#JantarMantar,#JusticeForHathrasHorror,1
#JantarMantar,#JusticeForIndiasDaughters,1
#JantarMantar,#JusticeForManishaValmiki,1
#DalitLivesMatter,#JusticeForManisha,43
#JusticeForManisha,#JantarMantar,21
#JusticeForManisha,#JusticeForManishaValmiki,19
#JusticeForManisha,#JusticeForIndiasDaughters,16
#JusticeForManisha,#HathrasTruthExposed,11
#JusticeForManisha,#HathrasCase,9
#JusticeForManisha,#HathrasHorror,9
#JusticeForManisha,#HathrasTapes,8
#JusticeForManisha,#CBI4Hatras,7
#JusticeForManisha,#मनीषा_के_हत्यारों_को_फांसी_दो,7
#JusticeForManisha,#HathrasHorrorShocksIndia,5
#JusticeForManisha,#ShameOnYogi,4
#JusticeForManisha,#MeriBhiBetiHai,2
#JusticeForManisha,#JusticeForHathrasVictim,2
#JusticeForManisha,#Hathras,2
#DalitLivesMatter,#HathrasCase,37
#HathrasCase,#HathrasTapes,53
#HathrasCase,#HathrasTruthExposed,45
#HathrasCase,#MeriBhiBetiHai,39
#HathrasCase,#Hathras,28
#HathrasCase,#HathrasHorror,22
#HathrasCase,#ABPKoMatRoko,13
#HathrasCase,#JusticeForManishaValmiki,12
#HathrasCase,#JusticeForIndiasDaughters,10
#HathrasCase,#JusticeForManisha,9
#HathrasCase,#JantarMantar,9
#HathrasCase,#HathrasHorrorShocksIndia,8
#HathrasCase,#CBI4Hatras,6
#HathrasCase,#मनीषा_के_हत्यारों_को_फांसी_दो,6
#HathrasCase,#YogiResignNOW,2
#HathrasCase,#JusticeForHathrasVictim,2
#DalitLivesMatter,#HathrasHorror,32
#HathrasHorror,#HathrasTruthExposed,24
#HathrasHorror,#HathrasCase,22
#HathrasHorror,#Hathras,19
#HathrasHorror,#HathrasTapes,16
#HathrasHorror,#JusticeForIndiasDaughters,15
#HathrasHorror,#JusticeForManishaValmiki,13
#HathrasHorror,#HathrasHorrorShocksIndia,12
#HathrasHorror,#JusticeForManisha,9
#HathrasHorror,#कलंक_योगी,6
#HathrasHorror,#CBI4Hatras,6
#HathrasHorror,#मनीषा_के_हत्यारों_को_फांसी_दो,6
#HathrasHorror,#ResignAdityanath,6
#HathrasHorror,#dalitslivesmatter,5
#HathrasHorror,#ABPKoMatRoko,4
#HathrasHorror,#YogiResignNOW,3
