src,dst,count
#Dynamite,#BTS,13872
#BTS,#방탄소년단,87093
#BTS,#iHeartFestival2020,19453
#BTS,#BTS_Dynamite,10053
#BTS,#BTSARMY,7012
#BTS,#TheWeeknd,5859
#BTS,#BTSDynamite,4731
#Dynamite,#BTS_Dynamite,6559
#BTS_Dynamite,#BTS,9993
#BTS_Dynamite,#BTSDynamite,4119
#BTS_Dynamite,#BTSARMY,1289
#BTS_Dynamite,#ARMY,88
#BTS_Dynamite,#SundayThoughts,48
#BTS_Dynamite,#방탄소년단,38
#Dynamite,#BTSDynamite,4200
#BTSDynamite,#BTS,4487
#BTSDynamite,#BTS_Dynamite,4293
#BTSDynamite,#BTSARMY,8
#BTSDynamite,#방탄소년단,3
#BTSDynamite,#ARMY,3
#Dynamite,#JimmyFallon,1090
#JimmyFallon,#BTS,763
#JimmyFallon,#TheRoots,545
#JimmyFallon,#TheTonightShow,436
#Dynamite,#BTSTODAY,693
#BTSTODAY,#BTS,673
#BTSTODAY,#방탄소년단,4
#BTSTODAY,#BTS_Dynamite,2
#BTSTODAY,#BTSARMY,1
#Dynamite,#BTS_MV_ArmyBomb,430
#BTS_MV_ArmyBomb,#BTS,53
#BTS_MV_ArmyBomb,#BTS_Dynamite,3
#BTS_MV_ArmyBomb,#BTSARMY,2
#Dynamite,#TheTonightShow,218
#TheTonightShow,#JimmyFallon,872
#TheTonightShow,#TheRoots,763
#TheTonightShow,#BTS,763
#Dynamite,#TheRoots,218
#TheRoots,#BTS,436
#TheRoots,#TheTonightShow,327
#TheRoots,#JimmyFallon,327
#Dynamite,#LunchWithBTS,209
#Dynamite,#iHeartFestival2020,107
#iHeartFestival2020,#BTS,19465
#iHeartFestival2020,#BTSARMY,67
#iHeartFestival2020,#BTS_Dynamite,33
#iHeartFestival2020,#방탄소년단,7
#Dynamite,#BTSARMY,78
#BTSARMY,#BTS,7199
#BTSARMY,#BTS_Dynamite,1259
#BTSARMY,#방탄소년단,190
#BTSARMY,#ARMY,103
#BTSARMY,#iHeartFestival2020,39
#Dynamite,#CoffeeandBTS,42
#Dynamite,#ARMY,35
#ARMY,#BTS,391
#ARMY,#BTSARMY,103
#ARMY,#BTS_Dynamite,85
#ARMY,#SundayThoughts,26
#Dynamite,#방탄소년단,28
#방탄소년단,#BTS,87059
#방탄소년단,#BTSARMY,359
#방탄소년단,#BTS_Dynamite,40
#Dynamite,#VMA,19
#Dynamite,#MeganTheeStallion,18
#MeganTheeStallion,#TheWeeknd,18
#MeganTheeStallion,#BTS,18
#Dynamite,#TheWeeknd,18
#TheWeeknd,#BTS,5838
#TheWeeknd,#MeganTheeStallion,18
#Dynamite,#SundayMotivation,15
#SundayMotivation,#SundayThoughts,7117
#Dynamite,#SundayThoughts,8
#SundayThoughts,#SundayMotivation,14157
#Dynamite,#RiseUpATL,7
#RiseUpATL,#SundayMotivation,28
#RiseUpATL,#SundayThoughts,16
