src,dst,count
#GiveawayNCTShopee,#GiveawayKpopShopee,843035
#GiveawayKpopShopee,#GiveawayKPOPShopee,1104
#GiveawayKpopShopee,#GiveawayKpopShope,124
#GiveawayKpopShopee,#GiveawayNCTShopee1,8
#GiveawayKpopShopee,#GiweawayNCTShopee,5
#GiveawayKpopShopee,#GiveawaykpopShopee,4
#GiveawayKpopShopee,#GiveawayNCTShopeee,4
#GiveawayKpopShopee,#GiveawaKpopShopee,4
#GiveawayKpopShopee,#GieawayNCTShopee,4
#GiveawayKpopShopee,#Giveawayalbum,4
#GiveawayKpopShopee,#GivewayKpopShopee,4
#GiveawayKpopShopee,#해찬,3
#GiveawayKpopShopee,#giveawaykpopshopee,3
#GiveawayKpopShopee,#GiveawayKpopShoppe,1
#GiveawayKpopShopee,#ShopeeID,1
#GiveawayNCTShopee,#GiveawayKPOPShopee,5005
#GiveawayKPOPShopee,#GiveawayKpopShopee,1104
#GiveawayKPOPShopee,#GIVEAWAYNCTSHOPEE,280
#GiveawayNCTShopee,#GiveawayKpopShoppe,3448
#GiveawayKpopShoppe,#GiveawayKpopShopee,1
#GiveawayNCTShopee,#giveawaykpopshopee,1150
#giveawaykpopshopee,#GiveawayKpopShopee,3
#GiveawayNCTShopee,#GiveawayKpopShope,123
#GiveawayKpopShope,#GiveawayKpopShopee,124
#GiveawayNCTShopee,#GIVEAWAYNCTSHOPEE,52
#GIVEAWAYNCTSHOPEE,#GiveawayKPOPShopee,280
#GiveawayNCTShopee,#GivewayKpopShopee,40
#GivewayKpopShopee,#GiveawayKpopShopee,4
#GiveawayNCTShopee,#GiveawayKpopShoppee,36
#GiveawayNCTShopee,#GiveawaykpopShopee,5
#GiveawaykpopShopee,#GiveawayKpopShopee,4
#GiveawayNCTShopee,#GiweawayNCTShopee,5
#GiweawayNCTShopee,#GiveawayKpopShopee,5
#GiveawayNCTShopee,#해찬,3
#해찬,#GiveawayKpopShopee,3
#GiveawayNCTShopee,#GiveawayNCTShopeee,3
#GiveawayNCTShopeee,#GiveawayKpopShopee,4
#GiveawayNCTShopee,#GiveawaKpopShopee,3
#GiveawaKpopShopee,#GiveawayKpopShopee,4
#GiveawaKpopShopee,#GieawayNCTShopee,1
#GiveawayNCTShopee,#GieawayNCTShopee,3
#GieawayNCTShopee,#GiveawayKpopShopee,4
#GieawayNCTShopee,#GiveawaKpopShopee,1
#GiveawayNCTShopee,#Giveawayalbum,3
#Giveawayalbum,#GiveawayKpopShopee,4
#GiveawayNCTShopee,#GiveawayNCTShopee1,3
#GiveawayNCTShopee1,#GiveawayKpopShopee,8
#GiveawayNCTShopee,#ShopeeID,1
#ShopeeID,#GiveawayKpopShopee,1
