src,dst,count
#Hathras,@YUVSTRONG12,860
#Hathras,@imVkohli,479
#Hathras,@realpreityzinta,321
#Hathras,@ndtvindia,267
@ndtvindia,@aajtak,47
@ndtvindia,@narendramodi,35
#Hathras,@raviranabjp,149
@raviranabjp,@imrealasim,149
#Hathras,@imrealasim,149
@imrealasim,@raviranabjp,149
#Hathras,@Uppolice,119
@Uppolice,@myogiadityanath,562
@Uppolice,@BefittingFacts,78
#Hathras,@rishibagree,110
@rishibagree,@Uppolice,9
#Hathras,@narendramodi,76
@narendramodi,@myogiadityanath,3902
#Hathras,@BefittingFacts,74
@BefittingFacts,@Uppolice,78
#Hathras,@NidhiSuresh_,66
#Hathras,@myogiadityanath,43
@myogiadityanath,@narendramodi,3752
@myogiadityanath,@Uppolice,444
#Hathras,@MrsGandhi,42
@MrsGandhi,@narendramodi,565
@MrsGandhi,@dhrubachoudhur5,123
#Hathras,@dhrubachoudhur5,41
@dhrubachoudhur5,@MrsGandhi,139
#Hathras,@TheDeshBhakt,41
@TheDeshBhakt,@narendramodi,8
#Hathras,@IYC,38
@IYC,@narendramodi,1258
#Hathras,@aajtak,37
@aajtak,@narendramodi,271
#Hathras,@sanjuydv,32
#Hathras,@IndiaMeToo,32
@IndiaMeToo,@narendramodi,3
#Hathras,@abhishekaitc,32
@abhishekaitc,@narendramodi,53
@abhishekaitc,@Uppolice,3
