src,dst,count
#India,#China,395
#China,#COVID19,143
#China,#Russia,97
#China,#coronavirus,93
#China,#Turkey,91
#China,#USA,76
#China,#Pakistan,46
#India,#Pakistan,155
#Pakistan,#Turkey,94
#Pakistan,#China,46
#Pakistan,#Afghanistan,23
#Pakistan,#Iran,15
#Pakistan,#USA,14
#India,#USA,46
#USA,#China,160
#USA,#Turkey,96
#USA,#France,49
#USA,#Germany,36
#USA,#Russia,25
#India,#Russia,32
#Russia,#Turkey,69
#Russia,#China,60
#Russia,#Germany,36
#Russia,#Iran,35
#Russia,#Italy,28
#Russia,#France,26
#Russia,#USA,25
#India,#Afghanistan,26
#Afghanistan,#Pakistan,23
#Afghanistan,#WeNeverAcceptDurandLine,12
#Afghanistan,#Turkey,9
#Afghanistan,#Iran,8
#Afghanistan,#China,3
#India,#COVID19,24
#COVID19,#coronavirus,1511
#COVID19,#China,122
#India,#Iran,20
#Iran,#Turkey,185
#Iran,#COVID19,51
#Iran,#Germany,49
#Iran,#Russia,35
#Iran,#coronavirus,28
#Iran,#China,23
#India,#Vaccination,16
#Vaccination,#coronavirus,1
#India,#Turkey,15
#Turkey,#France,288
#Turkey,#Iran,271
#Turkey,#USA,96
#India,#coronavirus,15
#coronavirus,#COVID19,1125
#coronavirus,#China,79
#coronavirus,#Turkey,58
#coronavirus,#Iran,28
#India,#unemployment,14
#unemployment,#COVID19,9
#India,#Italy,13
#Italy,#France,42
#Italy,#Germany,37
#Italy,#Turkey,36
#Italy,#Russia,21
#Italy,#Iran,15
#Italy,#USA,12
#India,#RheaChakraborty,13
#India,#WeNeverAcceptDurandLine,12
#WeNeverAcceptDurandLine,#Afghanistan,12
#WeNeverAcceptDurandLine,#Pakistan,2
#India,#France,12
#France,#Turkey,288
#France,#Germany,130
#France,#USA,49
#France,#Italy,42
#France,#Russia,39
#India,#Brazil,12
#Brazil,#Russia,11
#Brazil,#Turkey,11
#Brazil,#Italy,9
#Brazil,#Iran,8
#India,#Japan,11
#Japan,#China,13
#Japan,#Germany,12
#Japan,#France,10
#Japan,#Russia,7
#Japan,#USA,4
#Japan,#Turkey,4
#India,#Rafale,10
#India,#Asia,10
#Asia,#China,12
#Asia,#USA,3
#India,#Germany,9
#Germany,#France,130
#Germany,#Turkey,50
#Germany,#Italy,37
#Germany,#USA,36
#Germany,#Russia,36
#Germany,#Iran,34
