src,dst,count
#JagameThandhiram,#1YearOfBBAsuran,2693
#1YearOfBBAsuran,#Asuran,274
#1YearOfBBAsuran,#Karnan,151
#1YearOfBBAsuran,#Dhanush,111
#1YearOfBBAsuran,#TNDFC,100
#1YearOfBBAsuran,#PollachiDFC,59
#1YearOfBBAsuran,#Master,38
#1YearOfBBAsuran,#அசுரன்,34
#1YearOfBBAsuran,#karnan,34
#1YearOfBBAsuran,#VD,16
#1YearOfBBAsuran,#1yearOfBBAsuran,14
#1YearOfBBAsuran,#Vadachennai,9
#1YearOfBBAsuran,#Aadukalam,9
#1YearOfBBAsuran,#1YearOfBBAsuranஇந்த,5
#1YearOfBBAsuran,#Polladhavan,5
#1YearOfBBAsuran,#D45,4
#1YearOfBBAsuran,#D44,4
#1YearOfBBAsuran,#D43,4
#1YearOfBBAsuran,#Pudhupettai,4
#1YearOfBBAsuran,#1YearOfBBAsuranRt,4
#1YearOfBBAsuran,#KadhalKonden,4
#1YearOfBBAsuran,#Atrangire,4
#1YearOfBBAsuran,#BAASHA,4
#1YearOfBBAsuran,#spreadlove,3
#1YearOfBBAsuran,#அசுரன,3
#1YearOfBBAsuran,#அன்பை_பகிருங்கள்,3
#1YearOfBBAsuran,#ASURAN,2
#1YearOfBBAsuran,#asuran,2
#1YearOfBBAsuran,#போனவங்கள,2
#1YearOfBBAsuran,#தனுஷ்,2
#1YearOfBBAsuran,#VadaChennai2,2
#JagameThandhiram,#1yearOfBBAsuran,1935
#1yearOfBBAsuran,#அசுரன்,270
#1yearOfBBAsuran,#Asuran,115
#1yearOfBBAsuran,#TNDFC,71
#1yearOfBBAsuran,#தனுஷ்,33
#1yearOfBBAsuran,#Karnan,30
#1yearOfBBAsuran,#Sivasamy,24
#1yearOfBBAsuran,#சிவாஜி,18
#1yearOfBBAsuran,#Vikatan,18
#1yearOfBBAsuran,#Dhanush,15
#1yearOfBBAsuran,#1YearOfBBAsuran,14
#1yearOfBBAsuran,#படி,13
#1yearOfBBAsuran,#Master,11
#1yearOfBBAsuran,#karnan,6
#1yearOfBBAsuran,#சிவசாமி,6
#1yearOfBBAsuran,#பொல்லாதவன்,3
#1yearOfBBAsuran,#வடசென்னை,3
#1yearOfBBAsuran,#Sivaswamy,3
#1yearOfBBAsuran,#ஆடுகளம்,3
#1yearOfBBAsuran,#பிரபு,3
#1yearOfBBAsuran,#அன்பு,3
#1yearOfBBAsuran,#கருப்பு,3
#1yearOfBBAsuran,#VadaChennai,2
#1yearOfBBAsuran,#1YearOfBBAsuranBring,2
#1yearOfBBAsuran,#dhanush,2
#1yearOfBBAsuran,#Polladhavan,1
#JagameThandhiram,#Asuran,299
#Asuran,#1YearOfBBAsuran,274
#Asuran,#1yearOfBBAsuran,115
#Asuran,#Dhanush,105
#Asuran,#Karnan,28
#Asuran,#Pudhupettai,22
#Asuran,#Vadachennai,21
#Asuran,#Aadukalam,18
#Asuran,#Vikatan,18
#Asuran,#Polladhavan,12
#Asuran,#Master,4
#Asuran,#KadhalKonden,4
#Asuran,#1YrOfAsuranTrendOnOct3,4
#Asuran,#TNDFC,4
#Asuran,#BAASHA,4
#Asuran,#VadaChennai,3
#Asuran,#VD,1
#Asuran,#PollachiDFC,1
#JagameThandhiram,#அசுரன்,253
#அசுரன்,#1yearOfBBAsuran,270
#அசுரன்,#1YearOfBBAsuran,34
#அசுரன்,#வடசென்னை,22
#அசுரன்,#பொல்லாதவன்,22
#அசுரன்,#ஆடுகளம்,22
#அசுரன்,#தனுஷ்,16
#அசுரன்,#TNDFC,12
#அசுரன்,#சிவசாமி,7
#அசுரன்,#Dhanush,6
#அசுரன்,#1YearOfBBAsuranஇந்த,2
#அசுரன்,#PollachiDFC,1
#JagameThandhiram,#Karnan,200
#Karnan,#1YearOfBBAsuran,151
#Karnan,#1yearOfBBAsuran,30
#Karnan,#Asuran,28
#Karnan,#D45,17
#Karnan,#D44,17
#Karnan,#D43,17
#Karnan,#Atrangire,17
#Karnan,#Dhanush,15
#Karnan,#Master,6
#Karnan,#asuran,2
#Karnan,#CSKvsSRH,1
#Karnan,#ASURAN,1
#Karnan,#dhanush,1
#JagameThandhiram,#TNDFC,157
#TNDFC,#1YearOfBBAsuran,100
#TNDFC,#1yearOfBBAsuran,71
#TNDFC,#அசுரன்,12
#TNDFC,#Asuran,4
#TNDFC,#படி,2
#TNDFC,#Dhanush,1
#JagameThandhiram,#1YearofBBAsuran,84
#JagameThandhiram,#Dhanush,75
#Dhanush,#1YearOfBBAsuran,111
#Dhanush,#Asuran,104
#Dhanush,#1yearOfBBAsuran,15
#Dhanush,#Karnan,15
#Dhanush,#அசுரன்,6
#Dhanush,#1YrOfAsuranTrendOnOct3,4
#Dhanush,#TNDFC,1
#Dhanush,#VD,1
#Dhanush,#Vikatan,1
#Dhanush,#Master,1
#Dhanush,#CSKvsSRH,1
#JagameThandhiram,#PollachiDFC,59
#PollachiDFC,#1YearOfBBAsuran,59
#PollachiDFC,#அசுரன்,1
#PollachiDFC,#ASURAN,1
#PollachiDFC,#Vadachennai,1
#PollachiDFC,#Pudhupettai,1
#PollachiDFC,#KadhalKonden,1
#PollachiDFC,#Asuran,1
#PollachiDFC,#Aadukalam,1
#JagameThandhiram,#karnan,38
#karnan,#1YearOfBBAsuran,34
#karnan,#1yearOfBBAsuran,6
#JagameThandhiram,#தனுஷ்,30
#தனுஷ்,#1yearOfBBAsuran,33
#தனுஷ்,#சிவாஜி,18
#தனுஷ்,#அசுரன்,16
#தனுஷ்,#1YearOfBBAsuran,2
#தனுஷ்,#அன்பை_பகிருங்கள்,1
#தனுஷ்,#spreadlove,1
#JagameThandhiram,#Sivasamy,21
#Sivasamy,#1yearOfBBAsuran,24
#JagameThandhiram,#Atrangire,20
#Atrangire,#Karnan,17
#Atrangire,#D45,17
#Atrangire,#D44,17
#Atrangire,#D43,17
#Atrangire,#1YearOfBBAsuran,4
#JagameThandhiram,#D43,20
#D43,#Karnan,18
#D43,#D45,18
#D43,#D44,18
#D43,#Atrangire,18
#D43,#1YearOfBBAsuran,4
#JagameThandhiram,#D44,20
#D44,#Karnan,18
#D44,#D45,18
