src,dst,count
#PCAs,@BLACKPINK,24492
@BLACKPINK,@selenagomez,16924
@BLACKPINK,@chartsblackpink,3144
@BLACKPINK,@GlobalBlackPink,2447
@BLACKPINK,@bpbillboard,2441
#PCAs,@BTS_twt,21822
@BTS_twt,@btsvotingorg,16787
@BTS_twt,@mygtrivias,14128
@BTS_twt,@V0TEWITHARMY,3238
@BTS_twt,@jeonbubbles,3124
@BTS_twt,@BagelBites,2580
@BTS_twt,@bts_bighit,2052
@BTS_twt,@ibighitfess,1726
@BTS_twt,@btsvotingunite,1310
@BTS_twt,@peopleschoice,699
#PCAs,@btsvotingorg,18228
@btsvotingorg,@BTS_twt,16399
@btsvotingorg,@bts_bighit,56
#PCAs,@selenagomez,12390
@selenagomez,@BLACKPINK,18738
@selenagomez,@chartsblackpink,1458
@selenagomez,@bpbillboard,1324
@selenagomez,@normalpeople,1254
@selenagomez,@GlobalBlackPink,1047
@selenagomez,@peopleschoice,257
#PCAs,@mygtrivias,10743
@mygtrivias,@BTS_twt,14030
@mygtrivias,@bts_bighit,17
#PCAs,@taylorswift13,10258
@taylorswift13,@chartsontaylor,2902
@taylorswift13,@peopleschoice,1339
@taylorswift13,@taylornation13,1260
@taylorswift13,@TSwiftNewsLA,504
#PCAs,@peopleschoice,3475
@peopleschoice,@taylorswift13,1262
@peopleschoice,@BTS_twt,699
@peopleschoice,@taylornation13,578
@peopleschoice,@CNCOmusic,572
@peopleschoice,@ArianaGrande,469
@peopleschoice,@bts_bighit,410
@peopleschoice,@selenagomez,257
@peopleschoice,@BLACKPINK,131
@peopleschoice,@normalpeople,127
#PCAs,@eonlineFR,2750
#PCAs,@chartsontaylor,2571
@chartsontaylor,@taylorswift13,3240
@chartsontaylor,@taylornation13,21
#PCAs,@CNCOmusic,2431
@CNCOmusic,@peopleschoice,555
@CNCOmusic,@BTS_twt,282
@CNCOmusic,@BLACKPINK,57
#PCAs,@BagelBites,2360
@BagelBites,@BTS_twt,2580
@BagelBites,@bts_bighit,12
#PCAs,@chartsblackpink,2336
@chartsblackpink,@BLACKPINK,3315
@chartsblackpink,@selenagomez,1458
#PCAs,@taylornation13,2240
@taylornation13,@taylorswift13,1259
@taylornation13,@peopleschoice,530
@taylornation13,@chartsontaylor,21
#PCAs,@btsvotingunite,1975
@btsvotingunite,@BTS_twt,1309
@btsvotingunite,@bts_bighit,20
@btsvotingunite,@btsvotingorg,12
#PCAs,@V0TEWITHARMY,1831
@V0TEWITHARMY,@BTS_twt,3177
@V0TEWITHARMY,@bts_bighit,9
#PCAs,@bpbillboard,1783
@bpbillboard,@BLACKPINK,2448
@bpbillboard,@selenagomez,1326
@bpbillboard,@normalpeople,4
#PCAs,@GlobalBlackPink,1781
@GlobalBlackPink,@BLACKPINK,2462
@GlobalBlackPink,@selenagomez,1062
#PCAs,@ibighitfess,1578
@ibighitfess,@BTS_twt,1611
@ibighitfess,@bts_bighit,14
#PCAs,@BillboardBTS20,1573
@BillboardBTS20,@BTS_twt,507
@BillboardBTS20,@bts_bighit,26
#PCAs,@jeonbubbles,1559
@jeonbubbles,@BTS_twt,2246
#PCAs,@bts_bighit,1520
@bts_bighit,@BTS_twt,2054
@bts_bighit,@peopleschoice,410
@bts_bighit,@btsvotingorg,68
@bts_bighit,@BillboardBTS20,26
@bts_bighit,@btsvotingunite,20
@bts_bighit,@mygtrivias,17
@bts_bighit,@ibighitfess,14
#PCAs,@ArianaGrande,1384
@ArianaGrande,@peopleschoice,520
@ArianaGrande,@taylorswift13,101
@ArianaGrande,@selenagomez,25
#PCAs,@normalpeople,1292
@normalpeople,@selenagomez,1266
@normalpeople,@peopleschoice,127
@normalpeople,@BLACKPINK,46
#PCAs,@TSwiftNewsLA,1264
@TSwiftNewsLA,@taylorswift13,446
#PCAs,@steinfeldjaguar,1233
