src,dst,count
#PCAs,#BLACKPINK,16582
#BLACKPINK,#TheGroup,15726
#BLACKPINK,#IceCream,1604
#BLACKPINK,#TheMusicVideo,1565
#BLACKPINK,#LovesickGirls,522
#BLACKPINK,#THEALBUM,484
#BLACKPINK,#SelenaGomez,400
#BLACKPINK,#TheAlbum,70
#BLACKPINK,#BTS,17
#BLACKPINK,#ArianaGrande,15
#BLACKPINK,#Blackpink,13
#PCAs,#Dynamite,13126
#Dynamite,#TheSong,11534
#Dynamite,#TheMusicVideo,10271
#Dynamite,#BTS,2014
#Dynamite,#TheGroup,1281
#Dynamite,#MapOfTheSoul7,483
#Dynamite,#TheAlbum,343
#Dynamite,#BTSWEEK,98
#Dynamite,#THEALBUM,41
#Dynamite,#GroupOfTheYear,21
#Dynamite,#BBMAs,18
#Dynamite,#mapofthesoul7,11
#PCAs,#TheSong,12104
#TheSong,#Dynamite,11447
#TheSong,#BTS,840
#TheSong,#TheGroup,672
#TheSong,#TheMusicVideo,276
#TheSong,#MapOfTheSoul7,260
#TheSong,#TheAlbum,179
#TheSong,#BTSWEEK,41
#TheSong,#THEALBUM,22
#TheSong,#BBMAs,15
#TheSong,#GroupOfTheYear,12
#TheSong,#ArianaGrande,11
#TheSong,#TheFemaleArtist,6
#TheSong,#TheSocialCelebrity,5
#PCAs,#TheMusicVideo,11793
#TheMusicVideo,#Dynamite,10747
#TheMusicVideo,#IceCream,9100
#TheMusicVideo,#BLACKPINK,1561
#TheMusicVideo,#TheGroup,1432
#TheMusicVideo,#SelenaGomez,1360
#TheMusicVideo,#Blackpink,1055
#TheMusicVideo,#BTS,381
#TheMusicVideo,#TheSong,276
#TheMusicVideo,#MapOfTheSoul7,229
#TheMusicVideo,#TheAlbum,174
#TheMusicVideo,#THEALBUM,117
#TheMusicVideo,#LovesickGirls,86
#TheMusicVideo,#BTSWEEK,10
#TheMusicVideo,#GroupOfTheYear,9
#TheMusicVideo,#ArianaGrande,8
#TheMusicVideo,#mapofthesoul7,7
#PCAs,#BTS,11715
#BTS,#TheGroup,12198
#BTS,#Dynamite,2017
#BTS,#TheAlbum,1379
#BTS,#MapOfTheSoul7,873
#BTS,#TheSong,840
#BTS,#mapofthesoul7,691
#BTS,#BTSWEEK,676
#BTS,#TheMusicVideo,381
#BTS,#GroupOfTheYear,378
#BTS,#THEALBUM,34
#BTS,#BBMAs,19
#BTS,#BLACKPINK,17
#PCAs,#TheAlbum,10323
#TheAlbum,#MapOfTheSoul7,10152
#TheAlbum,#mapofthesoul7,1944
#TheAlbum,#BTS,1380
#TheAlbum,#folklore,1325
#TheAlbum,#Folklore,601
#TheAlbum,#Dynamite,343
#TheAlbum,#TheGroup,262
#TheAlbum,#TaylorVoting,227
#TheAlbum,#TheSong,179
#TheAlbum,#TheMusicVideo,174
#TheAlbum,#BLACKPINK,70
#TheAlbum,#TheFemaleArtist,55
#TheAlbum,#TheSoundtrackSong,45
#TheAlbum,#LovesickGirls,43
#TheAlbum,#OnlyTheYoung,41
#TheAlbum,#TaylorSwift,35
#TheAlbum,#taylorswift,30
#TheAlbum,#BTSWEEK,10
#TheAlbum,#IceCream,9
#PCAs,#MapOfTheSoul7,10275
#MapOfTheSoul7,#TheAlbum,9917
#MapOfTheSoul7,#BTS,873
#MapOfTheSoul7,#Dynamite,483
#MapOfTheSoul7,#TheGroup,277
#MapOfTheSoul7,#TheSong,260
#MapOfTheSoul7,#THEALBUM,246
#MapOfTheSoul7,#TheMusicVideo,229
#MapOfTheSoul7,#BTSWEEK,9
#MapOfTheSoul7,#GroupOfTheYear,4
#PCAs,#TheGroup,9761
#TheGroup,#BLACKPINK,15696
#TheGroup,#BTS,11864
#TheGroup,#CNCO,2081
#TheGroup,#TheMusicVideo,1437
#TheGroup,#Dynamite,1282
#TheGroup,#IceCream,1215
#TheGroup,#Blackpink,1001
#TheGroup,#TheSong,672
#TheGroup,#THEALBUM,306
#TheGroup,#LovesickGirls,298
#TheGroup,#BTSWEEK,280
#TheGroup,#MapOfTheSoul7,277
#TheGroup,#TheAlbum,262
#TheGroup,#SelenaGomez,70
#TheGroup,#BBMAs,13
#PCAs,#IceCream,9444
#IceCream,#TheMusicVideo,9346
#IceCream,#BLACKPINK,1606
#IceCream,#SelenaGomez,1560
#IceCream,#Blackpink,1258
#IceCream,#TheGroup,1211
#IceCream,#THEALBUM,112
#IceCream,#LovesickGirls,90
#IceCream,#TheAlbum,9
#IceCream,#TheSoundtrackSong,5
#IceCream,#Rare,5
#IceCream,#Dynamite,3
#IceCream,#TheSocialCelebrity,2
#PCAs,#TheFemaleArtist,8142
#TheFemaleArtist,#TaylorSwift,6415
#TheFemaleArtist,#ArianaGrande,1793
#TheFemaleArtist,#taylorswift,929
#TheFemaleArtist,#TaylorVoting,712
#TheFemaleArtist,#OnlyTheYoung,131
#TheFemaleArtist,#TheSoundtrackSong,123
#TheFemaleArtist,#Folklore,103
#TheFemaleArtist,#TheAlbum,55
#TheFemaleArtist,#folklore,48
#TheFemaleArtist,#THEALBUM,11
#TheFemaleArtist,#TheSocialCelebrity,7
#TheFemaleArtist,#TheSong,6
#TheFemaleArtist,#TheMusicVideo,4
#PCAs,#TaylorSwift,6487
#TaylorSwift,#TheFemaleArtist,6408
#TaylorSwift,#TaylorVoting,729
#TaylorSwift,#TheSoundtrackSong,182
#TaylorSwift,#OnlyTheYoung,178
#TaylorSwift,#Folklore,164
#TaylorSwift,#TheAlbum,35
#TaylorSwift,#folklore,15
#TaylorSwift,#THEALBUM,13
#TaylorSwift,#BTS,2
#TaylorSwift,#JustinBieber,1
#PCAs,#TheSoundtrackSong,5223
#TheSoundtrackSong,#OnlyTheYoung,3895
#TheSoundtrackSong,#Rare,1341
#TheSoundtrackSong,#TaylorVoting,448
#TheSoundtrackSong,#TaylorSwift,182
#TheSoundtrackSong,#TheFemaleArtist,123
#TheSoundtrackSong,#taylorswift,66
#TheSoundtrackSong,#TheAlbum,45
#TheSoundtrackSong,#folklore,31
#TheSoundtrackSong,#Folklore,31
#TheSoundtrackSong,#TheSocialCelebrity,8
#TheSoundtrackSong,#SelenaGomez,6
#TheSoundtrackSong,#IceCream,5
#TheSoundtrackSong,#TheMusicVideo,4
#TheSoundtrackSong,#BLACKPINK,3
#TheSoundtrackSong,#BritneySpears,2
#TheSoundtrackSong,#TheGroup,2
#PCAs,#OnlyTheYoung,4082
#OnlyTheYoung,#TheSoundtrackSong,3895
#OnlyTheYoung,#TaylorVoting,449
#OnlyTheYoung,#TaylorSwift,178
#OnlyTheYoung,#TheFemaleArtist,131
#OnlyTheYoung,#taylorswift,69
#OnlyTheYoung,#TheAlbum,41
