src,dst,count
#SSR,#DishaSalian,537
#DishaSalian,#JusticeForDisha,745
#DishaSalian,#SushantSinghRajput,279
#SSR,#JusticeForDisha,153
#JusticeForDisha,#JusticeForSSR,1283
#JusticeForDisha,#DishaSalian,662
#SSR,#WhatATragedy,104
#SSR,#WarriorsRoar4SSR,89
#WarriorsRoar4SSR,#JusticeForSSR,40
#SSR,#SushantSinghRajput,81
#SushantSinghRajput,#DishaSalian,231
#SSR,#KanganaRanaut,60
#SSR,#JusticeForSSR,52
#JusticeForSSR,#JusticeForDisha,1179
#JusticeForSSR,#KanganaRanaut,216
#SSR,#Rhea,48
#Rhea,#KanganaRanaut,24
#Rhea,#SushantSinghRajput,13
#SSR,#CBI,42
#CBI,#SushantSinghRajput,45
#CBI,#DishaSalian,26
#CBI,#KanganaRanaut,19
#SSR,#Maharashtra,37
#Maharashtra,#JusticeForDisha,35
