src,dst,count
#TheMusicVideo,#Dynamite,20
#Dynamite,#PCAs,25
#TheMusicVideo,#PCAs,10
#PCAs,#Dynamite,25
#TheMusicVideo,#inktober2020,1
#inktober2020,#THEALBUM,2
#inktober2020,#LovesickGirls,2
#inktober2020,#COVID19,2
#inktober2020,#coronavirus,2
#TheMusicVideo,#coronavirus,1
#coronavirus,#COVID19,32
#coronavirus,#TrumpCovid,9
#TheMusicVideo,#TrumpCovid,1
#TrumpCovid,#COVID19,28
#TrumpCovid,#coronavirus,9
#TheMusicVideo,#THEALBUM,1
#THEALBUM,#LovesickGirls,28
#TheMusicVideo,#SelenaGomez,1
#SelenaGomez,#PCAs,1
#SelenaGomez,#IceCream,1
#TheMusicVideo,#Seattle,1
#Seattle,#inktober2020,1
#Seattle,#coronavirus,1
#Seattle,#TrumpCovid,1
#Seattle,#THEALBUM,1
#Seattle,#SAVAGEXFENTYSHOW,1
#Seattle,#LovesickGirls,1
#Seattle,#COVID19,1
#TheMusicVideo,#SAVAGEXFENTYSHOW,1
#SAVAGEXFENTYSHOW,#TrumpCovid,2
#SAVAGEXFENTYSHOW,#COVID19,2
#SAVAGEXFENTYSHOW,#coronavirus,2
#TheMusicVideo,#LovesickGirls,1
#LovesickGirls,#THEALBUM,28
#LovesickGirls,#COVID19,4
#LovesickGirls,#PCAs,2
#LovesickGirls,#inktober2020,2
#TheMusicVideo,#IceCream,1
#IceCream,#SelenaGomez,1
#IceCream,#PCAs,1
#TheMusicVideo,#COVID19,1
#COVID19,#coronavirus,32
#COVID19,#TrumpCovid,28
