src,dst,count
#Turkey,#Azerbaijan,1953
#Azerbaijan,#Artsakh,1324
#Azerbaijan,#Armenia,1219
#Azerbaijan,#StopAzerbaijaniAggression,584
#Azerbaijan,#France,503
#Azerbaijan,#ArtsakhStrong,496
#Azerbaijan,#Karabakh,454
#Azerbaijan,#terrorist,453
#Azerbaijan,#StopAliyev,333
#Azerbaijan,#NagornoKarabakh,306
#Azerbaijan,#NKpeace,278
#Azerbaijan,#Iran,170
#Azerbaijan,#Azerbaycan,136
#Azerbaijan,#StopErdogan,135
#Turkey,#Armenia,1084
#Armenia,#Azerbaijan,1408
#Armenia,#Artsakh,651
#Armenia,#StopAzerbaijaniAggression,576
#Armenia,#ArtsakhStrong,508
#Armenia,#StopErdogan,248
#Armenia,#NKpeace,236
#Armenia,#StopAliyev,225
#Armenia,#Karabakh,215
#Armenia,#NagornoKarabakh,204
#Armenia,#SanctionTurkey,144
#Armenia,#Iran,143
#Armenia,#Russia,95
#Armenia,#StopTurkey,89
#Armenia,#Syria,77
#Turkey,#StopAzerbaijaniAggression,679
#StopAzerbaijaniAggression,#ArtsakhStrong,1120
#StopAzerbaijaniAggression,#StopAliyev,718
#StopAzerbaijaniAggression,#StopErdogan,591
#StopAzerbaijaniAggression,#Azerbaijan,584
#StopAzerbaijaniAggression,#Armenia,576
#StopAzerbaijaniAggression,#NKpeace,405
#StopAzerbaijaniAggression,#StopTurkey,382
#StopAzerbaijaniAggression,#Artsakh,302
#StopAzerbaijaniAggression,#SanctionTurkey,260
#StopAzerbaijaniAggression,#NagornoKarabakh,192
#StopAzerbaijaniAggression,#Karabakh,190
#StopAzerbaijaniAggression,#Iran,88
#Turkey,#terrorist,464
#terrorist,#Azerbaijan,549
#terrorist,#Syria,33
#terrorist,#Armenia,28
#terrorist,#Karabakh,27
#terrorist,#StopAzerbaijaniAggression,22
#terrorist,#ArtsakhStrong,20
#terrorist,#Iran,16
#terrorist,#Artsakh,8
#Turkey,#StopErdogan,422
#StopErdogan,#StopAzerbaijaniAggression,589
#StopErdogan,#StopAliyev,345
#StopErdogan,#ArtsakhStrong,300
#StopErdogan,#SanctionTurkey,295
#StopErdogan,#Armenia,249
#StopErdogan,#StopTurkey,212
#StopErdogan,#Azerbaijan,135
#StopErdogan,#NKpeace,109
#StopErdogan,#Artsakh,74
#StopErdogan,#NagornoKarabakh,73
#StopErdogan,#Syria,64
#StopErdogan,#Karabakh,40
#Turkey,#Artsakh,362
#Artsakh,#Azerbaijan,1319
#Artsakh,#Armenia,586
#Artsakh,#France,446
#Artsakh,#ArtsakhStrong,403
#Artsakh,#StopAzerbaijaniAggression,302
#Artsakh,#Karabakh,227
#Artsakh,#StopAliyev,145
#Artsakh,#NagornoKarabakh,138
#Artsakh,#NKpeace,98
#Artsakh,#StopErdogan,74
#Artsakh,#StopTurkey,61
#Artsakh,#Iran,59
#Turkey,#ArtsakhStrong,350
#ArtsakhStrong,#StopAzerbaijaniAggression,1122
#ArtsakhStrong,#StopAliyev,523
#ArtsakhStrong,#Armenia,507
#ArtsakhStrong,#Azerbaijan,495
#ArtsakhStrong,#NKpeace,438
#ArtsakhStrong,#Artsakh,403
#ArtsakhStrong,#StopErdogan,303
#ArtsakhStrong,#StopTurkey,254
#ArtsakhStrong,#Karabakh,209
#ArtsakhStrong,#NagornoKarabakh,186
#Turkey,#SanctionTurkey,321
#SanctionTurkey,#StopErdogan,293
#SanctionTurkey,#StopAzerbaijaniAggression,260
#SanctionTurkey,#Armenia,144
#SanctionTurkey,#Syria,63
#SanctionTurkey,#Azerbaijan,29
#SanctionTurkey,#Karabakh,20
#SanctionTurkey,#ArtsakhStrong,10
#SanctionTurkey,#StopAliyev,8
#SanctionTurkey,#NKpeace,8
#SanctionTurkey,#Artsakh,6
#SanctionTurkey,#TurkeyIsATerrorState,4
#SanctionTurkey,#StopTurkey,3
#Turkey,#StopAliyev,270
#StopAliyev,#StopAzerbaijaniAggression,717
#StopAliyev,#ArtsakhStrong,525
#StopAliyev,#StopErdogan,344
#StopAliyev,#Azerbaijan,334
#StopAliyev,#NKpeace,275
#StopAliyev,#StopTurkey,229
#StopAliyev,#Armenia,225
#StopAliyev,#Artsakh,145
#StopAliyev,#NagornoKarabakh,128
#StopAliyev,#Karabakh,121
#StopAliyev,#Iran,69
#Turkey,#NKpeace,192
#NKpeace,#ArtsakhStrong,437
#NKpeace,#StopAzerbaijaniAggression,405
#NKpeace,#Azerbaijan,278
#NKpeace,#StopAliyev,276
#NKpeace,#Armenia,236
#NKpeace,#Karabakh,176
#NKpeace,#NagornoKarabakh,158
#NKpeace,#StopErdogan,109
#NKpeace,#Artsakh,98
#NKpeace,#StopTurkey,97
#Turkey,#Syria,188
#Syria,#Azerbaijan,84
#Syria,#StopAzerbaijaniAggression,77
#Syria,#Armenia,77
#Syria,#StopErdogan,64
#Syria,#SanctionTurkey,63
#Syria,#Russia,51
#Syria,#Karabakh,45
#Syria,#terrorist,33
#Syria,#Artsakh,33
#Syria,#ArtsakhStrong,17
#Syria,#Iran,15
#Turkey,#Karabakh,183
#Karabakh,#Azerbaijan,454
#Karabakh,#Artsakh,227
#Karabakh,#Armenia,215
#Karabakh,#ArtsakhStrong,209
#Karabakh,#StopAzerbaijaniAggression,190
#Karabakh,#NKpeace,176
