src,dst,count
#WalkAway,#blmthugs,4
#blmthugs,#Police,4
#blmthugs,#ChrisWallace,4
#blmthugs,#Trump2020,1
#blmthugs,#BackTheBlue,1
#WalkAway,#WeThePeople,4
#WeThePeople,#MAGA,1
#WalkAway,#Police,4
#Police,#blmthugs,4
#Police,#ChrisWallace,4
#WalkAway,#KAG,4
#KAG,#Trump,212
#KAG,#MAGA,210
#KAG,#Trump2020,182
#KAG,#VoteRedToSaveAmerica,3
#KAG,#BLEXIT,3
#KAG,#MAGA2020,2
#KAG,#Trump2020LandslideVictory,2
#KAG,#Democrats,2
#WalkAway,#ChrisWallace,4
#ChrisWallace,#Police,4
#ChrisWallace,#blmthugs,4
#ChrisWallace,#BackTheBlue,1
#ChrisWallace,#CNN,1
#ChrisWallace,#Trump2020,1
#ChrisWallace,#Trump,1
#ChrisWallace,#Antifa,1
#ChrisWallace,#BLM,1
#WalkAway,#BidenRiots,4
#BidenRiots,#Antifa,1
#BidenRiots,#VoteRedToSaveAmerica,1
#BidenRiots,#DemocratsAreCorrupt,1
#BidenRiots,#Democrats,1
#WalkAway,#MAGA,4
#MAGA,#Trump,221
#MAGA,#Trump2020,215
#MAGA,#KAG,210
#MAGA,#VoteRedToSaveAmerica,9
#MAGA,#Trump2020LandslideVictory,9
#MAGA,#MAGA2020,7
#WalkAway,#Trump2020,3
#Trump2020,#MAGA,215
#Trump2020,#KAG,182
#Trump2020,#Trump,182
#Trump2020,#VoteRedToSaveAmerica,16
#Trump2020,#Trump2020LandslideVictory,9
#Trump2020,#MAGA2020,7
#Trump2020,#BackTheBlue,4
#WalkAway,#Democrats,3
#Democrats,#Trump,12
#Democrats,#VoteRedToSaveAmerica,6
#Democrats,#BLM,4
#Democrats,#DemocratsAreCorrupt,4
#Democrats,#Antifa,3
#Democrats,#KAG,2
#WalkAway,#UnSilentMarch,3
#UnSilentMarch,#BackTheBlue,1
#WalkAway,#Antifa,3
#Antifa,#BLM,13
#Antifa,#Democrats,3
#Antifa,#JasonCharter,2
#Antifa,#Cried,2
#Antifa,#BidenRiots,1
#Antifa,#Trump,1
#WalkAway,#JasonCharter,2
#JasonCharter,#Cried,2
#JasonCharter,#Antifa,2
#WalkAway,#Pansyfa,2
#WalkAway,#Cried,2
#Cried,#JasonCharter,2
#Cried,#Antifa,2
#WalkAway,#Trump,2
#Trump,#MAGA,221
#Trump,#KAG,212
#Trump,#Trump2020,182
#WalkAway,#SocialismSucks,2
#SocialismSucks,#OffThePlantation,2
#SocialismSucks,#NoLongerASlave,2
#SocialismSucks,#BlacksForTrump,2
#SocialismSucks,#Trump2020,1
#SocialismSucks,#KAG,1
#SocialismSucks,#SorosPuppet,1
#WalkAway,#OffThePlantation,2
#OffThePlantation,#SocialismSucks,2
#OffThePlantation,#NoLongerASlave,2
#OffThePlantation,#BlacksForTrump,2
#OffThePlantation,#SorosPuppet,1
#WalkAway,#MAGA2020,2
#MAGA2020,#Trump,9
#MAGA2020,#Trump2020,7
#MAGA2020,#MAGA,7
#MAGA2020,#Trump2020LandslideVictory,6
#MAGA2020,#KAG,2
#MAGA2020,#VoteRedToSaveAmerica,2
#WalkAway,#NoLongerASlave,2
#NoLongerASlave,#SocialismSucks,2
#NoLongerASlave,#OffThePlantation,2
#NoLongerASlave,#BlacksForTrump,2
#NoLongerASlave,#SorosPuppet,1
#WalkAway,#Trump2020LandslideVictory,2
#Trump2020LandslideVictory,#MAGA,9
#Trump2020LandslideVictory,#Trump2020,9
#Trump2020LandslideVictory,#MAGA2020,6
#Trump2020LandslideVictory,#VoteRedToSaveAmerica,5
#Trump2020LandslideVictory,#Trump,3
#Trump2020LandslideVictory,#KAG,2
#Trump2020LandslideVictory,#CNN,1
#Trump2020LandslideVictory,#Democrats,1
#WalkAway,#CNN,2
#CNN,#Trump,9
#CNN,#CNNisFakeNews,2
#CNN,#DefundTheMedia,2
#WalkAway,#BlacksForTrump,2
