src,dst,count
#arsenal,#premierleague,4175
#premierleague,#newseason,8052
#premierleague,#gunners,4701
#premierleague,#W12,1857
#premierleague,#football,40
#premierleague,#soccer,28
#arsenal,#gunners,3403
#gunners,#newseason,7381
#gunners,#premierleague,4031
#gunners,#afc,42
#gunners,#COYG,33
#gunners,#coyg,15
#gunners,#ARSWHU,8
#gunners,#W12,7
#gunners,#AFC,6
#arsenal,#arsenaltraining,2076
#arsenal,#newseason,2016
#newseason,#premierleague,8052
#newseason,#gunners,8052
#newseason,#football,2
#newseason,#AFC,1
#newseason,#PremierLeague,1
#newseason,#aubameyang,1
#arsenal,#afc,1338
#afc,#gooners,824
#afc,#COYG,75
#afc,#gunners,42
#afc,#ARSWHU,32
#afc,#Aouar,23
#afc,#coyg,13
#arsenal,#W12,766
#W12,#premierleague,1308
#W12,#gunners,7
#arsenal,#gooners,318
#gooners,#afc,900
#gooners,#COYG,3
#gooners,#AFC,2
#gooners,#aubameyang,1
#gooners,#lacazette,1
#gooners,#arteta,1
#gooners,#gunners,1
#arsenal,#AubaSigns,280
#AubaSigns,#AFC,198
#AubaSigns,#Aubameyang,78
#AubaSigns,#PremierLeague,4
#AubaSigns,#afc,3
#arsenal,#aubameyang,267
#aubameyang,#lacazette,5
#aubameyang,#AFC,4
#aubameyang,#premierleague,4
#aubameyang,#afc,4
#aubameyang,#arteta,3
#aubameyang,#football,3
#aubameyang,#gunners,3
#aubameyang,#PremierLeague,2
#aubameyang,#coyg,2
#aubameyang,#COYG,2
#aubameyang,#ozil,2
#arsenal,#ARSWHU,152
#ARSWHU,#COYG,995
#ARSWHU,#PremierLeague,554
#ARSWHU,#AFC,232
#ARSWHU,#afc,32
#ARSWHU,#gunners,8
#arsenal,#lacazette,78
#lacazette,#aubameyang,5
#lacazette,#premierleague,3
#lacazette,#PremierLeague,3
#lacazette,#gunners,2
#lacazette,#arteta,2
#lacazette,#AFC,2
#lacazette,#Aubameyang,2
#arsenal,#ozil,73
#ozil,#afc,4
#ozil,#aubameyang,2
#arsenal,#arteta,63
#arteta,#boss,44
#arteta,#afc,5
#arteta,#AFC,4
#arteta,#aubameyang,3
#arteta,#football,2
#arteta,#chelsea,2
#arteta,#COYG,2
#arteta,#lacazette,2
#arteta,#premierleague,2
#arteta,#soccer,2
#arsenal,#PremierLeague,57
#PremierLeague,#ARSWHU,354
#PremierLeague,#Chelsea,81
#PremierLeague,#COYG,53
#PremierLeague,#AFC,41
#PremierLeague,#football,40
#arsenal,#COYG,55
#COYG,#ARSWHU,995
#COYG,#AFC,296
#COYG,#afc,70
#COYG,#PremierLeague,53
#COYG,#gunners,35
#COYG,#AubaSigns,9
#arsenal,#boss,44
#boss,#arteta,44
#arsenal,#football,40
#football,#soccer,596
#football,#Chelsea,95
#football,#PremierLeague,40
#football,#premierleague,36
#arsenal,#coyg,34
#coyg,#gunners,16
#coyg,#afc,15
#coyg,#AFC,5
#coyg,#ARSWHU,4
#coyg,#premierleague,4
#arsenal,#Klopp,28
#Klopp,#Chelsea,15
#Klopp,#PremierLeague,4
#arsenal,#AFC,24
#AFC,#COYG,381
#AFC,#ARSWHU,186
#AFC,#Aouar,106
#AFC,#PremierLeague,41
#arsenal,#Chelsea,21
#Chelsea,#football,185
#Chelsea,#PremierLeague,81
#Chelsea,#AFC,22
#arsenal,#soccer,21
#soccer,#football,603
#soccer,#premierleague,31
#arsenal,#chelsea,20
#chelsea,#football,13
#chelsea,#soccer,7
#chelsea,#premierleague,4
#chelsea,#PremierLeague,4
#arsenal,#Aubameyang,17
#Aubameyang,#AubaSigns,78
#Aubameyang,#AFC,22
#Aubameyang,#COYG,17
#Aubameyang,#PremierLeague,7
#Aubameyang,#football,4
#arsenal,#Aouar,16
#Aouar,#AFC,106
#Aouar,#afc,23
#Aouar,#COYG,8
