src,dst,count
#arsenal,@Stuart_PhotoAFC,1869
@Stuart_PhotoAFC,@Arsenal,1833
@Stuart_PhotoAFC,@Aubameyang7,1805
@Stuart_PhotoAFC,@MesutOzil1088,1761
@Stuart_PhotoAFC,@AFTVMedia,10
#arsenal,@willianborges88,1559
@willianborges88,@Arsenal,7430
@willianborges88,@m8arteta,208
@willianborges88,@Aubameyang7,16
@willianborges88,@HoussemAouar,11
@willianborges88,@Carabao_Cup,7
#arsenal,@Arsenal,79
@Arsenal,@Aubameyang7,63782
@Arsenal,@emimartinezz1,31749
@Arsenal,@m8arteta,15393
@Arsenal,@EddieNketiah9,14414
@Arsenal,@HoussemAouar,12390
@Arsenal,@willianborges88,7400
#arsenal,@arseblognews,54
@arseblognews,@arseblog,3
#arsenal,@KelechiAFC,19
@KelechiAFC,@EddieNketiah9,56
@KelechiAFC,@TroopzAFC,55
@KelechiAFC,@Arsenal,31
@KelechiAFC,@Aubameyang7,15
@KelechiAFC,@m8arteta,9
@KelechiAFC,@AFTVMedia,4
#arsenal,@Aubameyang7,18
@Aubameyang7,@Arsenal,67012
@Aubameyang7,@MesutOzil1088,1834
@Aubameyang7,@Stuart_PhotoAFC,1812
@Aubameyang7,@m8arteta,260
#arsenal,@TroopzAFC,17
@TroopzAFC,@EddieNketiah9,120
@TroopzAFC,@KelechiAFC,107
@TroopzAFC,@AFTVMedia,41
@TroopzAFC,@Arsenal,9
@TroopzAFC,@Aubameyang7,6
#arsenal,@EddieNketiah9,16
@EddieNketiah9,@Arsenal,14366
@EddieNketiah9,@TroopzAFC,107
@EddieNketiah9,@KelechiAFC,95
@EddieNketiah9,@m8arteta,33
@EddieNketiah9,@Aubameyang7,3
@EddieNketiah9,@AFTVMedia,3
#arsenal,@arseblog,15
@arseblog,@Arsenal,10
@arseblog,@AFTVMedia,4
@arseblog,@arseblognews,3
@arseblog,@m8arteta,2
@arseblog,@ArsenalFC_fl,2
@arseblog,@Arsenalnewschan,1
#arsenal,@Arsenalnewschan,14
@Arsenalnewschan,@Arsenal,1472
@Arsenalnewschan,@MesutOzil1088,5
@Arsenalnewschan,@Aubameyang7,5
@Arsenalnewschan,@m8arteta,2
#arsenal,@emimartinezz1,12
@emimartinezz1,@Arsenal,33
@emimartinezz1,@AFTVMedia,8
@emimartinezz1,@Aubameyang7,7
#arsenal,@EmmaStonePT,10
@EmmaStonePT,@Stuart_PhotoAFC,3
#arsenal,@AthingArsenal,9
@AthingArsenal,@Arsenal,1
#arsenal,@GunnerBallZ,8
@GunnerBallZ,@Aubameyang7,7
@GunnerBallZ,@Arsenal,1
#arsenal,@m8arteta,8
@m8arteta,@Arsenal,15431
@m8arteta,@MesutOzil1088,517
@m8arteta,@Aubameyang7,260
@m8arteta,@willianborges88,208
@m8arteta,@EddieNketiah9,33
@m8arteta,@HoussemAouar,28
@m8arteta,@AFTVMedia,14
#arsenal,@AFTVMedia,8
@AFTVMedia,@Arsenal,402
@AFTVMedia,@Aubameyang7,45
@AFTVMedia,@TroopzAFC,28
@AFTVMedia,@m8arteta,14
@AFTVMedia,@Stuart_PhotoAFC,10
#arsenal,@HoussemAouar,7
@HoussemAouar,@Arsenal,12956
@HoussemAouar,@m8arteta,28
@HoussemAouar,@Aubameyang7,15
@HoussemAouar,@willianborges88,11
#arsenal,@Gids1980,7
#arsenal,@MesutOzil1088,7
@MesutOzil1088,@Arsenal,4107
@MesutOzil1088,@Aubameyang7,1834
@MesutOzil1088,@Stuart_PhotoAFC,1761
@MesutOzil1088,@m8arteta,462
#arsenal,@Tms_q8,7
#arsenal,@Carabao_Cup,7
@Carabao_Cup,@Arsenal,102
@Carabao_Cup,@willianborges88,7
#arsenal,@ArsenalFC_fl,6
@ArsenalFC_fl,@Arsenal,9
@ArsenalFC_fl,@AFTVMedia,5
@ArsenalFC_fl,@arseblog,2
@ArsenalFC_fl,@m8arteta,1
#arsenal,@w,6
#arsenal,@soccerfanatichq,5
#arsenal,@yiannimize,4
@yiannimize,@Aubameyang7,4
