src,dst,count
#corona,#covid19,150
#covid19,#coronavirus,643
#covid19,#covid,43
#covid19,#virus,26
#covid19,#stayhome,18
#covid19,#COVID19,18
#covid19,#lockdown,17
#covid19,#news,16
#covid19,#Corona,13
#covid19,#pandemie,12
#covid19,#covid_19,10
#covid19,#instagram,9
#corona,#coronavirus,97
#coronavirus,#COVID19,6135
#coronavirus,#covid19,623
#coronavirus,#Covid_19,459
#coronavirus,#Corona,393
#coronavirus,#COVID__19,277
#coronavirus,#COVIDー19,119
#coronavirus,#covid,96
#coronavirus,#Covid19,70
#coronavirus,#lockdown,67
#coronavirus,#virus,45
#coronavirus,#news,41
#corona,#covid,44
#covid,#coronavirus,108
#covid,#covid19,43
#covid,#COVID19,30
#covid,#lockdown,17
#covid,#stayhome,11
#covid,#Covid_19,11
#covid,#news,10
#covid,#india,8
#covid,#covid_19,7
#corona,#virus,28
#virus,#COVID19,34
#virus,#coronavirus,32
#virus,#covid19,26
#virus,#covid,11
#virus,#Corona,8
#virus,#deutschland,5
#virus,#daily,5
#virus,#pandemie,5
#virus,#maskenpflicht,5
#virus,#homeoffice,5
#virus,#homeschooling,5
#virus,#agebuch,5
#virus,#covid_19,4
#virus,#Covid_19,2
#corona,#coronalüge,20
#corona,#COVID19,19
#COVID19,#coronavirus,7463
#COVID19,#Corona,797
#COVID19,#COVID__19,487
#COVID19,#SARSCoV2,257
#corona,#COVIDー19,15
#COVIDー19,#coronavirus,102
#COVIDー19,#COVID19,72
#COVIDー19,#COVID__19,46
#COVIDー19,#Corona,46
#COVIDー19,#Covid_19,20
#COVIDー19,#CoronaVirusDE,10
#COVIDー19,#Covidioten,7
#COVIDー19,#Covid19,5
#corona,#COVID__19,15
#COVID__19,#COVID19,442
#COVID__19,#Corona,376
#COVID__19,#coronavirus,347
#COVID__19,#COVIDー19,35
#COVID__19,#Covidioten,32
#COVID__19,#Covid_19,19
#corona,#lockdown,13
#lockdown,#COVID19,121
#lockdown,#coronavirus,85
#lockdown,#COVID__19,19
