src,dst,count
#coronavirus,#COVID19,1066
#COVID19,#TrumpKnew,3004
#COVID19,#TrumpLiedPeopleDied,498
#COVID19,#Trump,417
#COVID19,#COVID,396
#COVID19,#BobWoodward,153
#COVID19,#TrumpTapes,135
#COVID19,#China,79
#COVID19,#Corona,58
#COVID19,#TrumpVirus,58
#COVID19,#mentalhealth,53
#COVID19,#Iran,50
#coronavirus,#TrumpKnew,491
#TrumpKnew,#TrumpLiedPeopleDied,17982
#TrumpKnew,#TrumpTapes,6602
#TrumpKnew,#covid19,5242
#TrumpKnew,#COVID19,2200
#TrumpKnew,#TrumpVirus,2091
#TrumpKnew,#WoodwardTapes,701
#TrumpKnew,#Trump,635
#coronavirus,#COVID,152
#COVID,#Trump,536
#COVID,#COVID19,396
#COVID,#TrumpKnew,267
#COVID,#riots,53
#COVID,#protests,31
#COVID,#BobWoodward,31
#COVID,#China,11
#COVID,#COVID__19,9
#COVID,#mentalhealth,8
#COVID,#TrumpVirus,8
#COVID,#GOP,8
#COVID,#TrumpLiedPeopleDied,7
#COVID,#Covid_19,6
#coronavirus,#Trump,106
#Trump,#COVID19,687
#Trump,#TrumpKnew,635
#Trump,#COVID,338
#Trump,#TrumpLiedPeopleDied,169
#Trump,#China,97
#Trump,#GOP,85
#Trump,#USA,44
#Trump,#TrumpTapes,39
#Trump,#BobWoodward,26
#Trump,#Covid_19,24
#coronavirus,#GOP,95
#GOP,#TrumpVirus,92
#GOP,#UNMAGA,89
#GOP,#TrumpLiesAmericansDie,89
#GOP,#HumptyTrumpty,89
#GOP,#BobWoodward,87
#GOP,#Trump,85
#GOP,#DopeyDon,62
#GOP,#TrumpKnew,30
#GOP,#TrumpLiedPeopleDied,16
#GOP,#COVID19,15
#GOP,#TrumpTapes,10
#GOP,#COVID,8
#coronavirus,#DopeyDon,93
#DopeyDon,#UNMAGA,62
#DopeyDon,#TrumpLiesAmericansDie,62
#DopeyDon,#HumptyTrumpty,62
#DopeyDon,#GOP,62
#DopeyDon,#BobWoodward,60
#DopeyDon,#TrumpVirus,59
#coronavirus,#HumptyTrumpty,89
#HumptyTrumpty,#TrumpLiesAmericansDie,89
#HumptyTrumpty,#DopeyDon,89
#HumptyTrumpty,#BobWoodward,87
#HumptyTrumpty,#UNMAGA,64
#HumptyTrumpty,#GOP,62
#HumptyTrumpty,#TrumpVirus,59
#HumptyTrumpty,#COVID19,1
#coronavirus,#UNMAGA,89
#UNMAGA,#DopeyDon,89
#UNMAGA,#TrumpLiesAmericansDie,89
#UNMAGA,#BobWoodward,87
#UNMAGA,#HumptyTrumpty,64
#UNMAGA,#GOP,62
#UNMAGA,#TrumpVirus,59
#UNMAGA,#COVID19,1
#coronavirus,#TrumpVirus,84
#TrumpVirus,#TrumpKnew,1687
#TrumpVirus,#TrumpLiedPeopleDied,936
#TrumpVirus,#TrumpLiesAmericansDie,197
#TrumpVirus,#GOP,92
#TrumpVirus,#UNMAGA,86
#TrumpVirus,#HumptyTrumpty,86
#TrumpVirus,#BobWoodward,64
#TrumpVirus,#DopeyDon,59
#TrumpVirus,#COVID19,58
#TrumpVirus,#TrumpTapes,57
#TrumpVirus,#Trump,12
#coronavirus,#China,77
#China,#India,384
#China,#Trump,165
#China,#COVID19,100
#China,#Turkey,87
#China,#USA,57
#China,#Pakistan,41
#China,#Iran,22
#China,#TrumpKnew,12
#coronavirus,#covid19,68
#covid19,#TrumpKnew,5242
#covid19,#pandemic,26
#covid19,#covid,13
#covid19,#mentalhealth,13
#covid19,#Trump,12
#covid19,#COVID19,11
#covid19,#Corona,7
#coronavirus,#BobWoodward,65
#BobWoodward,#TrumpKnew,203
#BobWoodward,#COVID19,129
#BobWoodward,#GOP,87
#BobWoodward,#UNMAGA,87
#BobWoodward,#HumptyTrumpty,87
#BobWoodward,#TrumpLiesAmericansDie,87
#BobWoodward,#TrumpVirus,64
#BobWoodward,#DopeyDon,60
#BobWoodward,#COVID,31
#BobWoodward,#Trump,26
#BobWoodward,#TrumpLiedPeopleDied,7
#BobWoodward,#TrumpTapes,5
#BobWoodward,#Covid19,4
#BobWoodward,#pandemic,3
#coronavirus,#TrumpLiesAmericansDie,64
#TrumpLiesAmericansDie,#TrumpKnew,314
#TrumpLiesAmericansDie,#TrumpVirus,197
#TrumpLiesAmericansDie,#HumptyTrumpty,89
#TrumpLiesAmericansDie,#UNMAGA,89
#TrumpLiesAmericansDie,#GOP,89
#TrumpLiesAmericansDie,#BobWoodward,87
#TrumpLiesAmericansDie,#DopeyDon,62
#TrumpLiesAmericansDie,#TrumpLiedPeopleDied,6
#TrumpLiesAmericansDie,#COVID19,6
#coronavirus,#Turkey,58
#Turkey,#Iran,257
#Turkey,#Pakistan,92
#Turkey,#USA,87
#Turkey,#China,87
#coronavirus,#Corona,51
#Corona,#COVID19,71
#Corona,#Trump,12
#Corona,#COVID__19,7
#Corona,#covid19,7
#Corona,#COVID,6
#coronavirus,#riots,38
#riots,#COVID,46
#riots,#protests,40
#riots,#COVID19,1
#riots,#TrumpLiedPeopleDied,1
#coronavirus,#protests,38
#protests,#riots,40
#protests,#COVID,38
#protests,#COVID19,3
#protests,#Peace,2
#protests,#Trump,2
#protests,#pandemic,1
#coronavirus,#Iran,25
#Iran,#Turkey,171
#Iran,#COVID19,50
#Iran,#China,22
#Iran,#Pakistan,15
