src,dst,count
#explosion,#confetti,16
#confetti,#birthday,226
#confetti,#colorful,78
#confetti,#celebration,72
#confetti,#falling,56
#confetti,#event,47
#confetti,#overlay,36
#confetti,#happy,24
#confetti,#award,23
#confetti,#anniversary,15
#confetti,#year,9
#confetti,#holiday,9
#confetti,#new,9
#confetti,#party,7
#explosion,#Beyrouth,15
#Beyrouth,#incendie,622
#Beyrouth,#Gemayzeh,8
#Beyrouth,#Beirut,3
#Beyrouth,#Lebanon,3
#explosion,#Beirut,10
#Beirut,#Lebanon,1411
#Beirut,#incendie,71
#explosion,#Gemayzeh,8
#Gemayzeh,#Beyrouth,8
#explosion,#celebration,6
#celebration,#confetti,72
#celebration,#colorful,36
#celebration,#birthday,25
#celebration,#falling,16
#celebration,#event,14
#celebration,#award,14
#celebration,#happy,12
#celebration,#party,10
#celebration,#anniversary,6
#celebration,#holiday,6
#celebration,#overlay,6
#celebration,#new,5
#celebration,#year,5
#explosion,#falling,6
#falling,#confetti,56
#falling,#colorful,16
#falling,#celebration,16
#falling,#event,14
#falling,#award,14
#falling,#birthday,9
#falling,#overlay,6
#falling,#anniversary,6
#falling,#happy,5
#falling,#year,5
#falling,#new,5
#falling,#holiday,5
#falling,#party,4
#explosion,#Lebanon,6
#Lebanon,#Beirut,1867
#explosion,#incendie,6
#incendie,#Beyrouth,622
#incendie,#Beirut,71
#explosion,#colorful,6
#colorful,#confetti,78
#colorful,#celebration,36
#colorful,#birthday,24
#colorful,#event,14
#colorful,#award,14
#colorful,#overlay,14
#colorful,#happy,12
#colorful,#falling,8
#colorful,#anniversary,6
#colorful,#holiday,5
#colorful,#year,5
#colorful,#new,5
#colorful,#party,4
#explosion,#overlay,6
#overlay,#confetti,36
#overlay,#birthday,14
#overlay,#colorful,14
#overlay,#happy,12
#overlay,#celebration,6
#overlay,#award,6
#overlay,#anniversary,6
#overlay,#falling,6
#overlay,#event,5
#overlay,#holiday,5
#overlay,#new,5
#overlay,#year,5
#overlay,#party,4
#explosion,#Dominica,6
#explosion,#anniversary,6
#anniversary,#confetti,15
#anniversary,#birthday,7
#anniversary,#celebration,6
#anniversary,#award,6
#anniversary,#falling,6
#anniversary,#overlay,6
#anniversary,#colorful,6
#anniversary,#happy,5
#anniversary,#party,5
#anniversary,#event,5
#anniversary,#holiday,5
#anniversary,#new,5
#anniversary,#year,5
#explosion,#award,6
#award,#confetti,23
#award,#birthday,15
#award,#falling,14
#award,#event,12
#award,#colorful,7
#award,#celebration,7
#award,#anniversary,6
#award,#overlay,6
#award,#new,5
#award,#holiday,5
#award,#happy,5
#award,#year,5
#award,#party,4
#explosion,#birthday,6
#birthday,#confetti,116
#birthday,#celebration,25
#birthday,#event,21
#birthday,#happy,19
#birthday,#falling,18
#birthday,#award,15
#birthday,#party,15
#birthday,#overlay,14
#birthday,#colorful,12
#birthday,#anniversary,7
#birthday,#holiday,6
#birthday,#new,6
#explosion,#happy,5
#explosion,#year,5
#year,#confetti,9
#year,#event,5
#year,#new,5
#year,#award,5
#year,#birthday,5
#year,#celebration,5
#year,#colorful,5
#year,#falling,5
#year,#happy,5
#year,#holiday,5
#year,#overlay,5
#year,#anniversary,5
#year,#party,4
#explosion,#holiday,5
#holiday,#confetti,9
#holiday,#new,7
#explosion,#event,5
#event,#confetti,47
#event,#birthday,21
#event,#celebration,14
#event,#colorful,14
#event,#falling,14
#event,#award,12
#event,#party,9
#event,#new,5
#event,#anniversary,5
#event,#overlay,5
#event,#happy,5
#event,#holiday,5
#event,#year,5
#explosion,#new,5
#new,#happy,13
#explosion,#party,4
#party,#birthday,15
#party,#celebration,10
#party,#event,9
#party,#confetti,7
#party,#new,6
#party,#holiday,5
#party,#happy,4
#party,#year,4
#party,#overlay,4
#party,#falling,4
