src,dst,count
#explosion,@RimaTarabay,11
#explosion,@Jerusalem_Post,7
#explosion,@LPLdirect,5
#explosion,@SYRedCrescent,3
#explosion,@JetteCarole,3
@JetteCarole,@LoiseauChantale,2
#explosion,@indian,3
#explosion,@AFP_MENA,3
#explosion,@DsprOffice,2
#explosion,@ourvadodara,2
#explosion,@tshunter007,2
@tshunter007,@AlineMonteiroTs,2
#explosion,@hakrashaa,2
#explosion,@LoiseauChantale,2
@LoiseauChantale,@JetteCarole,2
#explosion,@AlineMonteiroTs,2
@AlineMonteiroTs,@tshunter007,2
#explosion,@PenanceRPG,2
#explosion,@Nastar1232,1
#explosion,@YouTube,1
#explosion,@thefuture__99,1
@thefuture__99,@nxlvlup,1
@thefuture__99,@TheSpringLeague,1
#explosion,@ArabNewsfr,1
#explosion,@TheSpringLeague,1
@TheSpringLeague,@thefuture__99,1
@TheSpringLeague,@nxlvlup,1
#explosion,@nxlvlup,1
@nxlvlup,@thefuture__99,1
@nxlvlup,@TheSpringLeague,1
