src,dst,count
#india,#china,46
#china,#russia,113
#china,#instagood,20
#china,#usa,18
#china,#turkey,13
#china,#instagram,12
#india,#turkey,31
#turkey,#USA,84
#turkey,#usa,77
#turkey,#russia,54
#turkey,#instagram,47
#india,#cricket,27
#cricket,#sport,37
#cricket,#sports,24
#cricket,#cricketer,23
#cricket,#gametime,21
#cricket,#teamindia,21
#cricket,#cricketbat,21
#cricket,#Spartan,20
#cricket,#cricketfans,18
#cricket,#cricketfever,17
#cricket,#motivation,16
#cricket,#cricketball,15
#cricket,#running,15
#cricket,#sportlife,15
#india,#sports,24
#sports,#sport,1045
#sports,#cricket,24
#sports,#motivation,24
#sports,#running,24
#sports,#gametime,20
#sports,#teamindia,18
#sports,#Spartan,18
#sports,#sportlife,17
#sports,#cricketer,17
#sports,#cricketbat,17
#sports,#news,16
#sports,#cricketfever,15
#sports,#cricketfans,15
#india,#memes,23
#memes,#meme,204
#memes,#funny,185
#memes,#lmao,67
#memes,#humor,46
#memes,#fail,44
#memes,#lol,25
#memes,#joker,22
#india,#sport,23
#sport,#sports,1097
#sport,#news,959
#sport,#motivation,128
#sport,#love,120
#sport,#running,59
#india,#indians,23
#indians,#news,3
#indians,#china,2
#indians,#usa,1
#india,#humor,22
#humor,#memes,55
#humor,#lmao,40
#humor,#funny,39
#humor,#lol,32
#humor,#meme,27
#humor,#fail,25
#humor,#joker,22
#humor,#love,3
#india,#joker,22
#joker,#humor,22
#joker,#fail,22
#joker,#memes,22
#joker,#lol,22
#joker,#lmao,22
#joker,#funny,22
#joker,#meme,20
#india,#lol,22
#lol,#fail,144
#lol,#funny,51
#lol,#lmao,49
#lol,#humor,32
#lol,#meme,27
#lol,#memes,25
#lol,#joker,22
#lol,#love,7
#lol,#sport,4
#lol,#instagood,4
#india,#funny,22
#funny,#memes,174
#funny,#love,159
#funny,#lmao,124
#funny,#meme,105
#funny,#fail,80
#funny,#lol,75
#funny,#humor,43
#funny,#joker,22
#funny,#usa,7
#india,#lmao,22
#lmao,#funny,144
#lmao,#memes,111
#lmao,#meme,76
#lmao,#lol,49
#lmao,#humor,40
#lmao,#fail,39
#lmao,#joker,22
#lmao,#instagood,3
#lmao,#love,3
#lmao,#sports,2
#lmao,#sport,2
#india,#fail,22
#fail,#lol,165
#fail,#funny,108
#fail,#lmao,39
#fail,#memes,34
#fail,#meme,31
#fail,#humor,25
#fail,#joker,22
#india,#meme,22
#meme,#memes,204
#meme,#funny,105
#meme,#lmao,76
#meme,#fail,31
#meme,#humor,27
#meme,#lol,25
#meme,#joker,20
#india,#USA,21
#USA,#UK,314
#USA,#Japan,64
#USA,#turkey,58
#india,#pakistan,21
#pakistan,#bangladesh,28
#pakistan,#turkey,14
#pakistan,#military,8
#pakistan,#china,6
#pakistan,#love,6
#pakistan,#instagood,5
#pakistan,#instagram,4
#pakistan,#asia,4
#pakistan,#news,4
#pakistan,#indian,3
#india,#cricketer,21
#cricketer,#cricket,23
#cricketer,#Spartan,21
#cricketer,#gametime,21
#cricketer,#teamindia,20
#cricketer,#cricketbat,20
#cricketer,#sports,18
#cricketer,#cricketfans,17
#cricketer,#cricketfever,16
#cricketer,#sportlife,16
#cricketer,#sport,16
#cricketer,#running,16
#cricketer,#motivation,16
#cricketer,#cricketball,16
#india,#teamindia,21
#teamindia,#cricket,21
#teamindia,#gametime,21
#teamindia,#cricketer,20
#teamindia,#Spartan,20
#teamindia,#cricketbat,20
#teamindia,#sports,18
#teamindia,#cricketfans,16
#teamindia,#cricketfever,16
#teamindia,#sport,16
#teamindia,#sportlife,15
#teamindia,#running,15
#teamindia,#motivation,15
#teamindia,#cricketball,15
#india,#cricketbat,20
#cricketbat,#teamindia,21
#cricketbat,#gametime,21
#cricketbat,#cricketer,21
#cricketbat,#cricket,20
#cricketbat,#Spartan,20
#cricketbat,#sports,17
#cricketbat,#cricketfans,17
#cricketbat,#sport,16
#cricketbat,#motivation,16
#cricketbat,#sportlife,15
#cricketbat,#running,15
#cricketbat,#cricketfever,15
#cricketbat,#cricketball,15
#india,#Spartan,20
#Spartan,#cricketer,21
#Spartan,#cricket,20
#Spartan,#cricketbat,20
#Spartan,#teamindia,20
#Spartan,#gametime,20
#Spartan,#cricketfans,17
#Spartan,#sports,17
#Spartan,#motivation,16
#Spartan,#running,16
#Spartan,#cricketfever,15
