src,dst,count
*india,#FakeGandhi,76
#FakeGandhi,#DalitLivesMatter,22
#FakeGandhi,#fakegandhi,21
#FakeGandhi,#ABPKoRokoMat,13
#FakeGandhi,#HathrasCase,8
*india,#ABPKoRokoMat,43
#ABPKoRokoMat,#HathrasCase,32
#ABPKoRokoMat,#DalitLivesMatter,30
#ABPKoRokoMat,#FakeGandhi,13
#ABPKoRokoMat,#HungerStrike4SSR,4
*india,#DalitLivesMatter,34
#DalitLivesMatter,#HathrasCase,112
#DalitLivesMatter,#JusticeForManisha,71
#DalitLivesMatter,#ABPKoRokoMat,30
#DalitLivesMatter,#FakeGandhi,22
*india,#COVID19,19
#COVID19,#BREAKING,17
*india,#HungerStrike4SSR,15
#HungerStrike4SSR,#WorldMovement4SSR,186
#HungerStrike4SSR,#RepublicFor302,107
#HungerStrike4SSR,#DalitLivesMatter,6
*india,#BREAKING,15
#BREAKING,#COVID19,17
*india,#VynamitePartae,14
*india,#FATFMustBlackListIndia,14
#FATFMustBlackListIndia,#RepublicFor302,1
#FATFMustBlackListIndia,#FakeGandhi,1
#FATFMustBlackListIndia,#DalitLivesMatter,1
*india,#1MonthForKingSRKsBDay,10
*india,#fakegandhi,9
#fakegandhi,#FakeGandhi,21
#fakegandhi,#india,5
#fakegandhi,#DalitLivesMatter,3
#fakegandhi,#HathrasCase,2
#fakegandhi,#MahatmaGandhi,2
*india,#FATF,8
*india,#HathrasCase,5
#HathrasCase,#DalitLivesMatter,112
#HathrasCase,#ABPKoRokoMat,32
#HathrasCase,#JusticeForManisha,8
#HathrasCase,#FakeGandhi,8
*india,#JusticeForManisha,4
#JusticeForManisha,#DalitLivesMatter,71
#JusticeForManisha,#HathrasCase,8
#JusticeForManisha,#rapevictim,4
#JusticeForManisha,#RAPECULTURE,3
#JusticeForManisha,#MahatmaGandhi,2
#JusticeForManisha,#ABPKoRokoMat,2
*india,#KomaramBheemEuphoriaSoon,4
#KomaramBheemEuphoriaSoon,#KomaramBheemNTR,29
#KomaramBheemEuphoriaSoon,#CSKvsSRH,1
*india,#KomaramBheemNTR,4
#KomaramBheemNTR,#KomaramBheemEuphoriaSoon,29
#KomaramBheemNTR,#CSKvsSRH,4
#KomaramBheemNTR,#DalitLivesMatter,3
*india,#RepublicFor302,4
#RepublicFor302,#HungerStrike4SSR,107
#RepublicFor302,#WorldMovement4SSR,7
#RepublicFor302,#FakeGandhi,3
#RepublicFor302,#DalitLivesMatter,2
#RepublicFor302,#HathrasCase,1
*india,#WorldMovement4SSR,4
#WorldMovement4SSR,#HungerStrike4SSR,186
#WorldMovement4SSR,#RepublicFor302,7
*india,#MahatmaGandhi,4
#MahatmaGandhi,#HathrasCase,4
#MahatmaGandhi,#FakeGandhi,3
#MahatmaGandhi,#1MonthForKingSRKsBday,2
#MahatmaGandhi,#RAPECULTURE,2
#MahatmaGandhi,#fakegandhi,2
#MahatmaGandhi,#JusticeForManisha,2
#MahatmaGandhi,#rapevictim,2
*india,#india,3
#india,#fakegandhi,5
#india,#MahatmaGandhi,1
#india,#HathrasCase,1
#india,#ElonMusk,1
*india,#VaibhavSummit,3
*india,#ElonMusk,3
#ElonMusk,#india,1
*india,#RAPECULTURE,3
#RAPECULTURE,#rapevictim,3
#RAPECULTURE,#JusticeForManisha,3
#RAPECULTURE,#MahatmaGandhi,2
#RAPECULTURE,#DalitLivesMatter,1
*india,#CSKvsSRH,3
*india,#rapevictim,3
#rapevictim,#JusticeForManisha,4
#rapevictim,#RAPECULTURE,3
#rapevictim,#MahatmaGandhi,2
#rapevictim,#DalitLivesMatter,1
*india,#1MonthForKingSRKsBday,3
#1MonthForKingSRKsBday,#MahatmaGandhi,2
#1MonthForKingSRKsBday,#CSKvsSRH,1
