*india,1.0
#DalitLivesMatter,0.48
#MahatmaGandhi,0.36
#HathrasCase,0.36
#FakeGandhi,0.32
#RepublicFor302,0.28
#JusticeForManisha,0.28
#fakegandhi,0.24
#ABPKoRokoMat,0.24
#india,0.2
#rapevictim,0.2
#RAPECULTURE,0.2
#HungerStrike4SSR,0.2
#FATFMustBlackListIndia,0.16
#KomaramBheemNTR,0.16
#CSKvsSRH,0.16
#1MonthForKingSRKsBday,0.12
#KomaramBheemEuphoriaSoon,0.12
#WorldMovement4SSR,0.12
#COVID19,0.08
#ElonMusk,0.08
#BREAKING,0.08
#VaibhavSummit,0.04
#VynamitePartae,0.04
#1MonthForKingSRKsBDay,0.04
#FATF,0.04
