src,dst,count
*india,#FakeGandhi,76
#FakeGandhi,#DalitLivesMatter,22
#FakeGandhi,#fakegandhi,21
#FakeGandhi,#ABPKoRokoMat,13
#FakeGandhi,#HathrasCase,8
#FakeGandhi,#GandhiJayanti,5
#FakeGandhi,#RepublicFor302,3
#FakeGandhi,#CSKvsSRH,3
#FakeGandhi,#MahatmaGandhi,3
#FakeGandhi,#HathrasHorrorShocksIndia,2
*india,#ABPKoRokoMat,43
#ABPKoRokoMat,#HathrasCase,32
#ABPKoRokoMat,#DalitLivesMatter,30
#ABPKoRokoMat,#FakeGandhi,13
#ABPKoRokoMat,#HathrasHorrorShocksIndia,7
#ABPKoRokoMat,#HungerStrike4SSR,4
#ABPKoRokoMat,#HathrasHorror,3
#ABPKoRokoMat,#JusticeForManisha,2
*india,#DalitLivesMatter,34
#DalitLivesMatter,#HathrasCase,112
#DalitLivesMatter,#JusticeForManisha,71
#DalitLivesMatter,#HathrasHorrorShocksIndia,33
#DalitLivesMatter,#ABPKoRokoMat,30
#DalitLivesMatter,#HathrasHorror,25
#DalitLivesMatter,#FakeGandhi,22
#DalitLivesMatter,#UttarPradesh,16
#DalitLivesMatter,#YogiResignNOW,14
#DalitLivesMatter,#BalrampurHorror,11
#DalitLivesMatter,#GandhiJayanti,8
#DalitLivesMatter,#HungerStrike4SSR,6
*india,#COVID19,19
#COVID19,#BREAKING,17
*india,#HungerStrike4SSR,15
#HungerStrike4SSR,#WorldMovement4SSR,186
#HungerStrike4SSR,#RepublicFor302,107
#HungerStrike4SSR,#Revolution4SSR,39
#HungerStrike4SSR,#DalitLivesMatter,6
#HungerStrike4SSR,#ABPKoRokoMat,4
#HungerStrike4SSR,#HathrasCase,3
#HungerStrike4SSR,#HathrasHorrorShocksIndia,2
*india,#BREAKING,15
#BREAKING,#COVID19,17
#BREAKING,#HathrasHorrorShocksIndia,1
#BREAKING,#HathrasCase,1
#BREAKING,#DalitLivesMatter,1
*india,#VynamitePartae,14
#VynamitePartae,#Dynamite,6
*india,#FATFMustBlackListIndia,14
#FATFMustBlackListIndia,#RepublicFor302,1
#FATFMustBlackListIndia,#FakeGandhi,1
#FATFMustBlackListIndia,#DalitLivesMatter,1
*india,#1MonthForKingSRKsBDay,10
*india,#fakegandhi,9
#fakegandhi,#FakeGandhi,21
#fakegandhi,#india,5
#fakegandhi,#DalitLivesMatter,3
#fakegandhi,#HathrasCase,2
#fakegandhi,#MahatmaGandhi,2
#fakegandhi,#Haryana,1
#fakegandhi,#GandhiJayanti,1
#fakegandhi,#Farmers,1
#fakegandhi,#CSKvsSRH,1
*india,#FATF,8
*india,#HathrasCase,5
#HathrasCase,#DalitLivesMatter,112
#HathrasCase,#ABPKoRokoMat,32
#HathrasCase,#HathrasHorrorShocksIndia,31
#HathrasCase,#HathrasHorror,14
#HathrasCase,#GandhiJayanti,9
#HathrasCase,#JusticeForManisha,8
#HathrasCase,#FakeGandhi,8
#HathrasCase,#UttarPradesh,6
#HathrasCase,#MahatmaGandhi,4
#HathrasCase,#YogiResignNOW,3
#HathrasCase,#HungerStrike4SSR,3
*india,#JusticeForManisha,4
#JusticeForManisha,#DalitLivesMatter,71
#JusticeForManisha,#HathrasHorrorShocksIndia,12
#JusticeForManisha,#HathrasCase,8
#JusticeForManisha,#rapevictim,4
#JusticeForManisha,#RAPECULTURE,3
#JusticeForManisha,#YogiResignNOW,3
#JusticeForManisha,#MahatmaGandhi,2
#JusticeForManisha,#NarendraModi,2
#JusticeForManisha,#HathrasHorror,2
#JusticeForManisha,#Genocide,2
#JusticeForManisha,#Dynamite,2
#JusticeForManisha,#rapeculture,2
#JusticeForManisha,#ABPKoRokoMat,2
*india,#KomaramBheemEuphoriaSoon,4
#KomaramBheemEuphoriaSoon,#KomaramBheemNTR,29
#KomaramBheemEuphoriaSoon,#CSKvsSRH,1
*india,#KomaramBheemNTR,4
#KomaramBheemNTR,#KomaramBheemEuphoriaSoon,29
#KomaramBheemNTR,#CSKvsSRH,4
#KomaramBheemNTR,#DalitLivesMatter,3
#KomaramBheemNTR,#FakeGandhi,1
*india,#RepublicFor302,4
#RepublicFor302,#HungerStrike4SSR,107
#RepublicFor302,#WorldMovement4SSR,7
#RepublicFor302,#FakeGandhi,3
#RepublicFor302,#Revolution4SSR,2
#RepublicFor302,#DalitLivesMatter,2
#RepublicFor302,#HathrasCase,1
#RepublicFor302,#FATFMustBlackListIndia,1
#RepublicFor302,#ABPKoRokoMat,1
*india,#WorldMovement4SSR,4
#WorldMovement4SSR,#HungerStrike4SSR,186
#WorldMovement4SSR,#RepublicFor302,7
#WorldMovement4SSR,#Revolution4SSR,3
*india,#MahatmaGandhi,4
#MahatmaGandhi,#GandhiJayanti,23
#MahatmaGandhi,#HathrasCase,4
#MahatmaGandhi,#FakeGandhi,3
#MahatmaGandhi,#NarendraModi,2
#MahatmaGandhi,#1MonthForKingSRKsBday,2
#MahatmaGandhi,#Genocide,2
#MahatmaGandhi,#RAPECULTURE,2
#MahatmaGandhi,#Dynamite,2
#MahatmaGandhi,#YogiResignNOW,2
#MahatmaGandhi,#fakegandhi,2
#MahatmaGandhi,#JusticeForManisha,2
