src,dst,count
#AllEyesOnCBI,#302ForSSRKillers,55
#AllEyesOnCBI,#BoycottBollywood,30
#AllEyesOnCBI,#Justice4SSRIsGlobalDemand,11
#AllEyesOnCBI,#Revolution4SSR,4
#AllEyesOnCBI,#justiceforSushanthSinghRajput,4
#AllEyesOnCBI,#SSRDeathIsNotSuicide,4
#AllEyesOnCBI,#ArrestSSRKillersNow,3
#AllEyesOnCBI,#Warriors4SSR,3
#AllEyesOnCBI,#NoJusticeNoVote,3
#AllEyesOnCBI,#302ForSSR,3
#AllEyesOnCBI,#Warriors4SRR,3
#AllEyesOnCBI,#JusticeForSushantSinghRajput,3
#AllEyesOnCBI,#SSR,3
#AllEyesOnCBI,#HungerStrike4SSR,3
#AllEyesOnCBI,#SushantSinghRajput,3
#AllEyesOnCBI,#JusticeForSSR,2
#AllEyesOnCBI,#AIIMS,2
#AllEyesOnCBI,#AIIMSSoldOut,2
#AllEyesOnCBI,#SSRians,2
#AllEyesOnCBI,#SSRcase,2
#AllEyesOnCBI,#WorldAnimalDay,2
#AllEyesOnCBI,#BiharElection,1
#AllEyesOnCBI,#hathras,1
#AllEyesOnCBI,#2yearsofclassic96,1
#AllEyesOnCBI,#JusticeforSSR,1
#AllEyesOnCBI,#SushantWasMurdered,1
#AllEyesOnCBI,#WarriorsRoar4SSR,1
#AllEyesOnCBI,#AIIMSBikGaya,1
#AllEyesOnCBI,#AIIMSreport,1
#AllEyesOnCBI,#2YearsofRamJaanu,1
#AllEyesOnCBI,#WorldMovement4SSR,1
#AllEyesOnCBI,#CBI,1
#AllEyesOnCBI,#SHAME,1
#AllEyesOnCBI,#sorrybabu,1
#AllEyesOnCBI,#NoJusticeNoVoteToBJP,1
#AllEyesOnCBI,#NCB,1
#AllEyesOnCBI,#Borndeaf,1
#AllEyesOnCBI,#AllEyesOnrepublic,1
#AllEyesOnCBI,#SuspendDrSudhirGupta,1
#AllEyesOnCBI,#SushantPatents,1
#AllEyesOnCBI,#Khiladi420,1
#AllEyesOnCBI,#HateBollywood,1
#AllEyesOnCBI,#Drugs,1
#AllEyesOnCBI,#ChorKhiladi,1
#AllEyesOnCBI,#BoycottTimesNow,1
#AllEyesOnCBI,#AkshayKumar,1
#AllEyesOnCBI,#302PhaasiDo,1
#AllEyesOnCBI,#Ahmedabad,1
#AllEyesOnCBI,#RishabhPant,1
#AllEyesOnCBI,#CSKvsKXIP,1
#AllEyesOnCBI,#हाथरस_कांड_बिकाऊ_मीडिया,1
#AllEyesOnCBI,#HathrasTruthExposed,1
#AllEyesOnCBI,#देश_पीडित_के_साथ,1
#AllEyesOnCBI,#देश_योगी_जी_के_साथ,1
#AllEyesOnCBI,#राजस्थान_में_हाहाकार,1
#AllEyesOnCBI,#हाथरस,1
#AllEyesOnCBI,#हाथरस_का_सच,1
#AllEyesOnCBI,#हाथरस_के_गिद्ध,1
#AllEyesOnCBI,#HathrasCase,1
#AllEyesOnCBI,#ArnabGoswami,1
#AllEyesOnCBI,#AIIMSBeFairInSSRMurderCase,1
#AllEyesOnCBI,#JusticeForDishaSalian,1
#AllEyesOnCBI,#SuspendDrsudhirGupta,1
#AllEyesOnCBI,#Drsudheergupta,1
#AllEyesOnCBI,#justice4SSR,1
#AllEyesOnCBI,#HathrasTapes,1
#AllEyesOnCBI,#CrimeCapitalRajasthan,1
#AllEyesOnCBI,#Cure,1
#AllEyesOnCBI,#SundaySpecial,1
#AllEyesOnCBI,#Deafness,1
#AllEyesOnCBI,#India,1
#AllEyesOnCBI,#MIvsSRH,1
#AllEyesOnCBI,#Message_To_KanganaRanaut,1
#AllEyesOnCBI,#PradeepMaharathy,1
#AllEyesOnCBI,#SRHvsMI,1
#AllEyesOnCBI,#Tinnitus,1
#AllEyesOnCBI,#ArrestDishaSSRKillers,1
#AllEyesOnCBI,#Treatment,1
#AllEyesOnCBI,#UPSC,1
#AllEyesOnCBI,#WhatACatch,1
#AllEyesOnCBI,#fb,1
#AllEyesOnCBI,#SatyagrahForSSR,1
#AllEyesOnCBI,#sundayvibes,1
#AllEyesOnCBI,#Revoultion4SSR,1
