src,dst,count
#Message_To_KanganaRanaut,$1180833453916315649,10
#Message_To_KanganaRanaut,$1291750861853429763,7
#Message_To_KanganaRanaut,$1254066590699581440,6
#Message_To_KanganaRanaut,$1305863360408432640,6
#Message_To_KanganaRanaut,$1235439483983745025,6
#Message_To_KanganaRanaut,$926732300196265985,6
#Message_To_KanganaRanaut,$1127234597593522177,5
#Message_To_KanganaRanaut,$1292389969361682433,5
#Message_To_KanganaRanaut,$1302815933669408768,5
#Message_To_KanganaRanaut,$1228991874972737536,4
#Message_To_KanganaRanaut,$1169223634029694976,4
#Message_To_KanganaRanaut,$1150716163128619008,4
#Message_To_KanganaRanaut,$1209448372332969989,4
#Message_To_KanganaRanaut,$949292190705926145,4
#Message_To_KanganaRanaut,$1264397723299536896,4
#Message_To_KanganaRanaut,$1272356913355710464,3
#Message_To_KanganaRanaut,$1307962890972921857,3
#Message_To_KanganaRanaut,$1181260682391474176,3
#Message_To_KanganaRanaut,$1212076208113909760,3
#Message_To_KanganaRanaut,$833768460081569793,3
#Message_To_KanganaRanaut,$971686511790972933,3
#Message_To_KanganaRanaut,$1073124915505557504,3
#Message_To_KanganaRanaut,$1306538025204281344,3
#Message_To_KanganaRanaut,$1264905763585011712,2
#Message_To_KanganaRanaut,$1228890848835723264,2
#Message_To_KanganaRanaut,$1285117204900360193,2
#Message_To_KanganaRanaut,$1295199942022057987,2
#Message_To_KanganaRanaut,$1226509329643139073,2
#Message_To_KanganaRanaut,$1224575461566504962,2
#Message_To_KanganaRanaut,$1288460704530550785,2
#Message_To_KanganaRanaut,$845524846746456065,2
#Message_To_KanganaRanaut,$1190940966112202753,2
#Message_To_KanganaRanaut,$1232665009693626368,2
#Message_To_KanganaRanaut,$1015538370443907072,2
#Message_To_KanganaRanaut,$1277787731196772352,2
#Message_To_KanganaRanaut,$1247829329045671936,2
#Message_To_KanganaRanaut,$1301334756437553153,2
#Message_To_KanganaRanaut,$1305822760216666112,2
#Message_To_KanganaRanaut,$2605390296,2
#Message_To_KanganaRanaut,$1301928128495853569,2
#Message_To_KanganaRanaut,$1192005595861176320,1
#Message_To_KanganaRanaut,$1203607237568188417,1
#Message_To_KanganaRanaut,$1231395557014302720,1
#Message_To_KanganaRanaut,$1242358749609656320,1
#Message_To_KanganaRanaut,$1287331567107481600,1
#Message_To_KanganaRanaut,$1276403926837760004,1
#Message_To_KanganaRanaut,$1169615397605146625,1
#Message_To_KanganaRanaut,$1309874618610532352,1
#Message_To_KanganaRanaut,$1152012044423405570,1
#Message_To_KanganaRanaut,$822317381712158720,1
#Message_To_KanganaRanaut,$1189774321750687745,1
#Message_To_KanganaRanaut,$1202825370816303104,1
#Message_To_KanganaRanaut,$1102445883394789376,1
#Message_To_KanganaRanaut,$1244834736624697345,1
#Message_To_KanganaRanaut,$1142735668474286080,1
#Message_To_KanganaRanaut,$1023050788929601536,1
#Message_To_KanganaRanaut,$1215839883995971585,1
#Message_To_KanganaRanaut,$276455723,1
#Message_To_KanganaRanaut,$200528211,1
#Message_To_KanganaRanaut,$1298552866173366273,1
#Message_To_KanganaRanaut,$1251362549766819841,1
#Message_To_KanganaRanaut,$1183202096331382784,1
#Message_To_KanganaRanaut,$1297189214128308230,1
#Message_To_KanganaRanaut,$1281549423609167872,1
#Message_To_KanganaRanaut,$1280360163807907840,1
#Message_To_KanganaRanaut,$1268564334432698373,1
#Message_To_KanganaRanaut,$1268773249288200193,1
#Message_To_KanganaRanaut,$1276880411763736581,1
#Message_To_KanganaRanaut,$1286154778175709184,1
#Message_To_KanganaRanaut,$1168389867551649792,1
#Message_To_KanganaRanaut,$933001802508787713,1
#Message_To_KanganaRanaut,$1190905274124709888,1
#Message_To_KanganaRanaut,$1237158298547355653,1
#Message_To_KanganaRanaut,$1254770318226251784,1
#Message_To_KanganaRanaut,$1262942592813215749,1
#Message_To_KanganaRanaut,$1275313810744569856,1
#Message_To_KanganaRanaut,$1006404738445742080,1
#Message_To_KanganaRanaut,$1095526152884625410,1
#Message_To_KanganaRanaut,$1207219031209472002,1
#Message_To_KanganaRanaut,$1172770799846973441,1
#Message_To_KanganaRanaut,$1209520270026821632,1
#Message_To_KanganaRanaut,$1213864278005911552,1
#Message_To_KanganaRanaut,$1223622700083531778,1
#Message_To_KanganaRanaut,$1226779889329569800,1
#Message_To_KanganaRanaut,$1233994359248498688,1
#Message_To_KanganaRanaut,$872269913540272128,1
#Message_To_KanganaRanaut,$914815835742629888,1
#Message_To_KanganaRanaut,$1174664610525237248,1
#Message_To_KanganaRanaut,$949537402862714880,1
#Message_To_KanganaRanaut,$970893309286612995,1
#Message_To_KanganaRanaut,$1297963696174530564,1
#Message_To_KanganaRanaut,$1155371041897639938,1
#Message_To_KanganaRanaut,$1211893405816459266,1
#Message_To_KanganaRanaut,$1231987749185556483,1
#Message_To_KanganaRanaut,$1266956865575038978,1
#Message_To_KanganaRanaut,$1283952691715149824,1
#Message_To_KanganaRanaut,$1295910788985569282,1
#Message_To_KanganaRanaut,$1312640931544276993,1
#Message_To_KanganaRanaut,$741111037227872257,1
#Message_To_KanganaRanaut,$1100711096694931456,1
#Message_To_KanganaRanaut,$1136235874943823873,1
#Message_To_KanganaRanaut,$1177088723403456514,1
#Message_To_KanganaRanaut,$1209012295,1
#Message_To_KanganaRanaut,$1223510553575989249,1
#Message_To_KanganaRanaut,$1242408231659393024,1
#Message_To_KanganaRanaut,$1312640846429220864,1
#Message_To_KanganaRanaut,$1141345237446615040,1
