from,to,count
#GiveawayKpopShopee,#GiveawayNCTShopee,887435
#GiveawayNCTShopee,#GiveawayKPOPShopee,6317
#GiveawayNCTShopee,#GiveawayKpopShope,127
#GiveawayNCTShopee,#GivewayKpopShopee,40
#GiveawayNCTShopee,#GiveawayEXOShopee,8
#GiveawayNCTShopee,#GiveawayKpopSh2opee,6
#GiveawayNCTShopee,#GiweawayNCTShopee,5
#GiveawayKpopShopee,#GiveawayKPOPShopee,1536
#GiveawayKpopShopee,#GiveawayKpopShope,128
#GiveawayKpopShopee,#GiveawayEXOShopee,10
#GiveawayKpopShopee,#GiveawayNCTShopee1,8
#GiveawayNCTShopee1,#GiveawayNCTShopee,3
