src,dst,count
#Message_To_KanganaRanaut,$1161904875258540037,7
#Message_To_KanganaRanaut,$1183069855789928448,6
#Message_To_KanganaRanaut,$1273934669348630528,6
#Message_To_KanganaRanaut,$1242441929935085574,6
#Message_To_KanganaRanaut,$957606691624779776,5
#Message_To_KanganaRanaut,$914134377059180544,5
#Message_To_KanganaRanaut,$1157169547910119425,5
#Message_To_KanganaRanaut,$1279521570075971584,5
#Message_To_KanganaRanaut,$1268004459856244739,5
#Message_To_KanganaRanaut,$878299826819141634,5
#Message_To_KanganaRanaut,$1312228527190630400,4
#Message_To_KanganaRanaut,$1311550166533537793,3
#Message_To_KanganaRanaut,$1105518709760839684,3
#Message_To_KanganaRanaut,$822487424127242242,3
#Message_To_KanganaRanaut,$1010967739911958528,3
#Message_To_KanganaRanaut,$1108628959057440768,2
#Message_To_KanganaRanaut,$1241728261723316224,2
#Message_To_KanganaRanaut,$1247202980496998401,2
#Message_To_KanganaRanaut,$1239084450878607361,2
#Message_To_KanganaRanaut,$1241608484312891393,2
#Message_To_KanganaRanaut,$1297214812120743937,2
#Message_To_KanganaRanaut,$1111144286156804096,2
#Message_To_KanganaRanaut,$1247852937084166144,2
#Message_To_KanganaRanaut,$1118900265229230080,2
#Message_To_KanganaRanaut,$1303264871849422850,2
#Message_To_KanganaRanaut,$1285765677249261568,2
#Message_To_KanganaRanaut,$1248272678781362178,2
#Message_To_KanganaRanaut,$1265638037058228224,2
#Message_To_KanganaRanaut,$1306657182205636608,2
#Message_To_KanganaRanaut,$1182895312135811073,2
#Message_To_KanganaRanaut,$1187934941222297600,1
#Message_To_KanganaRanaut,$1225814406254063616,1
#Message_To_KanganaRanaut,$1179586380822769664,1
#Message_To_KanganaRanaut,$1224265330622513154,1
#Message_To_KanganaRanaut,$1293015387286560773,1
#Message_To_KanganaRanaut,$908216584090427392,1
#Message_To_KanganaRanaut,$1242358749609656320,1
#Message_To_KanganaRanaut,$1306575217066614784,1
#Message_To_KanganaRanaut,$1286310446417420289,1
#Message_To_KanganaRanaut,$1244130302538047488,1
#Message_To_KanganaRanaut,$1166360277778149376,1
#Message_To_KanganaRanaut,$1312465611897724930,1
#Message_To_KanganaRanaut,$1273656761107398656,1
#Message_To_KanganaRanaut,$1301755696317304834,1
#Message_To_KanganaRanaut,$1297435058534404096,1
#Message_To_KanganaRanaut,$1297407147492311040,1
#Message_To_KanganaRanaut,$1249648170964926464,1
#Message_To_KanganaRanaut,$976119475140308992,1
#Message_To_KanganaRanaut,$1203326293279825920,1
#Message_To_KanganaRanaut,$1150257230014320640,1
#Message_To_KanganaRanaut,$881886609205071872,1
#Message_To_KanganaRanaut,$1309741019240439811,1
#Message_To_KanganaRanaut,$1303669143518896128,1
#Message_To_KanganaRanaut,$1299196670484385793,1
#Message_To_KanganaRanaut,$1284671560851156993,1
#Message_To_KanganaRanaut,$1167612076291809280,1
#Message_To_KanganaRanaut,$1132533743913013248,1
#Message_To_KanganaRanaut,$1249979806730448907,1
#Message_To_KanganaRanaut,$1179242067165372416,1
#Message_To_KanganaRanaut,$1162564084782399489,1
#Message_To_KanganaRanaut,$934738193760501760,1
#Message_To_KanganaRanaut,$1208735008606703617,1
#Message_To_KanganaRanaut,$905002283687059456,1
#Message_To_KanganaRanaut,$1298213135317209089,1
#Message_To_KanganaRanaut,$1289101170074701825,1
#Message_To_KanganaRanaut,$1267305621163892744,1
#Message_To_KanganaRanaut,$1232673073079476230,1
#Message_To_KanganaRanaut,$1034453996155621377,1
#Message_To_KanganaRanaut,$894080019420520448,1
#Message_To_KanganaRanaut,$741777862269767680,1
#Message_To_KanganaRanaut,$1309888236911689729,1
#Message_To_KanganaRanaut,$1306836332094783489,1
#Message_To_KanganaRanaut,$1298229446583832577,1
#Message_To_KanganaRanaut,$1115211900126670848,1
