src,dst,count
@DrPhillipsMD,#WalterReed,23
@DrPhillipsMD,#COVID19,12
@DrPhillipsMD,#Trump2020,5
@DrPhillipsMD,#SuperSpreader,4
@DrPhillipsMD,#doctors,3
@DrPhillipsMD,#Covid_19,3
@DrPhillipsMD,#Americans,3
@DrPhillipsMD,#America,3
@DrPhillipsMD,#KAG,3
@DrPhillipsMD,#UnitedStates,3
@DrPhillipsMD,#politicians,3
@DrPhillipsMD,#scientists,3
@DrPhillipsMD,#25thAmendmentNow,2
@DrPhillipsMD,#senseless,2
@DrPhillipsMD,#selfish,2
@DrPhillipsMD,#BidenHarris2020,2
@DrPhillipsMD,#CovidCaughtTrump,2
@DrPhillipsMD,#Vote,2
@DrPhillipsMD,#VoteBidenHarris2020,2
@DrPhillipsMD,#frustrating,1
@DrPhillipsMD,#TrumpStunt,1
@DrPhillipsMD,#FakeNews,1
@DrPhillipsMD,#POtuS,1
@DrPhillipsMD,#MAGA,1
@DrPhillipsMD,#TrumpIsALoser,1
@DrPhillipsMD,#demoRATS,1
@DrPhillipsMD,#covid19,1
@DrPhillipsMD,#CovidSuperSpreaderPOTUS,1
@DrPhillipsMD,#democrat,1
@DrPhillipsMD,#GOPSuperSpreaders,1
@DrPhillipsMD,#EnemyOfThePeople,1
@DrPhillipsMD,#BidenEarPiece,1
@DrPhillipsMD,#DoctorsSpeakUp,1
@DrPhillipsMD,#DemocratsAreCorrupt,1
@DrPhillipsMD,#ChinaVirus,1
@DrPhillipsMD,#furious,1
@DrPhillipsMD,#SuperSpreaderEvents,1
@DrPhillipsMD,#fakenews,1
@DrPhillipsMD,#VoteHimOut2020,1
@DrPhillipsMD,#HisEgoHasNoLimits,1
@DrPhillipsMD,#ImpeachTrumpAgain,1
@DrPhillipsMD,#MoronInChief,1
@DrPhillipsMD,#TrumpIsDONE,1
@DrPhillipsMD,#BidenHarrisToEndThisNightmare,1
@DrPhillipsMD,#Chillax,1
@DrPhillipsMD,#StopTheSpread,1
@DrPhillipsMD,#Trump2020LandslideVictory,1
@DrPhillipsMD,#WalkAway,1
@DrPhillipsMD,#WetBuzzardFart,1
@DrPhillipsMD,#AmericaLovesPresidentTrump,1
@DrPhillipsMD,#CCPVirus,1
@DrPhillipsMD,#terrorist,1
@DrPhillipsMD,#DumpTrump2020,1
@DrPhillipsMD,#BillStepien,1
@DrPhillipsMD,#TrumpHasCovid,1
@DrPhillipsMD,#Media,1
@DrPhillipsMD,#News,1
@DrPhillipsMD,#Read,1
@DrPhillipsMD,#Retweet,1
@DrPhillipsMD,#RollTheFuckingWindowsDown,1
@DrPhillipsMD,#Trump,1
@DrPhillipsMD,#TrumpGenocide,1
@DrPhillipsMD,#TrumpIsASociopath,1
@DrPhillipsMD,#KungFlu,1
@DrPhillipsMD,#TrumpLiedAmericansDied,1
@DrPhillipsMD,#TrumpLiesAmericansDie,1
@DrPhillipsMD,#TrumpSuperSpreader,1
@DrPhillipsMD,#TrumpVirusDeathToll210K,1
@DrPhillipsMD,#WalterReedMedicalCenter,1
@DrPhillipsMD,#capitalism2020,1
@DrPhillipsMD,#foh,1
@DrPhillipsMD,#follow,1
@DrPhillipsMD,#LiveWithIt,1
@DrPhillipsMD,#TyphoidTrump,1
@DrPhillipsMD,#COVID,1
@DrPhillipsMD,#QuidProJoe,1
@DrPhillipsMD,#Debates2020,1
@DrPhillipsMD,#fraud,1
@DrPhillipsMD,#FELON45,1
@DrPhillipsMD,#ItIsWhatItIs,1
@DrPhillipsMD,#JoyRide,1
@DrPhillipsMD,#Landslide2020,1
@DrPhillipsMD,#MOG,1
@DrPhillipsMD,#Megalomania,1
@DrPhillipsMD,#SecretService,1
@DrPhillipsMD,#TrumpsAmerica,1
@DrPhillipsMD,#TrumpCovid,1
@DrPhillipsMD,#TrumpCovidJoyRide,1
@DrPhillipsMD,#TrumpCovidParade,1
@DrPhillipsMD,#TrumpIsANationalDisgrace,1
@DrPhillipsMD,#TrumpIsFakingCovid,1
@DrPhillipsMD,#TrumpJoyRide,1
@DrPhillipsMD,#TrumpKills,1
@DrPhillipsMD,#TrumpRealityShow,1
@DrPhillipsMD,#Bravo,1
