src,dst,count
#2BrutalMurders,#cbi4ssr,2
#2BrutalMurders,#FocusOnMurderAngle,2
#2BrutalMurders,#BollyDawoodKilledSSR,2
#2BrutalMurders,#CBIFamilyAwaitsJusticeForSSR,2
#2BrutalMurders,#CBISummonSandipSsingh,2
#2BrutalMurders,#CBIUnfoldSSRMystery,2
#2BrutalMurders,#EvidenceScreamsMurder,2
#2BrutalMurders,#Justice4SSR,2
#2BrutalMurders,#Justice4SSRIsGlobalDemand,2
#2BrutalMurders,#ProbeDishaSSRCaseTogether,2
#2BrutalMurders,#ProbeSSRDigitalData,2
#2BrutalMurders,#SSRAIIMSReport,2
#2BrutalMurders,#SSRMurderCase,2
#2BrutalMurders,#WorldStandsWithSSRFamily,2
#2BrutalMurders,#boycottAbpNews,1
#2BrutalMurders,#ShameOnABP,1
#2BrutalMurders,#ArrestSSRKillersNow,1
#2BrutalMurders,#ArrestDishaSSRKillersNow,1
