src,dst,count
#Corona,@Manik_M_Jolly,218
#Corona,@OlafGersemann,213
#Corona,@rki_de,128
#Corona,@Volksverpetzer,119
#Corona,@cthulhcc,97
#Corona,@Alice_Weidel,95
#Corona,@WDRaktuell,85
#Corona,@BR24,69
#Corona,@manuelaforster,61
#Corona,@RND_de,52
#Corona,@M_T_Franz,48
#Corona,@patdiekmann,48
#Corona,@RahulGandhi,47
#Corona,@jenshealthde,44
#Corona,@ZDFheute,43
#Corona,@heuteshow,42
#Corona,@realDonaldTrump,40
#Corona,@GottfriedCurio,38
#Corona,@MalteKaufmann,36
#Corona,@SATAVRAJEEV,34
#Corona,@Supriya23bh,32
#Corona,@RalfSchumache17,31
#Corona,@MathiasPriebe,29
#Corona,@sanatanprabhat,25
#Corona,@maxotte_says,25
#Corona,@RT_Deutsch,23
#Corona,@Karl_Lauterbach,21
#Corona,@c_lindner,20
#Corona,@BMG_Bund,20
#Corona,@niki_popper,20
#Corona,@tagesschau,20
#Corona,@oida_grantler,19
#Corona,@zeitonline,19
#Corona,@Markus_Soeder,18
#Corona,@m_grill,17
#Corona,@COMPACTMagazin,17
#Corona,@WDRinvestigativ,17
#Corona,@ThePraetorian21,16
#Corona,@Tagesspiegel,15
#Corona,@welt,14
#Corona,@Report_Antisem,14
#Corona,@WaltiSiegrist,14
#Corona,@isabelschayani,14
#Corona,@rivm,13
#Corona,@LudwigLarcher,13
#Corona,@Kl94Smr,13
#Corona,@PriyankKharge,13
#Corona,@platznehmen,12
#Corona,@chronik_le,12
#Corona,@rbb24,12
#Corona,@jensspahn,12
#Corona,@BodkheShilpa,12
#Corona,@derspiegel,12
#Corona,@SieglindeWelz,11
#Corona,@prinzeuschen,11
#Corona,@BlackDo04913777,11
#Corona,@bundeswehrInfo,11
#Corona,@faznet,11
#Corona,@SevimDagdelen,10
#Corona,@SZ,10
#Corona,@c_drosten,10
#Corona,@DieMoira,10
#Corona,@ndtvindia,10
#Corona,@kaya_serez,10
#Corona,@sarfeld,10
#Corona,@hainault_of,9
#Corona,@chgroenhuijsen,9
#Corona,@redlawyer96,9
#Corona,@derfreitag,9
#Corona,@moment_magazin,9
#Corona,@tooranomaki6910,9
#Corona,@thisbuerge,9
#Corona,@moritzkoerner,8
#Corona,@Natascha_Strobl,8
#Corona,@BirnstinglausRo,8
#Corona,@WIRTSCHAFTakut,8
#Corona,@ABPNews,8
#Corona,@Peter_Pilz,8
#Corona,@DrPuerner,8
#Corona,@jouwatch,8
#Corona,@googlenews,7
#Corona,@sebastiankurz,7
#Corona,@BILD,7
#Corona,@_sophiamaier,7
#Corona,@SchwesterFD,7
#Corona,@DebateEnergyDE,7
#Corona,@DDboxxx,7
#Corona,@PiratenBW,7
#Corona,@SteffenKrach,6
#Corona,@neulandrebellen,6
#Corona,@jochen_rohrberg,6
#Corona,@d_pesch,6
#Corona,@landnrw,6
#Corona,@CBRE,6
#Corona,@rudi_anschober,6
#Corona,@coronifa_hh,6
#Corona,@bayerth,6
#Corona,@peter_simone,6
#Corona,@Westpol,6
#Corona,@mungo_pa,6
#Corona,@GoThorium,6
#Corona,@destatis,5
#Corona,@SprichWahrheit,5
#Corona,@kleinezeitung,5
#Corona,@spektrum_de,5
#Corona,@gleichheit,5
#Corona,@realTomBohn,5
#Corona,@degampraesident,5
#Corona,@nothilfe,5
#Corona,@Echt_jetzt_,5
#Corona,@tupfentier,5
#Corona,@Afelia,5
#Corona,@cem_oezdemir,5
#Corona,@k_edtstadler,5
#Corona,@flueke,5
#Corona,@dorn_v,5
#Corona,@mol_zeynep,5
#Corona,@herder_verlag,5
#Corona,@hessenschau,5
#Corona,@Strahlemann9,5
#Corona,@jens140180,5
#Corona,@TKinNW,5
#Corona,@vonderleyen,5
#Corona,@HansWernerSinn,5
#Corona,@SivUns,5
#Corona,@UKCovid19Stats,5
#Corona,@AnnetteCreft,5
#Corona,@Andrea_Kwati,4
#Corona,@Parocatha,4
#Corona,@AxorCreex,4
#Corona,@KHabenschaden,4
#Corona,@NDRnds,4
#Corona,@SHomburg,4
#Corona,@DLFNachrichten,4
#Corona,@Thomas_Binder,4
#Corona,@wenig_worte,4
#Corona,@Lars9596,4
#Corona,@EXVerein,4
#Corona,@SZ_TopNews,4
#Corona,@Coronahotspot,4
#Corona,@PietervVol,4
#Corona,@WienInfoB2B,4
#Corona,@InMindMagazin,4
#Corona,@MichaelPiazolo,4
#Corona,@RegierungBW,4
#Corona,@DrWieIer,4
#Corona,@RegSprecher,4
#Corona,@ZDF,4
#Corona,@MinPres,4
#Corona,@allonline,4
#Corona,@spd_fraktion_nw,4
#Corona,@MattHancock,4
#Corona,@ZDDK_,4
#Corona,@hugodejonge,4
#Corona,@politikstube,4
#Corona,@Ch_Schubert,3
#Corona,@gernot_ruzicka,3
#Corona,@NalanSipar,3
#Corona,@thinktank197,3
#Corona,@MedhistMuseumHH,3
#Corona,@ChanasitJonas,3
#Corona,@HuebschenH,3
#Corona,@tofreudenberg,3
#Corona,@AnjaKarliczek,3
#Corona,@LokaalGeld,3
#Corona,@sudiepshri,3
#Corona,@gzulrich,3
#Corona,@Friend20A,3
#Corona,@BMAS_Bund,3
#Corona,@anschober,3
#Corona,@ArminLaschet,3
#Corona,@ttn_erz,3
#Corona,@VishnuGupta_HS,3
#Corona,@AfDUbach,3
#Corona,@sternde,3
#Corona,@Annelice11,3
#Corona,@zpoblog,3
#Corona,@heutejournal,3
#Corona,@StefanZimkeit,3
#Corona,@tonline_news,3
#Corona,@BAW_Fluglaerm,3
#Corona,@TTN_Mitte_D,3
#Corona,@NikolausBlome,3
#Corona,@Klickmichi,3
#Corona,@SWRAktuellRP,3
#Corona,@peteraltmaier,3
#Corona,@REHADAT,3
#Corona,@fdp,3
#Corona,@faktist,3
#Corona,@dieterschnaas,3
#Corona,@DasErste,3
#Corona,@annewill,3
#Corona,@mr_steinhaeuser,3
#Corona,@_Kinderrechte_,3
#Corona,@PNN_de,3
#Corona,@SenWiEnBe,3
#Corona,@andreasbachmann,3
#Corona,@spasskultur,3
#Corona,@RetoBKeller,3
#Corona,@stefansell,3
#Corona,@sushilmanav,3
#Corona,@UniklinikEssen,3
#Corona,@Lothark8,3
#Corona,@SpiceEssential,3
#Corona,@butenunbinnen,3
#Corona,@_verdi,3
#Corona,@kbv4u,3
#Corona,@cducsubt,3
#Corona,@danXdecker,3
#Corona,@HAZ,3
#Corona,@DaFeid,3
#Corona,@AnneWillTalk,3
#Corona,@DrTedros,3
#Corona,@wdr5,3
#Corona,@Deprifrei,3
#Corona,@DieZukunftEU,3
#Corona,@narendramodi,3
#Corona,@Sir_Schnee,3
#Corona,@phoenix_de,3
#Corona,@BoschimoDr,3
#Corona,@BAG_OFSP_UFSP,3
#Corona,@IgorMatviyets,3
#Corona,@ndr,3
#Corona,@RTLWEST,2
#Corona,@w_lv_statistics,2
#Corona,@sachsenanhalt,2
#Corona,@stadtaugsburg,2
#Corona,@spdbt,2
#Corona,@Pressecop24com,2
#Corona,@zeitonline_wis,2
#Corona,@CiesekSandra,2
#Corona,@kanews,2
#Corona,@Clarsonimus,2
#Corona,@SprungMaster,2
#Corona,@prognos,2
#Corona,@TimesNow,2
#Corona,@jochen_mitschka,2
#Corona,@U_R_2_Serious,2
#Corona,@VNederlanden,2
#Corona,@ntvde,2
#Corona,@gemeentewoerden,2
#Corona,@DLF,2
#Corona,@idowa,2
#Corona,@DIW_Berlin,2
#Corona,@_CV_VC_,2
#Corona,@mhmd9533,2
#Corona,@CDU,2
#Corona,@showfl2,2
#Corona,@Oldenburg_DE,2
#Corona,@Eliza_Muc,2
#Corona,@BRDPflegeFall,2
#Corona,@CarstenBKK,2
#Corona,@ChristianSchaft,2
#Corona,@Crypto2theEnd,2
#Corona,@DigitalerC,2
#Corona,@ECDC_EU,2
#Corona,@Eintracht,2
#Corona,@EzeViralTraffic,2
#Corona,@ArvindKejriwal,2
#Corona,@FCBayern,2
#Corona,@Graf_xyz,2
#Corona,@GreenCityeV,2
#Corona,@JosephGepp,2
#Corona,@Libra08101,2
#Corona,@Louis1221566679,2
#Corona,@MahlzeitProst,2
#Corona,@BMBF_Bund,2
#Corona,@AntifaPinneberg,2
#Corona,@Tmo_Wizard,2
#Corona,@Inhaber1,2
#Corona,@EAMaliasNalvat,2
#Corona,@ZDFhessen,2
#Corona,@domless,2
#Corona,@marcobuelow,2
#Corona,@need_history,2
#Corona,@BAbschiebung,2
#Corona,@HVWilderode,2
#Corona,@OccupySchagen,2
#Corona,@senad_lacevic,2
#Corona,@QuakDr,2
#Corona,@Qw13blchen,2
#Corona,@SchmiddieMaik,2
#Corona,@Unerwartet111,2
#Corona,@WN_Redaktion,2
#Corona,@jjanandv,2
#Corona,@msrtcofficial,2
#Corona,@Rhonda_Alimuto,2
#Corona,@WerHatDerGibt,2
#Corona,@OekoZentrumNRW,2
#Corona,@BMWi_Bund,2
#Corona,@hajoschumacher,2
#Corona,@hallooooo_welt,2
#Corona,@lgbeutin,2
#Corona,@rotterdam,2
#Corona,@wiesbaden_lebt,2
#Corona,@ARDstudioWien,2
#Corona,@AnnieMuc,2
#Corona,@BillGates,2
#Corona,@RangaYogeshwar,2
#Corona,@BuntesDresden,2
#Corona,@DRVDE,2
#Corona,@DerEnterich_,2
#Corona,@DerUnglaeubige,2
#Corona,@FRauerNE,2
#Corona,@Huenich,2
#Corona,@JoReZwitschert,2
#Corona,@ServusTV_News,2
#Corona,@CommonSense_TV,2
#Corona,@Zeitgeschehen_,2
#Corona,@lugenwerk,2
#Corona,@augenaufDE,2
#Corona,@berlinliebich,2
#Corona,@dm_ms,2
#Corona,@enavigo,2
#Corona,@higgsmag,2
#Corona,@institutpasteur,2
#Corona,@kn_online,2
#Corona,@maxplanckpress,2
#Corona,@BA_NDS_Bremen,2
#Corona,@norwichruesse,2
#Corona,@owl_hm,2
#Corona,@reinerhaseloff,2
#Corona,@HartmutZimmer,2
#Corona,@thierrybaudet,2
#Corona,@tiny_loris,2
#Corona,@10_nach_8,2
#Corona,@ATTILA_HILDMANN,2
#Corona,@GoeringEckardt,2
#Corona,@Miellettes,2
#Corona,@AmitShah,2
#Corona,@StimmederVernu2,2
#Corona,@RTLnieuws,2
#Corona,@UteSchlieper,2
#Corona,@TheReal32492440,2
#Corona,@Ein_Edelweis,2
#Corona,@neuwirthe,2
#Corona,@LenzRamona,2
#Corona,@vzbv,2
#Corona,@ndaktuell,2
#Corona,@UNICEF,2
#Corona,@TheEconomist,2
#Corona,@kreis_re,2
#Corona,@hendrikstreeck,2
#Corona,@ADM_Infos,2
#Corona,@teresabuecker,2
#Corona,@AWidmannMauz,2
#Corona,@ElsnervonGronow,2
#Corona,@Politleben,2
#Corona,@Genossin_Anetta,2
#Corona,@henriette_nette,2
#Corona,@AfDimBundestag,2
#Corona,@seawatchcrew,2
#Corona,@WDR,2
#Corona,@iensspahn,2
#Corona,@OlafScholz,2
#Corona,@sgt_flower,2
#Corona,@krottmann,2
#Corona,@Die_Gruenen,2
#Corona,@Sozialwort,2
#Corona,@SeebrueckeWue,2
#Corona,@Koeln,2
#Corona,@DB_Presse,2
#Corona,@dgb_news,2
#Corona,@JackMarsman,2
#Corona,@WolfgangWiehle,2
#Corona,@KreisMyk,2
#Corona,@KeyLarg59132340,2
#Corona,@MaartjeGoverde,2
#Corona,@Bloodpointorg,2
#Corona,@DenizKaya197707,2
#Corona,@RedBullSalzburg,2
#Corona,@digitalblamage,2
#Corona,@op1,2
#Corona,@HuubBellemakers,2
#Corona,@BehamSarah,2
#Corona,@MKreutzfeldt,2
#Corona,@ziniklas,1
#Corona,@KamalikaSengupt,1
#Corona,@KSchmieder,1
#Corona,@Mehriel,1
#Corona,@SonyLIV,1
#Corona,@StadtRE,1
#Corona,@S_Muenzenmaier,1
#Corona,@MatthiasMeisner,1
#Corona,@MonikaSchnitzer,1
#Corona,@MDRAktuell,1
#Corona,@JuergenBraunAfD,1
#Corona,@JudyMar1960,1
#Corona,@Karsten95710706,1
#Corona,@SonyTV,1
#Corona,@SalomonTannhau1,1
#Corona,@LN_Online,1
#Corona,@KelRebel,1
#Corona,@MarijnissenL,1
#Corona,@SawsanChebli,1
#Corona,@Keloetweet21,1
#Corona,@MariaKlSchmeink,1
#Corona,@MariaKrantz3,1
#Corona,@Marie_Laveau_,1
#Corona,@Leopoldina,1
#Corona,@KlrchenKlabust1,1
#Corona,@KonstantinKuhle,1
#Corona,@KrohsaMaya,1
#Corona,@SrBachchan,1
#Corona,@KlagePaten,1
#Corona,@Steuermarkt,1
#Corona,@Widukind12,1
#Corona,@Eisbaeren_B,1
#Corona,@Volksentscheid,1
#Corona,@VolkswagenSt,1
#Corona,@WTS_Germany,1
#Corona,@Dt_Aerzteblatt,1
#Corona,@DrDavidBerger,1
#Corona,@Doleschal,1
#Corona,@WeinbergerG,1
#Corona,@DiePressecom,1
#Corona,@DeichStube,1
#Corona,@EritasRed,1
#Corona,@DaveBrych,1
#Corona,@DagmarHuf,1
#Corona,@DAZN_DE_Help,1
#Corona,@DAZN_DE,1
#Corona,@D66,1
#Corona,@ZVEIorg,1
#Corona,@ClubkombinatHH,1
#Corona,@aerztezeitung,1
#Corona,@akk,1
#Corona,@VerenaDE,1
#Corona,@ErnstvAll,1
#Corona,@Joerg_Meuthen,1
#Corona,@HeleenBervoets,1
#Corona,@Joe_Kicrows,1
#Corona,@Ipie33,1
#Corona,@InteBNLdItalia,1
#Corona,@IngeHannemann,1
#Corona,@ITDredaktion,1
#Corona,@IMAdwarka,1
#Corona,@NEWS9TWEETS,1
#Corona,@Hurriyet,1
#Corona,@HubertAiwanger,1
#Corona,@Heiner_Garg,1
#Corona,@EurasiaNet,1
#Corona,@Haberturk,1
#Corona,@HFWOdisha,1
#Corona,@GoldeggVerlag,1
#Corona,@Uhlhorn,1
#Corona,@GermanAmbUSA,1
#Corona,@GavinNewsom,1
#Corona,@GabrieleMayer11,1
#Corona,@FrogenJake,1
#Corona,@FOCUS_Magazin,1
#Corona,@ValentinCaUhl,1
#Corona,@MrsMrs72945606,1
#Corona,@Rudisagmal,1
#Corona,@NUnl,1
#Corona,@coronawarnapp,1
#Corona,@Land_der_Ideen,1
#Corona,@ellecome222,1
#Corona,@ekhn_de,1
#Corona,@ecxio,1
#Corona,@dr_otto_schmidt,1
#Corona,@LaurinLues,1
#Corona,@dhananjaya_rai,1
#Corona,@derStandardat,1
#Corona,@covidnewsCH,1
#Corona,@MDR_SN,1
#Corona,@LakshmiManchu,1
#Corona,@MalsackWinkeman,1
#Corona,@MilesTaylorUSA,1
#Corona,@bernd471,1
#Corona,@MrsSMHI,1
#Corona,@benwritesthings,1
#Corona,@bellacaledonia,1
#Corona,@beerenstark,1
#Corona,@MusikdramaDKdtS,1
#Corona,@atptour,1
#Corona,@arydyk,1
#Corona,@ethikrat,1
#Corona,@Kupoge,1
#Corona,@argonerd,1
#Corona,@inveniveritatem,1
#Corona,@KEbnerSteiner,1
#Corona,@liekelamb,1
#Corona,@KFPBerlin,1
#Corona,@kchr_grr_krch__,1
#Corona,@kargocamino,1
#Corona,@jutta_ditfurth,1
#Corona,@jusosbawue,1
#Corona,@johanniter,1
#Corona,@jabalpurdm,1
#Corona,@hrinfo,1
#Corona,@fff_muc,1
#Corona,@hr1,1
#Corona,@KlarnameU,1
#Corona,@hh_mikawe,1
#Corona,@hansjaaggi,1
#Corona,@hand_aufs_hirn,1
#Corona,@guarannanine,1
#Corona,@geenstijl,1
#Corona,@fvdemocratie,1
#Corona,@florianaigner,1
#Corona,@final_space_,1
#Corona,@armin_schuster,1
#Corona,@NDRsh,1
#Corona,@Nicoles44180590,1
#Corona,@RichardLamb,1
#Corona,@Sitecore,1
#Corona,@Sebasaagito,1
#Corona,@R_Feuerbach,1
#Corona,@SchanzEinlage,1
#Corona,@SatyendarJain,1
#Corona,@Sadhvi_prachi,1
#Corona,@Sabah,1
#Corona,@SBS6,1
#Corona,@Rijksoverheid,1
#Corona,@CNNnews18,1
#Corona,@SteubenParadeNY,1
#Corona,@RaulZelik,1
#Corona,@Raoul_SB,1
#Corona,@RadioBielefeld,1
#Corona,@RTerschl,1
#Corona,@SWRAktuellBW,1
#Corona,@PetraCEsser1,1
#Corona,@PaulZiemiak,1
#Corona,@OmroepON,1
#Corona,@OEFBL,1
#Corona,@Nordkommission,1
#Corona,@QermanPatriot,1
#Corona,@TBreitschneider,1
#Corona,@andreasroedder,1
#Corona,@WybrenvanHaga,1
#Corona,@NbgPa,1
#Corona,@alinegdeg,1
#Corona,@alena_buyx,1
#Corona,@akittv,1
#Corona,@_RalphZ,1
#Corona,@Zukunftskinder,1
#Corona,@OthersInfo,1
#Corona,@ZDFsport,1
#Corona,@PflegeAmBoden,1
#Corona,@YouTube,1
#Corona,@PflegeamBodenDE,1
#Corona,@TamadaTales,1
#Corona,@WTA,1
#Corona,@WKogler,1
#Corona,@VfB,1
#Corona,@Vatan,1
#Corona,@VVD,1
#Corona,@VDMAonline,1
#Corona,@Tomsch24,1
#Corona,@PflegeamBodenMS,1
#Corona,@ThomasSzekeres,1
#Corona,@PiaDrube,1
#Corona,@CSU,1
#Corona,@AnthroBlogger,1
#Corona,@CMODelhi,1
#Corona,@wodarg,1
#Corona,@Atomreisfleisch,1
#Corona,@ArjenV,1
#Corona,@ApothekerDer,1
#Corona,@Angi29121,1
#Corona,@AlexaVisible,1
#Corona,@seebohm,1
#Corona,@ARDKontraste,1
#Corona,@1887henne,1
#Corona,@wuest23,1
#Corona,@tourmas,1
#Corona,@sat1regional,1
#Corona,@tomdabassman,1
#Corona,@thomas_hubauer,1
#Corona,@talkimhangar7,1
#Corona,@rosi_lux,1
#Corona,@nwzonline,1
#Corona,@solmecke,1
#Corona,@ndrmv,1
#Corona,@telegraaf,1
#Corona,@magna_est,1
#Corona,@m_doebler,1
#Corona,@AundW,1
#Corona,@radiobremen,1
#Corona,@idspotroya,1
#Corona,@DorotheaHoffm15,1
#Corona,@HansOttoWagner1,1
#Corona,@Hannoper,1
