src,dst,count
#Corona,@OlafGersemann,52
#Corona,@faznet,14
#Corona,@BMG_Bund,11
#Corona,@Beatrix_vStorch,9
#Corona,@ZDFheute,8
#Corona,@JuedischeOnline,8
#Corona,@Deutschland_77,7
#Corona,@akk,7
#Corona,@BR24,6
#Corona,@ThomasHaeberlen,6
#Corona,@zeitonline,6
#Corona,@BlondJedi,6
#Corona,@maischberger,5
#Corona,@RamonaPop,5
#Corona,@ABPNews,5
#Corona,@Westpol,5
#Corona,@GtzFrmming,5
#Corona,@SWagenknecht,5
#Corona,@CDU,4
#Corona,@jensspahn,4
#Corona,@fedpolCH,4
#Corona,@MKreutzfeldt,3
#Corona,@nhaerting,3
#Corona,@tazgezwitscher,3
#Corona,@dieLinke,3
#Corona,@RegSprecher,3
#Corona,@Flying__Doc,3
#Corona,@PaulZiemiak,3
#Corona,@anp,2
#Corona,@sternde,2
#Corona,@googlenews,2
#Corona,@dirtyworld_1,2
#Corona,@c_drosten,2
#Corona,@MatthiasMeisner,2
#Corona,@spdde,2
#Corona,@WIRTSCHAFTakut,2
#Corona,@NZZ,2
#Corona,@Gor316,2
#Corona,@thisbuerge,2
#Corona,@jens140180,2
#Corona,@bertieroberts54,2
#Corona,@IkNet,2
#Corona,@Ich2ES,2
#Corona,@phoenix_de,2
#Corona,@FrankBlum17,2
#Corona,@BalajiiSrinivas,2
#Corona,@op1npo,2
#Corona,@tooranomaki6910,2
#Corona,@Volksverpetzer,2
#Corona,@PNN_de,1
#Corona,@stefan_scholer,1
#Corona,@SuseSchmitt,1
#Corona,@Lippmann_HIHK,1
#Corona,@TBreitschneider,1
#Corona,@danbre5,1
#Corona,@nothilfe,1
#Corona,@kaya_serez,1
#Corona,@Tagesspiegel,1
#Corona,@ZeeNews,1
#Corona,@srfkonsum,1
#Corona,@berlinerzeitung,1
#Corona,@wisskomm_de,1
#Corona,@Kai_Whittaker,1
#Corona,@AnjaKarliczek,1
#Corona,@AnnLei1,1
#Corona,@AuswaertigesAmt,1
#Corona,@BayStMWi,1
#Corona,@Brigitt55512867,1
#Corona,@DIE_GDI,1
#Corona,@DVFmobil,1
#Corona,@DietmarHarhoff,1
#Corona,@DoroBaer,1
#Corona,@EchoPRN,1
#Corona,@FeuerwehrDFV,1
#Corona,@HAZ,1
#Corona,@HBraun,1
#Corona,@JUSMAKL,1
#Corona,@LandesEchoPrag,1
#Corona,@welt,1
#Corona,@c_jung77,1
#Corona,@tonline_news,1
#Corona,@sachsenfernsehe,1
#Corona,@nothankyou_16,1
#Corona,@jouwatch,1
#Corona,@hubertus_heil,1
#Corona,@dirk_pietzsch,1
#Corona,@acatech_de,1
#Corona,@Medienmann,1
#Corona,@_HelloPunk,1
#Corona,@ViktorBaranoff,1
#Corona,@Strahlemann9,1
#Corona,@SZ_Reise,1
#Corona,@Pliet2,1
#Corona,@OlafScholz,1
#Corona,@WN_Redaktion,1
#Corona,@HHguidemelanie,1
#Corona,@heutejournal,1
#Corona,@Giusi_Valentini,1
#Corona,@frannylicious79,1
#Corona,@iDinizo,1
#Corona,@kuechenhorst,1
#Corona,@lexoffice,1
#Corona,@prinzeuschen,1
#Corona,@sduiapp,1
#Corona,@vorwaerts,1
#Corona,@AA_Trier,1
#Corona,@AfDimBundestag,1
#Corona,@AttilaTeri,1
#Corona,@COSMO__ARD,1
#Corona,@ChristophScheff,1
#Corona,@FAZ_RheinMain,1
#Corona,@LandkreisPeine,1
#Corona,@aeRoot,1
#Corona,@Rosettenmolch,1
#Corona,@SHomburg,1
#Corona,@St_Publikon,1
#Corona,@Studentin444,1
#Corona,@UlrichKelber,1
#Corona,@atsticks,1
#Corona,@blinkist,1
#Corona,@cducsubt,1
#Corona,@cry0815,1
#Corona,@enavigo,1
#Corona,@landnrw,1
#Corona,@maxotte_says,1
#Corona,@punktpreradovic,1
#Corona,@einandererblog,1
#Corona,@abdbozkurt,1
#Corona,@m_grill,1
#Corona,@StefanLeifert,1
#Corona,@neulandrebellen,1
#Corona,@Jesus_Lebowski,1
#Corona,@derspiegel,1
#Corona,@fehlpass,1
#Corona,@horn_helmut,1
#Corona,@lipsandskin,1
#Corona,@DasErste,1
#Corona,@Fonque99,1
#Corona,@JudiciaryGOP,1
#Corona,@Nailfreak1,1
#Corona,@NatalieGrams,1
#Corona,@POTUS,1
#Corona,@SilkeGebel,1
#Corona,@nulleberg,1
#Corona,@Stadt_Wiesbaden,1
#Corona,@realDonaldTrump,1
#Corona,@spdrlp,1
#Corona,@tagesthemen,1
#Corona,@BKellnerNews,1
#Corona,@BettinaHahn5,1
#Corona,@CaritasMuc,1
#Corona,@GertUweMende,1
#Corona,@HardyAnderegg,1
#Corona,@Lexware,1
#Corona,@MarcBuergi,1
#Corona,@MerlotVine,1
#Corona,@Micha17338244,1
#Corona,@MickyBeisenherz,1
#Corona,@APBTutzing,1
