src,dst,count
#Happy25thBirthdayMrFaisu,#faisusquad,1
#Happy25thBirthdayMrFaisu,#birthday,1
#Happy25thBirthdayMrFaisu,#women,1
#Happy25thBirthdayMrFaisu,#themusicvideo,1
#Happy25thBirthdayMrFaisu,#makeup,1
#Happy25thBirthdayMrFaisu,#homeMade,1
#Happy25thBirthdayMrFaisu,#WorldTeachersDay,1
#Happy25thBirthdayMrFaisu,#WorldHabitatDay,1
#Happy25thBirthdayMrFaisu,#Thalaivi,1
#Happy25thBirthdayMrFaisu,#RRRMovie,1
#Happy25thBirthdayMrFaisu,#RCBvDC,1
#Happy25thBirthdayMrFaisu,#MondayThoughts,1
#Happy25thBirthdayMrFaisu,#Mi10TSeries5G,1
#Happy25thBirthdayMrFaisu,#CSKvsKXIP,1
#Happy25thBirthdayMrFaisu,#BellBottomTeaser,1
