src,dst,count
@narendramodi,#AtalTunnel,119731
@narendramodi,#302ForSSRKillers,8309
@narendramodi,#AtalTunnelRohtang,5631
@narendramodi,#Rohtang,4572
@narendramodi,#GandhiJayanti,4513
@narendramodi,#AtalRohtangTunnel,4444
@narendramodi,#deendayaljayanti,4320
@narendramodi,#Hathras,2151
@narendramodi,#savePuVVNL,2012
@narendramodi,#DalitLivesMatter,1784
@narendramodi,#HathrasTruthExposed,1662
@narendramodi,#HimachalPradesh,1560
@narendramodi,#Atalji,1524
@narendramodi,#gandhijayanthi2020,1475
@narendramodi,#Revolution4SSR,1451
@narendramodi,#savepowersectorindia,921
@narendramodi,#JusticeForManishaValmiki,799
@narendramodi,#JusticeForIndiasDaughters,739
@narendramodi,#RahulGandhi,684
@narendramodi,#SSR,546
@narendramodi,#Manali,529
@narendramodi,#AIIMS,439
@narendramodi,#WatchNow,362
@narendramodi,#VaibhavSummit,331
@narendramodi,#RapistRakshakBJP,320
@narendramodi,#Ataltunnel,284
@narendramodi,#SushantSinghRajput,264
@narendramodi,#JusticeForManisha,257
@narendramodi,#JusticeForSSR,252
@narendramodi,#BJPHataoBetiBachao,237
@narendramodi,#StopPrivatisation_SaveGovtJob,227
@narendramodi,#HathrasTapes,223
@narendramodi,#मीडिया_योगी_का_इस्तीफा_माँगो,196
@narendramodi,#HathrasHorrorShocksIndia,185
@narendramodi,#HathrasHorror,166
@narendramodi,#SushantConspiracyExposed,166
@narendramodi,#BalrampurHorror,162
@narendramodi,#Galwan,160
@narendramodi,#अटल_टनल,152
@narendramodi,#ModiHaiToMumkinHai,138
@narendramodi,#prsr103,133
@narendramodi,#अटल_सुरंग,132
@narendramodi,#Leh,129
@narendramodi,#BRO,128
@narendramodi,#AllEyesOnCBI,105
@narendramodi,#JaiHind,98
@narendramodi,#ShameOnBJPGOVT,92
@narendramodi,#YogiResignNOW,88
@narendramodi,#NarendraModi,85
@narendramodi,#ShameOnUPGovt,82
@narendramodi,#रक्षा_मंत्री,72
@narendramodi,#ShameonYogiAdityanath,71
@narendramodi,#HungerStrike4SSR,71
@narendramodi,#NPSनिजीकरणभारतछोड़ो,71
@narendramodi,#savegovtjobs,70
@narendramodi,#shameonuppolice,69
@narendramodi,#PM,64
@narendramodi,#Agerelaxation4EWS,61
@narendramodi,#राजस्थान_में_हाहाकार,60
@narendramodi,#HathrasCase,59
@narendramodi,#JayramViplav,57
@narendramodi,#तारापुर_में_जयराम,57
@narendramodi,#AtalTunnelToOneIndia,55
@narendramodi,#NewIndia,52
@narendramodi,#PMCBankCrisis,52
@narendramodi,#VoiceOfRailApprentice,50
@narendramodi,#CBI,49
@narendramodi,#MahatmaGandhi,47
@narendramodi,#Ladakh,45
@narendramodi,#PMCBankScam,45
@narendramodi,#रोहतांग_अटल_टनल,42
@narendramodi,#Rapist_Congress,39
@narendramodi,#Rapist_Gahlot,39
@narendramodi,#Congress_Go_Back_Italy,39
@narendramodi,#मीडिया_गहलोत_का_इस्तीफा_माँगो,39
@narendramodi,#JusticeForAjmerRape,39
@narendramodi,#गिद्ध_गहलौत_घायल_बेटियाँ,39
@narendramodi,#JusticeForRajastanRape,39
@narendramodi,#tarapur164,38
