src,dst,count
$862286792354955264,@sampavasant,11
$862286792354955264,@Ashwink42990130,7
$862286792354955264,@Kongupeople,6
$862286792354955264,@mkstalin,4
$862286792354955264,@Timepassna,4
$862286792354955264,@ag_indrajith,3
$862286792354955264,@SureshSubraman6,3
$862286792354955264,@arivalayam,3
$862286792354955264,@BaSivakumar,2
$862286792354955264,@Joel_Dmk,2
$862286792354955264,@IyyaVenkatesan,2
$862286792354955264,@Pymanidmk,2
$862286792354955264,@Santhosh3101,2
$862286792354955264,@JuniorVikatan,2
$862286792354955264,@Udhaystalin,2
$862286792354955264,@DMKGopi96,1
$862286792354955264,@dmk_youthwing,1
$862286792354955264,@arakkarperiyar,1
$862286792354955264,@KanimozhiDMK,1
$862286792354955264,@KPrabhuraj,1
$862286792354955264,@RajarajanRj,1
$862286792354955264,@advocatejinnah,1
$862286792354955264,@CoolSathish1520,1
$862286792354955264,@Tamilal54779710,1
$862286792354955264,@Manikandanraj92,1
$862286792354955264,@CTamilvanan1992,1
$862286792354955264,@Balaji_Rajarani,1
$862286792354955264,@pbhushan1,1
$862286792354955264,@syedgoush,1
$862286792354955264,@harikumar598,1
$862286792354955264,@thirusangu82,1
$862286792354955264,@Suba_Vee,1
$862286792354955264,@KAG_SekarTwitz,1
$862286792354955264,@nilagirisaaral,1
$862286792354955264,@dhruv_rathee,1
$862286792354955264,@ShineJoy78,1
$862286792354955264,@Mark2Kali_,1
$862286792354955264,@Kalaignarnews,1
$862286792354955264,@ComradeMukil,1
$862286792354955264,@vicky_ktm,1
$862286792354955264,@rajasundaramph1,1
$862286792354955264,@BalajiSvasan05,1
$862286792354955264,@karunanithi_j,1
$862286792354955264,@Vanitha06119914,1
$862286792354955264,@VKVNITT1,1
$862286792354955264,@TrendsDmk,1
$862286792354955264,@SenguttuvanSrm,1
$862286792354955264,@PandianA20,1
$862286792354955264,@OndrinaivomVaa,1
$862286792354955264,@Illamaran21,1
$862286792354955264,@savukku,1
$862286792354955264,@DMK4TN,1
$862286792354955264,@GPDVINOTHDMK,1
