src,dst,count
#Message_To_KanganaRanaut,@SaintRampalJiM,9
#Message_To_KanganaRanaut,@PoojaSindhwani,5
#Message_To_KanganaRanaut,@Digvijay9452,4
#Message_To_KanganaRanaut,@Shalumehta95,4
#Message_To_KanganaRanaut,@Manaramdas56,4
#Message_To_KanganaRanaut,@Official_Heena,3
#Message_To_KanganaRanaut,@KanganaTeam,3
#Message_To_KanganaRanaut,@AnshR5,2
#Message_To_KanganaRanaut,@Sakshi01083602,2
#Message_To_KanganaRanaut,@satlok___,2
#Message_To_KanganaRanaut,@light202020,2
#Message_To_KanganaRanaut,@satkabir_,2
#Message_To_KanganaRanaut,@Nirvana77love,2
#Message_To_KanganaRanaut,@Surende65028255,2
#Message_To_KanganaRanaut,@Kayu_kaju,2
#Message_To_KanganaRanaut,@sonia_tks,2
#Message_To_KanganaRanaut,@Earth_ToHeaven,2
#Message_To_KanganaRanaut,@Divya23466,2
#Message_To_KanganaRanaut,@neeta_dhanora,2
#Message_To_KanganaRanaut,@KamalDhankar,1
#Message_To_KanganaRanaut,@AmrutaShelke1,1
#Message_To_KanganaRanaut,@DasiKamlesh870,1
#Message_To_KanganaRanaut,@Rajni63967465,1
#Message_To_KanganaRanaut,@Krishna09571,1
#Message_To_KanganaRanaut,@KushwahJhar,1
#Message_To_KanganaRanaut,@Megharamkhoth10,1
#Message_To_KanganaRanaut,@NehaRajputOffi1,1
#Message_To_KanganaRanaut,@RamsumiranGupta,1
#Message_To_KanganaRanaut,@Spiritu44650100,1
#Message_To_KanganaRanaut,@SumanSahu01,1
#Message_To_KanganaRanaut,@aanand005,1
#Message_To_KanganaRanaut,@devsurya78,1
#Message_To_KanganaRanaut,@vishnusahu000,1
#Message_To_KanganaRanaut,@sapna66956991,1
#Message_To_KanganaRanaut,@santu1982gmail1,1
#Message_To_KanganaRanaut,@NikitaDasi10,1
#Message_To_KanganaRanaut,@BrariVinod,1
#Message_To_KanganaRanaut,@ChiranjivTrived,1
#Message_To_KanganaRanaut,@GARIMAJI2,1
#Message_To_KanganaRanaut,@LavYada72593149,1
#Message_To_KanganaRanaut,@Manojda52046578,1
#Message_To_KanganaRanaut,@OfficialSweeti1,1
#Message_To_KanganaRanaut,@PushpendraRoyal,1
#Message_To_KanganaRanaut,@Satyabh49849904,1
#Message_To_KanganaRanaut,@Minakshimeena25,1
#Message_To_KanganaRanaut,@Nikku163,1
#Message_To_KanganaRanaut,@rajkumar8973,1
#Message_To_KanganaRanaut,@SANJEEV53566366,1
#Message_To_KanganaRanaut,@Sunidhi10059757,1
#Message_To_KanganaRanaut,@Vanshik31909194,1
#Message_To_KanganaRanaut,@rana_dasi,1
#Message_To_KanganaRanaut,@Kanhiyasingh48,1
#Message_To_KanganaRanaut,@Kuldeep48989301,1
#Message_To_KanganaRanaut,@Sapna_Kumari2,1
#Message_To_KanganaRanaut,@Sunilja83796611,1
#Message_To_KanganaRanaut,@iam_Virchhaniya,1
#Message_To_KanganaRanaut,@Rajveer55551093,1
#Message_To_KanganaRanaut,@KBhagti,1
#Message_To_KanganaRanaut,@neeti_chhabra,1
#Message_To_KanganaRanaut,@HemRaj98610660,1
#Message_To_KanganaRanaut,@AnjanaThakuri10,1
#Message_To_KanganaRanaut,@BabliKa61069787,1
#Message_To_KanganaRanaut,@BanitaUniyal,1
#Message_To_KanganaRanaut,@BhooraDaas,1
#Message_To_KanganaRanaut,@DMsnuverma,1
#Message_To_KanganaRanaut,@GODSEVA999,1
#Message_To_KanganaRanaut,@God_Kabir_Ji,1
#Message_To_KanganaRanaut,@HarshuNamita,1
#Message_To_KanganaRanaut,@KawyaBunkar,1
#Message_To_KanganaRanaut,@ABSCBNNews,1
#Message_To_KanganaRanaut,@NewsShopper,1
#Message_To_KanganaRanaut,@PTI_News,1
#Message_To_KanganaRanaut,@Priti74210953,1
#Message_To_KanganaRanaut,@SeetaramVishw14,1
#Message_To_KanganaRanaut,@ZeeNews,1
#Message_To_KanganaRanaut,@aajtak,1
#Message_To_KanganaRanaut,@harshpatilp,1
#Message_To_KanganaRanaut,@ksahuk1,1
#Message_To_KanganaRanaut,@AbhishekNewaskr,1
#Message_To_KanganaRanaut,@sanjana63961702,1
#Message_To_KanganaRanaut,@pramodkumarbhas,1
#Message_To_KanganaRanaut,@RatnaChouhan2,1
#Message_To_KanganaRanaut,@Being_Sunidhi,1
#Message_To_KanganaRanaut,@pushpinder0311,1
#Message_To_KanganaRanaut,@Latamahant28,1
#Message_To_KanganaRanaut,@MonuDas76106785,1
#Message_To_KanganaRanaut,@NNavjibhai,1
#Message_To_KanganaRanaut,@Omparkashdass6,1
#Message_To_KanganaRanaut,@PRADYUM_BAE,1
#Message_To_KanganaRanaut,@Pushpa83360336,1
#Message_To_KanganaRanaut,@Sat_Saheb_,1
#Message_To_KanganaRanaut,@nidhididiii,1
#Message_To_KanganaRanaut,@Sonukum59973369,1
#Message_To_KanganaRanaut,@KilkotiD,1
#Message_To_KanganaRanaut,@MahantMantosh,1
#Message_To_KanganaRanaut,@MausamDass,1
#Message_To_KanganaRanaut,@PawanJi01,1
#Message_To_KanganaRanaut,@PinkiDasi12,1
#Message_To_KanganaRanaut,@SatbirDass10,1
#Message_To_KanganaRanaut,@hemgdas,1
#Message_To_KanganaRanaut,@ArtiUniyal3,1
