src,dst,count
#COVID19,@WHO,10
#COVID19,@realDonaldTrump,10
#COVID19,@BarackObama,8
#COVID19,@AprilDRyan,8
#COVID19,@gtconway3d,6
#COVID19,@TheDeshBhakt,4
#COVID19,@DrTedros,3
#COVID19,@UNESCO,2
#COVID19,@UNGeneva,2
#COVID19,@UN,2
#COVID19,@UNDevelopPolicy,2
#COVID19,@UNDESA,2
#COVID19,@FAOSDGs,2
#COVID19,@womenlifthealth,2
#COVID19,@HackneyAbbott,2
#COVID19,@Politicsinsider,2
#COVID19,@UNReliefChief,2
#COVID19,@21WIRE,2
#COVID19,@banthebbc,2
#COVID19,@antonioguterres,2
#COVID19,@cpimspeak,2
#COVID19,@steeletalk,2
#COVID19,@Allison59798116,2
#COVID19,@AdamPOlsen,2
#COVID19,@sec_council,2
#COVID19,@ALBERTOACOSTAB,2
#COVID19,@GOP,1
#COVID19,@ACLU,1
#COVID19,@LaetitiaBader,1
#COVID19,@Kom_chad_luek,1
#COVID19,@KamalaHarris,1
#COVID19,@GovRonDeSantis,1
#COVID19,@GerLynaghTV,1
#COVID19,@AOC,1
#COVID19,@ForQ2,1
#COVID19,@Cleavon_MD,1
#COVID19,@AbiyAhmedAli,1
#COVID19,@AndaluciaSinVOX,1
#COVID19,@CAPAction,1
#COVID19,@DrEricDing,1
#COVID19,@MinTrabajoEc,1
#COVID19,@DonaldJTrumpJr,1
#COVID19,@DG_NTA,1
#COVID19,@Medicilio,1
#COVID19,@womensmarch,1
#COVID19,@MontyBoa99,1
#COVID19,@Yale,1
#COVID19,@wap_nl,1
#COVID19,@saribethrose,1
#COVID19,@ruiz_espejo,1
#COVID19,@preshitorian,1
#COVID19,@pr_moph,1
#COVID19,@naijaloveinfo,1
#COVID19,@isostandards,1
#COVID19,@hrw,1
#COVID19,@himachalkesari,1
#COVID19,@docjosiahboone,1
#COVID19,@amnesty,1
#COVID19,@WHRNepal,1
#COVID19,@PHE_uk,1
#COVID19,@VirusesImmunity,1
#COVID19,@VirginMediaNews,1
#COVID19,@TheDemCoalition,1
#COVID19,@Sylvia39372433,1
#COVID19,@StateDept,1
#COVID19,@StartSchoolL8r,1
#COVID19,@SpeakerPelosi,1
#COVID19,@SenatorRomney,1
#COVID19,@SecPompeo,1
#COVID19,@SaksithCNA,1
#COVID19,@ProjectLincoln,1
#COVID19,@PabloFuente,1
#COVID19,@StarAdvertiser,1
