src,dst,count
#AtalTunnel,@narendramodi,335
#AtalTunnel,@BJP4India,31
#AtalTunnel,@rajnathsingh,21
#AtalTunnel,@JPNadda,17
#AtalTunnel,@PMOIndia,7
#AtalTunnel,@shivprakashbjp,7
#AtalTunnel,@SarojPandeyBJP,6
#AtalTunnel,@DDNewslive,5
#AtalTunnel,@BJP4Andhra,4
#AtalTunnel,@sunilbansalbjp,4
#AtalTunnel,@swabhimani1,3
#AtalTunnel,@PIBRaipur,3
#AtalTunnel,@SMHoaxSlayer,3
#AtalTunnel,@ShivAroor,3
#AtalTunnel,@mygovindia,3
#AtalTunnel,@AbhishekBhalla7,3
#AtalTunnel,@BJP4Rajasthan,3
#AtalTunnel,@ChaudhryShankar,3
#AtalTunnel,@Facto_news,2
#AtalTunnel,@DrPremKrBihar,2
#AtalTunnel,@PemaKhanduBJP,2
#AtalTunnel,@BJP4Gujarat,2
#AtalTunnel,@RoadsBorder,2
#AtalTunnel,@nsitharaman,2
#AtalTunnel,@BJYM,2
#AtalTunnel,@BjpBiplab,2
#AtalTunnel,@KrishnaGaurBJP,2
#AtalTunnel,@PoonambenMaadam,2
#AtalTunnel,@Dev_Fadnavis,2
#AtalTunnel,@gssjodhpur,2
#AtalTunnel,@byadavbjp,2
#AtalTunnel,@BabitaPhogat,2
#AtalTunnel,@Shubhamrajbjym,2
#AtalTunnel,@deepakbankabjp,1
#AtalTunnel,@sanjayraiupbjp,1
#AtalTunnel,@BJP4Delhi,1
#AtalTunnel,@priyankagandhi,1
#AtalTunnel,@kpmaurya1,1
#AtalTunnel,@vishnopi,1
#AtalTunnel,@AbhayDubeyINC,1
#AtalTunnel,@PranjalKamra,1
#AtalTunnel,@carandbike,1
#AtalTunnel,@ianuragthakur,1
#AtalTunnel,@lkantbhardwaj,1
#AtalTunnel,@DDNational,1
#AtalTunnel,@Brand_Harish,1
#AtalTunnel,@ParishadYog,1
#AtalTunnel,@jivaramchoudhar,1
#AtalTunnel,@Casrchandak,1
#AtalTunnel,@BhavikaKapoor5,1
#AtalTunnel,@savronik,1
#AtalTunnel,@vasaninayana,1
#AtalTunnel,@ABPNews,1
#AtalTunnel,@mpvadodara,1
#AtalTunnel,@PratimaBhoumik,1
#AtalTunnel,@SiemensIndia,1
#AtalTunnel,@TurkeyinDelhi,1
#AtalTunnel,@Beingsajiddarr,1
#AtalTunnel,@NrvJoshi,1
#AtalTunnel,@GSMishraBJP,1
#AtalTunnel,@SMungantiwar,1
#AtalTunnel,@mohol_murlidhar,1
#AtalTunnel,@poonam_mahajan,1
#AtalTunnel,@timesofindia,1
#AtalTunnel,@rsprasad,1
#AtalTunnel,@THEGOGAI,1
#AtalTunnel,@kajal_jaihind,1
#AtalTunnel,@Swetashiny14,1
#AtalTunnel,@chshekharbjp,1
#AtalTunnel,@KirenRijiju,1
#AtalTunnel,@drmonika_langeh,1
#AtalTunnel,@VeeryaSorry,1
#AtalTunnel,@sanjukta,1
#AtalTunnel,@iPankajShukla,1
#AtalTunnel,@MiLOKMAT,1
#AtalTunnel,@brajeshpathakup,1
#AtalTunnel,@ManojTiwariMP,1
#AtalTunnel,@ivikrantpatil,1
#AtalTunnel,@AmitShah,1
#AtalTunnel,@BJPSURATCITY1,1
#AtalTunnel,@NareendraModiPM,1
#AtalTunnel,@blsanthosh,1
#AtalTunnel,@sonalgoelias,1
#AtalTunnel,@rajeshchudasma,1
#AtalTunnel,@PIBHindi,1
#AtalTunnel,@paritosh2608,1
#AtalTunnel,@BarbilCS,1
#AtalTunnel,@CMOKerala,1
#AtalTunnel,@premk56,1
#AtalTunnel,@ChouhanShivraj,1
#AtalTunnel,@raiprakashji,1
#AtalTunnel,@ameetasinh,1
#AtalTunnel,@imarunaksh,1
#AtalTunnel,@BJP4TamilNadu,1
#AtalTunnel,@DrKirodilalBJP,1
#AtalTunnel,@ayushmangal28,1
#AtalTunnel,@BJP4Himachal,1
#AtalTunnel,@MIB_India,1
#AtalTunnel,@shivanipandayy,1
#AtalTunnel,@mlkhattar,1
#AtalTunnel,@Ra_THORe,1
#AtalTunnel,@IndianDefence10,1
#AtalTunnel,@Kamalkoriya,1
#AtalTunnel,@SocialTamasha,1
#AtalTunnel,@agaurha25,1
#AtalTunnel,@DhumalHP,1
#AtalTunnel,@pltcljester,1
#AtalTunnel,@Haraprasad_,1
#AtalTunnel,@amitmalviya,1
#AtalTunnel,@chetanbragta,1
#AtalTunnel,@LicypriyaK,1
#AtalTunnel,@BJPJILAVARANASI,1
#AtalTunnel,@p_c_thakur,1
#AtalTunnel,@CNNnews18,1
#AtalTunnel,@IndiaToday,1
#AtalTunnel,@MirrorNow,1
#AtalTunnel,@PManmohansingh,1
#AtalTunnel,@SoniaGandhiBest,1
#AtalTunnel,@awake1975,1
#AtalTunnel,@ndtv,1
#AtalTunnel,@BSNLCorporate,1
#AtalTunnel,@Naman_BKN,1
#AtalTunnel,@sbajpai2811,1
#AtalTunnel,@ldsinghbjp,1
