src,dst,count
#savePuVVNL,#savepowersectorindia,4540
#savePuVVNL,#savegovtjobs,664
#savePuVVNL,#StopPrivatisation_SaveGovtJob,58
#savePuVVNL,#stopprivatizationuppcl,29
#savePuVVNL,#savepowersectorIndia,14
#savePuVVNL,#StopPrivatisation_saveGovtJobs,14
#savePuVVNL,#stopprivatisationuppcl,8
#savePuVVNL,#NPSनिजीकरणभारतछोड़ो,4
#savePuVVNL,#uppcl,3
#savePuVVNL,#savegovt,2
#savePuVVNL,#stopprivatization,2
#savePuVVNL,#NDTV,1
#savePuVVNL,#unemployment,1
#savePuVVNL,#savegovtjob,1
#savePuVVNL,#save,1
#savePuVVNL,#Savepowersectorindia,1
#savePuVVNL,#prashantbhushan,1
#savePuVVNL,#savefarmer,1
#savePuVVNL,#SCSTOBCMinorityLivesMatter,1
#savePuVVNL,#Message_To_KanganaRanaut,1
#savePuVVNL,#10Hafte10Baje10Minute,1
#savePuVVNL,#stopprivatizatin,1
#savePuVVNL,#SaveGovtJobs,1
#savePuVVNL,#stopprivatisation,1
#savePuVVNL,#stopprivatisation_savegovtjobs,1
