src,dst,count
#CrimeCapitalRajasthan,@PrayagrajWale,414
#CrimeCapitalRajasthan,@beingarun28,367
#CrimeCapitalRajasthan,@arunbajpairajan,261
#CrimeCapitalRajasthan,@MahantBalaknath,256
#CrimeCapitalRajasthan,@BJP4Rajasthan,252
#CrimeCapitalRajasthan,@ashokgehlot51,220
#CrimeCapitalRajasthan,@RahulGandhi,216
#CrimeCapitalRajasthan,@AlokTiwari9335,139
#CrimeCapitalRajasthan,@priyankagandhi,136
#CrimeCapitalRajasthan,@DrSatishPoonia,119
#CrimeCapitalRajasthan,@AnkitShukla4bjp,117
#CrimeCapitalRajasthan,@nikks04,110
#CrimeCapitalRajasthan,@chshekharbjp,109
#CrimeCapitalRajasthan,@YogiDevnath2,88
#CrimeCapitalRajasthan,@Brand_Anuj,71
#CrimeCapitalRajasthan,@gssjodhpur,66
#CrimeCapitalRajasthan,@ajrajbjp,66
#CrimeCapitalRajasthan,@KumariDiya,54
#CrimeCapitalRajasthan,@amitmalviya,54
#CrimeCapitalRajasthan,@TheDeepak2020In,52
#CrimeCapitalRajasthan,@BJP4India,52
#CrimeCapitalRajasthan,@diptisingh7812,51
#CrimeCapitalRajasthan,@arpitahindu,51
#CrimeCapitalRajasthan,@ProNaMoSeva,49
#CrimeCapitalRajasthan,@kiiitttuuu,46
#CrimeCapitalRajasthan,@AnoopSIKARWAR4,45
#CrimeCapitalRajasthan,@RAMENDRA2151,43
#CrimeCapitalRajasthan,@mahindrbahubali,40
#CrimeCapitalRajasthan,@iSengarAjayy,38
#CrimeCapitalRajasthan,@INCIndia,38
#CrimeCapitalRajasthan,@BGEHLO,37
#CrimeCapitalRajasthan,@balusingh08,35
#CrimeCapitalRajasthan,@NaMoBrigade10,32
#CrimeCapitalRajasthan,@NitinArchitect,32
#CrimeCapitalRajasthan,@aajtak,30
#CrimeCapitalRajasthan,@AMITDIXIT4BJP,30
#CrimeCapitalRajasthan,@Madhav57262153,30
#CrimeCapitalRajasthan,@cpjoshiBJP,29
#CrimeCapitalRajasthan,@zeerajasthan_,29
#CrimeCapitalRajasthan,@HirdeshIndauli1,28
#CrimeCapitalRajasthan,@ananyasinghi,27
