src,dst,count
#BoycottBigBoss14,#BoycottKapilSharmaShow,146
#BoycottBigBoss14,#BoycottBollywood,54
#BoycottBigBoss14,#SushantConspiracyExposed,50
#BoycottBigBoss14,#BoycottKBC,21
#BoycottBigBoss14,#BigBoss,18
#BoycottBigBoss14,#AllEyesOnCBI,18
#BoycottBigBoss14,#BanLaxmiBomb,14
#BoycottBigBoss14,#BoycottKBC2020,13
#BoycottBigBoss14,#BigBoss14,10
#BoycottBigBoss14,#SushantAIIMSReport,9
#BoycottBigBoss14,#JusticeForSSR,8
#BoycottBigBoss14,#BoycottKapilSharma,7
#BoycottBigBoss14,#JusticeForSushantSinghRajput,7
#BoycottBigBoss14,#sushantaiimstape,6
#BoycottBigBoss14,#SudhirGupta,6
#BoycottBigBoss14,#revolutionforssr,6
#BoycottBigBoss14,#BoycottFifafooz,6
#BoycottBigBoss14,#BoycottShudhManoranjan,6
#BoycottBigBoss14,#BoycottFilmwindow,6
#BoycottBigBoss14,#SSRcase,6
#BoycottBigBoss14,#BoycottColorsTV,6
#BoycottBigBoss14,#boycott,4
#BoycottBigBoss14,#302ForSSRKillers,4
#BoycottBigBoss14,#boycottsalmankhan,4
#BoycottBigBoss14,#Radhe,4
#BoycottBigBoss14,#boycottlaxmibomb,4
#BoycottBigBoss14,#SushantAIIMSTape,4
#BoycottBigBoss14,#BoycottTheKapilSharmaShow,3
#BoycottBigBoss14,#Justice4SSRIsGlobalDemand,3
#BoycottBigBoss14,#BoycottBellBottom,3
#BoycottBigBoss14,#BoycottLaxmmiBomb,3
#BoycottBigBoss14,#BellBottomTeaser,2
#BoycottBigBoss14,#KapilSharmashow,2
#BoycottBigBoss14,#HalalonomicsDestroyingIndia,2
#BoycottBigBoss14,#justiceforssr,2
#BoycottBigBoss14,#BoycottBiggBoss14,2
#BoycottBigBoss14,#बिगबॉस_बायकाट,2
#BoycottBigBoss14,#BoycottLaxxmiBomb,2
#BoycottBigBoss14,#Dream11IPL,2
#BoycottBigBoss14,#JusticeForDalits,2
#BoycottBigBoss14,#Metooindia,2
#BoycottBigBoss14,#PrideOfJournalism,2
#BoycottBigBoss14,#SidharthShukla,2
#BoycottBigBoss14,#BoycottTimesnow,2
#BoycottBigBoss14,#bigboss,2
#BoycottBigBoss14,#Justice4SSR,2
#BoycottBigBoss14,#AntiHinduBollywood,2
#BoycottBigBoss14,#SalmanKhan,2
#BoycottBigBoss14,#BoycottBollywoodFilms,2
#BoycottBigBoss14,#BollywoodDrugGang,2
#BoycottBigBoss14,#Arnab,2
#BoycottBigBoss14,#SSRMurderNotSuicide,2
#BoycottBigBoss14,#BollywoodNeedsRehab,2
#BoycottBigBoss14,#SudhirGuptaSoldOut,1
#BoycottBigBoss14,#Boycottkapilsharmashow,1
#BoycottBigBoss14,#BOYCOTTBIGBOSS14,1
#BoycottBigBoss14,#ArnabGoswami,1
#BoycottBigBoss14,#boycottbollywoodproducts,1
#BoycottBigBoss14,#asimmatter,1
#BoycottBigBoss14,#NoJusticeNoVote,1
#BoycottBigBoss14,#HungerStrike4SSR,1
#BoycottBigBoss14,#AIIMSBikGaya,1
#BoycottBigBoss14,#SushantAIIMSTap,1
#BoycottBigBoss14,#BoycottLaxmiBomb,1
#BoycottBigBoss14,#BoycottBigboss2020,1
#BoycottBigBoss14,#BoycottBollywoodDruggies,1
#BoycottBigBoss14,#AntihinduBollywood,1
#BoycottBigBoss14,#Warriors4SSR,1
#BoycottBigBoss14,#HathrasTruthExposed,1
#BoycottBigBoss14,#arrestanuragkashyap,1
#BoycottBigBoss14,#ArrestSSRKillersNow,1
#BoycottBigBoss14,#boycottbollywoodmafiagangs,1
#BoycottBigBoss14,#bycottBigBoss,1
#BoycottBigBoss14,#SatyamevaJayate,1
#BoycottBigBoss14,#Bigboss14,1
#BoycottBigBoss14,#हिन्दू_विरोधी_बिगबाॅस,1
#BoycottBigBoss14,#BiggBoss14,1
#BoycottBigBoss14,#पूछता_है_भारत,1
#BoycottBigBoss14,#AkshayKumar,1
#BoycottBigBoss14,#AIIMSSoldOut,1
#BoycottBigBoss14,#BiggBoss2020,1
#BoycottBigBoss14,#SushantWasMurdered,1
#BoycottBigBoss14,#SushantJusticeNow,1
#BoycottBigBoss14,#ShameOnSudhirGupta,1
#BoycottBigBoss14,#SSRWarriors,1
#BoycottBigBoss14,#boycottbiggboss,1
#BoycottBigBoss14,#ImmortalSushant,1
#BoycottBigBoss14,#BollywoodCleanup,1
#BoycottBigBoss14,#shushantconspiracyexposed,1
#BoycottBigBoss14,#BanBellBottom,1
#BoycottBigBoss14,#boycottislam,1
#BoycottBigBoss14,#Boycottsalmanmoviesalltvshows,1
#BoycottBigBoss14,#JusticeForDishaSalian,1
#BoycottBigBoss14,#TheKapilSharmaShow,1
#BoycottBigBoss14,#कांग्रेस_की_साजिश_हाथरस,1
#BoycottBigBoss14,#Uninstallcolours,1
#BoycottBigBoss14,#JusticeForSSRAndDisha,1
#BoycottBigBoss14,#BoycottMaharastraEntertainmentaindustry,1
