src,dst,count
(#COVID19|#Corona),@DrEricDing,962
(#COVID19|#Corona),@realDonaldTrump,297
(#COVID19|#Corona),@Laurie_Garrett,285
(#COVID19|#Corona),@halltoons,196
(#COVID19|#Corona),@AdrBell,180
(#COVID19|#Corona),@SecretService,166
(#COVID19|#Corona),@SenDuckworth,156
(#COVID19|#Corona),@WhiteHouse,152
(#COVID19|#Corona),@POTUS,90
(#COVID19|#Corona),@soloyochapin,84
(#COVID19|#Corona),@ColSDM,78
(#COVID19|#Corona),@Craig_A_Spencer,72
(#COVID19|#Corona),@Volksverpetzer,70
(#COVID19|#Corona),@OlafGersemann,65
(#COVID19|#Corona),@WHO,64
(#COVID19|#Corona),@morethanmySLE,50
(#COVID19|#Corona),@disclosetv,49
(#COVID19|#Corona),@JoeBiden,42
(#COVID19|#Corona),@EricTrump,42
(#COVID19|#Corona),@TheRealHoarse,38
(#COVID19|#Corona),@Plushie50458867,33
(#COVID19|#Corona),@Finanzas_Times,30
(#COVID19|#Corona),@DougBillings,29
(#COVID19|#Corona),@DrPhillipsMD,28
(#COVID19|#Corona),@FLOTUS,27
(#COVID19|#Corona),@CNN,25
(#COVID19|#Corona),@danielmack,25
(#COVID19|#Corona),@clairecmc,23
(#COVID19|#Corona),@GOP,23
(#COVID19|#Corona),@StacyLeMelle,23
(#COVID19|#Corona),@atrupar,21
(#COVID19|#Corona),@DrZweliMkhize,19
(#COVID19|#Corona),@VP,19
(#COVID19|#Corona),@KamalaHarris,19
(#COVID19|#Corona),@naretevduorp,19
(#COVID19|#Corona),@Motinsitepegas,17
(#COVID19|#Corona),@AndaluciaSinVOX,17
(#COVID19|#Corona),@XHNews,17
(#COVID19|#Corona),@PressSec,15
(#COVID19|#Corona),@SpeakerPelosi,15
(#COVID19|#Corona),@gtconway3d,15
(#COVID19|#Corona),@starseedastro,15
(#COVID19|#Corona),@2013Boodicca,14
(#COVID19|#Corona),@TheDailyEdge,14
(#COVID19|#Corona),@Dalu_1989,13
(#COVID19|#Corona),@GovRonDeSantis,13
(#COVID19|#Corona),@AlvarezMorenoC,12
(#COVID19|#Corona),@GwenGraham,12
(#COVID19|#Corona),@Naveen_Odisha,12
(#COVID19|#Corona),@RailroadUnderg1,12
(#COVID19|#Corona),@JoJoFromJerz,11
(#COVID19|#Corona),@terrismallfry,11
(#COVID19|#Corona),@MSNBC,11
(#COVID19|#Corona),@samstein,11
(#COVID19|#Corona),@PabloFuente,11
(#COVID19|#Corona),@MarkMeadows,11
(#COVID19|#Corona),@lisareynaloe,11
(#COVID19|#Corona),@MirMAKOfficial,10
(#COVID19|#Corona),@TOPublicHealth,10
(#COVID19|#Corona),@ChilangoCom,9
(#COVID19|#Corona),@GOPLeader,9
(#COVID19|#Corona),@Jimcorrsays,9
(#COVID19|#Corona),@KariJoys,9
(#COVID19|#Corona),@nytimes,9
(#COVID19|#Corona),@donwinslow,8
(#COVID19|#Corona),@BeschlossDC,8
(#COVID19|#Corona),@cpgale3,8
(#COVID19|#Corona),@CMonteroOficial,8
(#COVID19|#Corona),@bill_auclair,8
(#COVID19|#Corona),@mmamas1973,8
(#COVID19|#Corona),@FoxNews,8
(#COVID19|#Corona),@Clark33Clark,8
(#COVID19|#Corona),@TeamTrump,8
(#COVID19|#Corona),@Twitter,8
(#COVID19|#Corona),@lucyjohnston439,8
(#COVID19|#Corona),@CardiacAudit,8
(#COVID19|#Corona),@Acosta,7
(#COVID19|#Corona),@SL11669749,7
(#COVID19|#Corona),@VABVOX,7
(#COVID19|#Corona),@Ejercito_Chile,7
(#COVID19|#Corona),@jaketapper,7
(#COVID19|#Corona),@NCDCgov,7
(#COVID19|#Corona),@DNC,7
(#COVID19|#Corona),@KellyannePolls,7
(#COVID19|#Corona),@ZDFheute,7
(#COVID19|#Corona),@senatemajldr,7
(#COVID19|#Corona),@cnnbrk,7
(#COVID19|#Corona),@YouTube,7
(#COVID19|#Corona),@JRubinBlogger,7
(#COVID19|#Corona),@dw_espanol,7
(#COVID19|#Corona),@SenSchumer,7
(#COVID19|#Corona),@YourAnonCentral,7
(#COVID19|#Corona),@SEDENAmx,6
(#COVID19|#Corona),@TheRickWilson,6
(#COVID19|#Corona),@BorisJohnson,6
(#COVID19|#Corona),@MoHFW_INDIA,6
(#COVID19|#Corona),@humanigen,6
(#COVID19|#Corona),@GovMurphy,6
(#COVID19|#Corona),@1MadKatt1,6
(#COVID19|#Corona),@bblock29,6
(#COVID19|#Corona),@CBSNews,6
(#COVID19|#Corona),@EricG1247,6
(#COVID19|#Corona),@kaitlancollins,6
(#COVID19|#Corona),@foxandfriends,6
(#COVID19|#Corona),@Pontifex,6
(#COVID19|#Corona),@thisbuerge,6
(#COVID19|#Corona),@RayOKeefe3,6
(#COVID19|#Corona),@dhmontgomery,6
(#COVID19|#Corona),@alexmjordan,6
(#COVID19|#Corona),@PMOIndia,6
(#COVID19|#Corona),@CSandbox,6
(#COVID19|#Corona),@CDCgov,6
(#COVID19|#Corona),@campomartemx,6
(#COVID19|#Corona),@zeusFanHouse,6
(#COVID19|#Corona),@narendramodi,6
(#COVID19|#Corona),@TheReal32492440,6
(#COVID19|#Corona),@Pop3Pam,6
(#COVID19|#Corona),@ScottMorrisonMP,5
(#COVID19|#Corona),@IngrahamAngle,5
(#COVID19|#Corona),@pauldutton1968,5
(#COVID19|#Corona),@ReserveCivique,5
(#COVID19|#Corona),@JHKwonDO,5
(#COVID19|#Corona),@amber_athey,5
(#COVID19|#Corona),@h_babcock,5
(#COVID19|#Corona),@WUSTLmed,5
(#COVID19|#Corona),@robert_mey,5
(#COVID19|#Corona),@AmitAryaMD,5
(#COVID19|#Corona),@europapress,5
(#COVID19|#Corona),@Tagesspiegel,5
(#COVID19|#Corona),@AlokPatelMD,5
(#COVID19|#Corona),@MaryFernando_,5
(#COVID19|#Corona),@htTweets,5
(#COVID19|#Corona),@ABC,5
(#COVID19|#Corona),@rodolfoasar,5
(#COVID19|#Corona),@SenateGOP,5
(#COVID19|#Corona),@BiglyerPrez,5
(#COVID19|#Corona),@guardian,5
(#COVID19|#Corona),@Shawnee_Leath,5
(#COVID19|#Corona),@Einzelfallinfos,5
(#COVID19|#Corona),@PTI_News,5
(#COVID19|#Corona),@rashtrapatibhvn,5
