src,dst,count
(#COVID19|#SpreaderInChief),@realDonaldTrump,919
(#COVID19|#SpreaderInChief),@AprilDRyan,266
(#COVID19|#SpreaderInChief),@DrEricDing,236
(#COVID19|#SpreaderInChief),@CNN,227
(#COVID19|#SpreaderInChief),@glamelegance,225
(#COVID19|#SpreaderInChief),@SJMorrison_,220
(#COVID19|#SpreaderInChief),@SKYRIDER4538,170
(#COVID19|#SpreaderInChief),@Mediavenir,140
(#COVID19|#SpreaderInChief),@TheSWPrincess,120
(#COVID19|#SpreaderInChief),@ashoswai,104
(#COVID19|#SpreaderInChief),@JoeBiden,70
(#COVID19|#SpreaderInChief),@YourAnonCentral,69
(#COVID19|#SpreaderInChief),@GOP,69
(#COVID19|#SpreaderInChief),@POTUS,65
(#COVID19|#SpreaderInChief),@julianzelizer,53
(#COVID19|#SpreaderInChief),@WybrenvanHaga,50
(#COVID19|#SpreaderInChief),@SierraWhiskee,49
(#COVID19|#SpreaderInChief),@DNC,48
(#COVID19|#SpreaderInChief),@FLOTUS,46
(#COVID19|#SpreaderInChief),@blackwomenviews,43
(#COVID19|#SpreaderInChief),@kaltoons,41
(#COVID19|#SpreaderInChief),@soloyochapin,40
(#COVID19|#SpreaderInChief),@CMonteroOficial,40
(#COVID19|#SpreaderInChief),@JohnBasham,38
(#COVID19|#SpreaderInChief),@newsmax,36
(#COVID19|#SpreaderInChief),@drapr007,35
(#COVID19|#SpreaderInChief),@IMAIndiaOrg,34
(#COVID19|#SpreaderInChief),@HimalayaGlobal,32
(#COVID19|#SpreaderInChief),@naretevduorp,31
(#COVID19|#SpreaderInChief),@grantstern,31
(#COVID19|#SpreaderInChief),@johncusack,30
(#COVID19|#SpreaderInChief),@GaetanEscorbiac,30
(#COVID19|#SpreaderInChief),@EckerleIsabella,30
(#COVID19|#SpreaderInChief),@AnonymeCitoyen,29
(#COVID19|#SpreaderInChief),@GabrielScally,27
(#COVID19|#SpreaderInChief),@Alyssa_Milano,27
(#COVID19|#SpreaderInChief),@Winnie_Byanyima,27
(#COVID19|#SpreaderInChief),@mikandynothem,26
(#COVID19|#SpreaderInChief),@Cartoon4sale,26
(#COVID19|#SpreaderInChief),@_SemaHernandez_,26
(#COVID19|#SpreaderInChief),@RepMcCaul,25
(#COVID19|#SpreaderInChief),@WHO,24
(#COVID19|#SpreaderInChief),@MadFckingWitch,23
(#COVID19|#SpreaderInChief),@BorisJohnson,22
(#COVID19|#SpreaderInChief),@cris_cersei,21
(#COVID19|#SpreaderInChief),@DrDenaGrayson,21
(#COVID19|#SpreaderInChief),@Rosie_wearamask,21
(#COVID19|#SpreaderInChief),@LaurenPelley,20
(#COVID19|#SpreaderInChief),@DokterPodcast,20
(#COVID19|#SpreaderInChief),@eruizescudero,19
(#COVID19|#SpreaderInChief),@IvankaTrump,19
(#COVID19|#SpreaderInChief),@Fginer,19
(#COVID19|#SpreaderInChief),@WhiteHouse,18
(#COVID19|#SpreaderInChief),@ProjectLincoln,18
(#COVID19|#SpreaderInChief),@TheAtlantic,18
(#COVID19|#SpreaderInChief),@cardiacACCP,18
(#COVID19|#SpreaderInChief),@KellyannePolls,18
(#COVID19|#SpreaderInChief),@carrerapulse,18
(#COVID19|#SpreaderInChief),@davidmweissman,18
(#COVID19|#SpreaderInChief),@XHNews,17
(#COVID19|#SpreaderInChief),@StefSimanowitz,17
(#COVID19|#SpreaderInChief),@AndyOstroy,17
(#COVID19|#SpreaderInChief),@JoshuaBHoe,17
(#COVID19|#SpreaderInChief),@HotelLubyanka,17
(#COVID19|#SpreaderInChief),@MBuhari,16
(#COVID19|#SpreaderInChief),@TheJusticeDept,16
(#COVID19|#SpreaderInChief),@DrTedros,16
(#COVID19|#SpreaderInChief),@c_drosten,16
(#COVID19|#SpreaderInChief),@SenateGOP,15
(#COVID19|#SpreaderInChief),@TalbertSwan,15
(#COVID19|#SpreaderInChief),@seanhannity,15
(#COVID19|#SpreaderInChief),@toddgillman,15
(#COVID19|#SpreaderInChief),@SkyNews,15
(#COVID19|#SpreaderInChief),@HKrassenstein,14
(#COVID19|#SpreaderInChief),@GhenhisKhan,14
(#COVID19|#SpreaderInChief),@Jali_Cat,13
(#COVID19|#SpreaderInChief),@dallimore_m,13
(#COVID19|#SpreaderInChief),@FoxNews,13
(#COVID19|#SpreaderInChief),@benshapiro,13
(#COVID19|#SpreaderInChief),@itsJeffTiedrich,12
(#COVID19|#SpreaderInChief),@DietherAst,12
(#COVID19|#SpreaderInChief),@TheDailyEdge,12
(#COVID19|#SpreaderInChief),@erzaehlmirnix,12
(#COVID19|#SpreaderInChief),@sri50,12
(#COVID19|#SpreaderInChief),@RegBerlin,11
(#COVID19|#SpreaderInChief),@PDChina,11
(#COVID19|#SpreaderInChief),@sonnenfeind,11
(#COVID19|#SpreaderInChief),@ShamikaRavi,11
(#COVID19|#SpreaderInChief),@george_revere,11
(#COVID19|#SpreaderInChief),@robjh1,11
(#COVID19|#SpreaderInChief),@f4izalhassan,11
(#COVID19|#SpreaderInChief),@ANI,11
(#COVID19|#SpreaderInChief),@jennycohn1,11
(#COVID19|#SpreaderInChief),@CatNamus,10
(#COVID19|#SpreaderInChief),@TonyAtamanuik,10
(#COVID19|#SpreaderInChief),@lozanoirene,10
(#COVID19|#SpreaderInChief),@MELANIATRUMP,10
(#COVID19|#SpreaderInChief),@DrZoeHyde,10
(#COVID19|#SpreaderInChief),@BlueTX2020,10
(#COVID19|#SpreaderInChief),@PressSec,10
(#COVID19|#SpreaderInChief),@BidensGirls,10
(#COVID19|#SpreaderInChief),@SpeakerPelosi,10
(#COVID19|#SpreaderInChief),@AiphanMarcel,10
(#COVID19|#SpreaderInChief),@BarackObama,10
(#COVID19|#SpreaderInChief),@MikeyNog,10
(#COVID19|#SpreaderInChief),@A_MacLullich,10
