src,dst,count
$36327407,#COVID19,22
$36327407,#AtalTunnel,9
$36327407,#Hathras,8
$36327407,#ElectionsWithHT,6
$36327407,#BiharPolls,3
$36327407,#ItsViral,2
$36327407,#Covid19,2
$36327407,#SushantSinghRajput,1
$36327407,#BiharAssemblyElections2020,1
$36327407,#JEEAdvanced2020,1
$36327407,#AllNewHT,1
$36327407,#BiharElections,1
$36327407,#HTExclusive,1
$36327407,#BiharAssemblyElection2020,1
$36327407,#upscprelims2020,1
$36327407,#HathrasCase,1
$36327407,#KanganaRanuat,1
$36327407,#coronavirus,1
$36327407,#AIIMS,1
$36327407,#GandhiJayanti,1
$36327407,#IPL2020,1
$36327407,#HTNewsBrief,1
