src,dst,count
#Message_To_KanganaRanaut,#SaintRampalJiMaharaj,6
#Message_To_KanganaRanaut,#TrueGuru,5
#Message_To_KanganaRanaut,#kanganaji,1
#Message_To_KanganaRanaut,#Sabhakti_sandesh,1
#Message_To_KanganaRanaut,#WorldAnimalWelfareDay,1
#Message_To_KanganaRanaut,#SundayMorning,1
#Message_To_KanganaRanaut,#SCSTOBCMinorityLivesMatter,1
#Message_To_KanganaRanaut,#BoycottBollywood,1
#Message_To_KanganaRanaut,#திராவிடப்பெருஞ்சுவர்,1
#Message_To_KanganaRanaut,#sundayvibes,1
#Message_To_KanganaRanaut,#Satguru,1
#Message_To_KanganaRanaut,#Kanganaji,1
#Message_To_KanganaRanaut,#JusticeForDalits,1
#Message_To_KanganaRanaut,#AllEyesOnCBI,1
#Message_To_KanganaRanaut,#satlok_ashram,1
#Message_To_KanganaRanaut,#satbhakti,1
