src,dst,count
#TheMusicVideo,@BLACKPINK,10782
#TheMusicVideo,@BTS_twt,10154
#TheMusicVideo,@selenagomez,9406
#TheMusicVideo,@btsvotingorg,3403
#TheMusicVideo,@mygtrivias,1362
#TheMusicVideo,@chartsblackpink,1097
#TheMusicVideo,@bpbillboard,981
#TheMusicVideo,@GlobalBlackPink,787
#TheMusicVideo,@btsvotingunite,696
#TheMusicVideo,@Born2Bredarmy,615
#TheMusicVideo,@mawar_kiyo,521
#TheMusicVideo,@btsyoutubedata,475
#TheMusicVideo,@2cooI4skull,438
#TheMusicVideo,@AoMAm63970431,396
#TheMusicVideo,@BLACKPINKGLOBAL,392
#TheMusicVideo,@shyuk_kiyowo,388
#TheMusicVideo,@bts_bighit,362
#TheMusicVideo,@Miluju_te_BTS,341
#TheMusicVideo,@LiORIGINAL,320
#TheMusicVideo,@bpinradio,313
#TheMusicVideo,@V0TEWITHARMY,299
#TheMusicVideo,@Hopealice_m,275
#TheMusicVideo,@Devilll01,270
#TheMusicVideo,@BlinkVotingCrew,269
#TheMusicVideo,@thefilopinks,261
#TheMusicVideo,@melonsecret,255
#TheMusicVideo,@diahgaleria,246
#TheMusicVideo,@ibighitfess,222
#TheMusicVideo,@WorldwideBLINK,221
#TheMusicVideo,@blackpinkshazam,181
#TheMusicVideo,@IntelBLACKPINK,179
#TheMusicVideo,@armyssstruggIes,176
#TheMusicVideo,@kk29171,172
#TheMusicVideo,@BLINKVotingPage,161
#TheMusicVideo,@BillboardBTS20,153
#TheMusicVideo,@BLACKPINKFML,153
#TheMusicVideo,@armyfess2,149
#TheMusicVideo,@Chada224158,148
#TheMusicVideo,@yoonminfiIms,138
#TheMusicVideo,@charts_yg,134
#TheMusicVideo,@fetishforsell,129
#TheMusicVideo,@peopleschoice,127
#TheMusicVideo,@Lsglobal_,125
#TheMusicVideo,@BLINKmf,117
#TheMusicVideo,@VMINIGGAS,116
#TheMusicVideo,@happyblinksph,114
#TheMusicVideo,@JHDI0NYSUS,105
#TheMusicVideo,@crewofsmg,104
#TheMusicVideo,@seoksci,101
#TheMusicVideo,@BTS_jmluv1,99
#TheMusicVideo,@1007Sojoo,99
#TheMusicVideo,@indomyfess,99
#TheMusicVideo,@LALISA_LISA_MNB,98
#TheMusicVideo,@ann31717,94
#TheMusicVideo,@bitiiezvotes,94
#TheMusicVideo,@Awaaa_lice,93
#TheMusicVideo,@9lili97,91
#TheMusicVideo,@LILIES_STREAM,90
#TheMusicVideo,@iarmyweeb,88
#TheMusicVideo,@FonproyA,87
#TheMusicVideo,@NoiCilLoveLiLi,87
#TheMusicVideo,@ot7religion,86
#TheMusicVideo,@ygofficialblink,86
#TheMusicVideo,@xserenitae,85
#TheMusicVideo,@forlalisa_th,84
#TheMusicVideo,@CELINEx0327,80
#TheMusicVideo,@U88guk,77
#TheMusicVideo,@lomljeons,76
#TheMusicVideo,@minhobalie,73
#TheMusicVideo,@BTSVotingBoard,70
#TheMusicVideo,@Blink4LisaOnly,69
#TheMusicVideo,@sweet27031997,63
#TheMusicVideo,@btsvote_crew,63
#TheMusicVideo,@adidyy,63
#TheMusicVideo,@MiCasaOT7,62
#TheMusicVideo,@mes_bts,62
#TheMusicVideo,@alasunokim,62
#TheMusicVideo,@srm_pkt,61
