src,dst,count
(#HatrasTruthExposed|#HatrasCase),@myogiadityanath,5
(#HatrasTruthExposed|#HatrasCase),@rupspp,3
(#HatrasTruthExposed|#HatrasCase),@Republic_Bharat,2
(#HatrasTruthExposed|#HatrasCase),@imssanger,2
(#HatrasTruthExposed|#HatrasCase),@aajtak,2
(#HatrasTruthExposed|#HatrasCase),@priyankagandhi,2
(#HatrasTruthExposed|#HatrasCase),@DrAjantaaYadav,2
(#HatrasTruthExposed|#HatrasCase),@IndiaToday,2
(#HatrasTruthExposed|#HatrasCase),@maneeshchhibber,2
(#HatrasTruthExposed|#HatrasCase),@RahulGandhi,2
(#HatrasTruthExposed|#HatrasCase),@AmitShah,1
(#HatrasTruthExposed|#HatrasCase),@RubikaLiyaquat,1
(#HatrasTruthExposed|#HatrasCase),@WIONews,1
(#HatrasTruthExposed|#HatrasCase),@republic,1
(#HatrasTruthExposed|#HatrasCase),@Uppolice,1
(#HatrasTruthExposed|#HatrasCase),@Humadac,1
(#HatrasTruthExposed|#HatrasCase),@karanjohar,1
(#HatrasTruthExposed|#HatrasCase),@pradip103,1
(#HatrasTruthExposed|#HatrasCase),@KanganaTeam,1
(#HatrasTruthExposed|#HatrasCase),@rashtrapatibhvn,1
(#HatrasTruthExposed|#HatrasCase),@ABPNews,1
(#HatrasTruthExposed|#HatrasCase),@BJP4India,1
(#HatrasTruthExposed|#HatrasCase),@narendramodi,1
(#HatrasTruthExposed|#HatrasCase),@Charakacharya,1
(#HatrasTruthExposed|#HatrasCase),@ANI,1
(#HatrasTruthExposed|#HatrasCase),@WithPGV,1
(#HatrasTruthExposed|#HatrasCase),@ikamalhaasan,1
(#HatrasTruthExposed|#HatrasCase),@PMOIndia,1
(#HatrasTruthExposed|#HatrasCase),@ashutosh83B,1
(#HatrasTruthExposed|#HatrasCase),@SyyedSuhail,1
(#HatrasTruthExposed|#HatrasCase),@shekharkapur,1
(#HatrasTruthExposed|#HatrasCase),@BeingSalmanKhan,1
(#HatrasTruthExposed|#HatrasCase),@chitraaum,1
(#HatrasTruthExposed|#HatrasCase),@RiyaGajbhiye5,1
(#HatrasTruthExposed|#HatrasCase),@Rhythms22,1
(#HatrasTruthExposed|#HatrasCase),@tritter,1
(#HatrasTruthExposed|#HatrasCase),@thekiranbedi,1
(#HatrasTruthExposed|#HatrasCase),@KreatelyMedia,1
(#HatrasTruthExposed|#HatrasCase),@SalmanNizami_,1
(#HatrasTruthExposed|#HatrasCase),@INCIndia,1
