src,dst,count
(#COVID19|#Corona),#COVID19,4624
(#COVID19|#Corona),#Corona,342
(#COVID19|#Corona),#TrumpCovid19,293
(#COVID19|#Corona),#pandemic,204
(#COVID19|#Corona),#healthcare,201
(#COVID19|#Corona),#Obamacare,198
(#COVID19|#Corona),#PreExistingConditions,197
(#COVID19|#Corona),#ChrisChristie,132
(#COVID19|#Corona),#coronavirus,124
(#COVID19|#Corona),#Trump,104
(#COVID19|#Corona),#Coronavirus,78
(#COVID19|#Corona),#PCR,76
(#COVID19|#Corona),#Pilkada2020,71
(#COVID19|#Corona),#pandemi,68
(#COVID19|#Corona),#VoteHimOut,39
(#COVID19|#Corona),#TrumpVirus,37
(#COVID19|#Corona),#DonaldTrump,32
(#COVID19|#Corona),#TrumpCovid,32
(#COVID19|#Corona),#WalterReed,31
(#COVID19|#Corona),#CovidCaughtTrump,30
(#COVID19|#Corona),#TrumpHasCovid,29
(#COVID19|#Corona),#Trump2020,27
(#COVID19|#Corona),#zweiteWelle,25
(#COVID19|#Corona),#COVIDIOTS,25
(#COVID19|#Corona),#SecretService,25
(#COVID19|#Corona),#VOTE,24
(#COVID19|#Corona),#MAGA,24
(#COVID19|#Corona),#sundayvibes,23
(#COVID19|#Corona),#COVID,23
(#COVID19|#Corona),#WearAMask,21
(#COVID19|#Corona),#China,20
(#COVID19|#Corona),#GOP,20
(#COVID19|#Corona),#25thAmendmentNow,20
(#COVID19|#Corona),#MilesGuo,18
(#COVID19|#Corona),#Whistleblowermovement,18
(#COVID19|#Corona),#NewFederalStateofChina,18
(#COVID19|#Corona),#Pilkadaserentak,18
(#COVID19|#Corona),#trump,17
(#COVID19|#Corona),#Prediction,17
(#COVID19|#Corona),#CCPVirus,17
(#COVID19|#Corona),#COVID19Vic,17
(#COVID19|#Corona),#WalterReedHospital,16
(#COVID19|#Corona),#lockdown,16
(#COVID19|#Corona),#USA,15
(#COVID19|#Corona),#bbtvi,15
(#COVID19|#Corona),#POTUS,14
(#COVID19|#Corona),#Covid_19,14
(#COVID19|#Corona),#MUNTOT,14
(#COVID19|#Corona),#Odisha,14
(#COVID19|#Corona),#TakeDownTheCCP,13
(#COVID19|#Corona),#RoseGardenMassacre,13
(#COVID19|#Corona),#GOPSuperSpreaders,13
(#COVID19|#Corona),#MentalHealth,13
(#COVID19|#Corona),#PCAs,13
(#COVID19|#Corona),#BidenHarris2020ToSaveAmerica,12
(#COVID19|#Corona),#shmuck,12
(#COVID19|#Corona),#CCPLiedPeopleDied,12
(#COVID19|#Corona),#TrumpIsATraitor,12
(#COVID19|#Corona),#ÚLTIMAHORA,11
(#COVID19|#Corona),#RG20,11
(#COVID19|#Corona),#RolandGarros,11
(#COVID19|#Corona),#Berlin,10
(#COVID19|#Corona),#WhiteHouse,10
(#COVID19|#Corona),#TrumpIsANationalDisgrace,10
(#COVID19|#Corona),#Zweitewelle,10
(#COVID19|#Corona),#CrimesAgainstHumanity,10
(#COVID19|#Corona),#Turkey,10
(#COVID19|#Corona),#COVIDIOT,10
(#COVID19|#Corona),#StayHome,10
(#COVID19|#Corona),#CoronavirusOutbreak,9
(#COVID19|#Corona),#NXTTakeOver,9
(#COVID19|#Corona),#Joy,9
(#COVID19|#Corona),#mentalhealth,9
(#COVID19|#Corona),#Iran,9
(#COVID19|#Corona),#Love,9
(#COVID19|#Corona),#JoyTrain,9
(#COVID19|#Corona),#Democrats,9
(#COVID19|#Corona),#MondayMotivation,9
(#COVID19|#Corona),#Quote,9
(#COVID19|#Corona),#Election2020,9
(#COVID19|#Corona),#WalterReedMedicalCenter,9
(#COVID19|#Corona),#BidenHarris,9
(#COVID19|#Corona),#RKI,9
(#COVID19|#Corona),#TrumpLied200KDied,9
(#COVID19|#Corona),#PresidentBuhari,8
(#COVID19|#Corona),#WorldAnimalDay,8
(#COVID19|#Corona),#AFaveLikeNengi,8
(#COVID19|#Corona),#Aysén,8
(#COVID19|#Corona),#爆料革命,8
(#COVID19|#Corona),#BunkerDon,8
(#COVID19|#Corona),#BREAKING,8
(#COVID19|#Corona),#郭文贵,8
(#COVID19|#Corona),#TrumpGOPgenocide,8
(#COVID19|#Corona),#TrumpsAmerica,8
(#COVID19|#Corona),#BreakingNews,8
(#COVID19|#Corona),#EEUU,8
(#COVID19|#Corona),#NBAFinals,8
(#COVID19|#Corona),#CCP,8
(#COVID19|#Corona),#KXIPvCSK,8
(#COVID19|#Corona),#Vote,8
(#COVID19|#Corona),#CoronavirusPandemic,8
(#COVID19|#Corona),#新中国联邦,8
(#COVID19|#Corona),#ENDSARS,8
(#COVID19|#Corona),#SARS,8
(#COVID19|#Corona),#MakeAmericaPlagueAgain,8
(#COVID19|#Corona),#Military,7
(#COVID19|#Corona),#Armenia,7
(#COVID19|#Corona),#Biden,7
(#COVID19|#Corona),#SEAvsMIA,7
(#COVID19|#Corona),#views,7
(#COVID19|#Corona),#followtrick,7
(#COVID19|#Corona),#IndiaFightsCorona,7
(#COVID19|#Corona),#Mindfulness,7
(#COVID19|#Corona),#肖战1005生日快乐,7
(#COVID19|#Corona),#SriLanka,7
(#COVID19|#Corona),#FechadoComBolsonaroAte2026,7
(#COVID19|#Corona),#mondaythoughts,7
(#COVID19|#Corona),#Covid19,7
(#COVID19|#Corona),#JoeBiden,7
(#COVID19|#Corona),#DiaMundialRBD,7
(#COVID19|#Corona),#FLAxCAP,7
(#COVID19|#Corona),#Biden2020,7
(#COVID19|#Corona),#Halloween,7
(#COVID19|#Corona),#anxiety,7
(#COVID19|#Corona),#BidenHarris2020,7
(#COVID19|#Corona),#4deoctubre,7
(#COVID19|#Corona),#VoteBlue2020,7
(#COVID19|#Corona),#BolsonaroTraidor,7
(#COVID19|#Corona),#Texas,7
(#COVID19|#Corona),#Sunday,7
(#COVID19|#Corona),#TakeResponsibility,7
(#COVID19|#Corona),#WHO,7
(#COVID19|#Corona),#FakeNews,6
(#COVID19|#Corona),#JaiShriRam,6
(#COVID19|#Corona),#EmilyInParis,6
(#COVID19|#Corona),#COVIDIDIOTS,6
(#COVID19|#Corona),#Sommerhaus,6
(#COVID19|#Corona),#UK,6
(#COVID19|#Corona),#GoodMorning,6
(#COVID19|#Corona),#IndiaFightsCOVID19,6
(#COVID19|#Corona),#AnneWill,6
(#COVID19|#Corona),#Azerbaijan,6
(#COVID19|#Corona),#Kindness,6
(#COVID19|#Corona),#Staged,6
(#COVID19|#Corona),#AVFC,6
(#COVID19|#Corona),#Peace,6
(#COVID19|#Corona),#AVLLIV,6
(#COVID19|#Corona),#ChinaVirus,6
(#COVID19|#Corona),#VoteBidenHarris2020,6
(#COVID19|#Corona),#Quarantine,6
(#COVID19|#Corona),#October1st,6
(#COVID19|#Corona),#America,6
(#COVID19|#Corona),#WearADamnMask,6
(#COVID19|#Corona),#COVID19India,6
(#COVID19|#Corona),#ClimateChange,6
(#COVID19|#Corona),#covid19,6
(#COVID19|#Corona),#Staphorst,6
(#COVID19|#Corona),#PresidentTrump,6
(#COVID19|#Corona),#renewableenergy,6
(#COVID19|#Corona),#Attack,6
(#COVID19|#Corona),#BoycottKapilSharmaShow,6
(#COVID19|#Corona),#HarHarMahadev,6
(#COVID19|#Corona),#Lockdown2,6
(#COVID19|#Corona),#BlackLivesMatter,5
(#COVID19|#Corona),#misinformation,5
(#COVID19|#Corona),#90DayFianceHappilyEverAfter,5
(#COVID19|#Corona),#TrumpVirusDeathToll210K,5
(#COVID19|#Corona),#news,5
(#COVID19|#Corona),#covid,5
(#COVID19|#Corona),#Debates2020,5
(#COVID19|#Corona),#TRUMP,5
(#COVID19|#Corona),#health,5
(#COVID19|#Corona),#physician,5
(#COVID19|#Corona),#TrumpIsALaughingStock,5
(#COVID19|#Corona),#VoteBlueToSaveAmerica,5
(#COVID19|#Corona),#Republicans,5
(#COVID19|#Corona),#SundayThoughts,5
(#COVID19|#Corona),#TrumpCovidParade,5
(#COVID19|#Corona),#researcher,5
(#COVID19|#Corona),#Doctors,5
(#COVID19|#Corona),#technology,5
(#COVID19|#Corona),#VoteBlueDownBallot,5
(#COVID19|#Corona),#Masken,5
