src,dst,count
(#COVID19|#Corona),@DrEricDing,981
(#COVID19|#Corona),@realDonaldTrump,302
(#COVID19|#Corona),@Laurie_Garrett,301
(#COVID19|#Corona),@SecretService,220
(#COVID19|#Corona),@SenDuckworth,210
(#COVID19|#Corona),@halltoons,193
(#COVID19|#Corona),@AdrBell,184
(#COVID19|#Corona),@WhiteHouse,164
(#COVID19|#Corona),@ColSDM,102
(#COVID19|#Corona),@POTUS,93
(#COVID19|#Corona),@soloyochapin,84
(#COVID19|#Corona),@Volksverpetzer,76
(#COVID19|#Corona),@Craig_A_Spencer,71
(#COVID19|#Corona),@WHO,52
(#COVID19|#Corona),@disclosetv,47
(#COVID19|#Corona),@OlafGersemann,47
(#COVID19|#Corona),@JoeBiden,42
(#COVID19|#Corona),@EricTrump,40
(#COVID19|#Corona),@DougBillings,39
(#COVID19|#Corona),@TheRealHoarse,36
(#COVID19|#Corona),@Plushie50458867,33
(#COVID19|#Corona),@Finanzas_Times,32
(#COVID19|#Corona),@CNN,30
(#COVID19|#Corona),@FLOTUS,29
(#COVID19|#Corona),@DrPhillipsMD,28
(#COVID19|#Corona),@danielmack,25
(#COVID19|#Corona),@GOP,24
(#COVID19|#Corona),@DrZweliMkhize,24
(#COVID19|#Corona),@atrupar,23
(#COVID19|#Corona),@XHNews,23
(#COVID19|#Corona),@StacyLeMelle,23
(#COVID19|#Corona),@clairecmc,23
(#COVID19|#Corona),@AndaluciaSinVOX,19
(#COVID19|#Corona),@naretevduorp,19
(#COVID19|#Corona),@Motinsitepegas,17
(#COVID19|#Corona),@gtconway3d,17
(#COVID19|#Corona),@KamalaHarris,17
(#COVID19|#Corona),@SpeakerPelosi,17
(#COVID19|#Corona),@MSNBC,16
(#COVID19|#Corona),@PressSec,15
(#COVID19|#Corona),@starseedastro,15
(#COVID19|#Corona),@Dalu_1989,15
(#COVID19|#Corona),@VABVOX,14
(#COVID19|#Corona),@TheDailyEdge,14
(#COVID19|#Corona),@AlvarezMorenoC,14
(#COVID19|#Corona),@GovRonDeSantis,13
(#COVID19|#Corona),@VP,13
(#COVID19|#Corona),@PabloFuente,13
(#COVID19|#Corona),@JoJoFromJerz,13
(#COVID19|#Corona),@GwenGraham,12
(#COVID19|#Corona),@Twitter,12
(#COVID19|#Corona),@nytimes,12
(#COVID19|#Corona),@lisareynaloe,12
(#COVID19|#Corona),@Naveen_Odisha,12
(#COVID19|#Corona),@MarkMeadows,11
(#COVID19|#Corona),@DNC,11
(#COVID19|#Corona),@terrismallfry,11
(#COVID19|#Corona),@samstein,11
(#COVID19|#Corona),@RailroadUnderg1,11
(#COVID19|#Corona),@TOPublicHealth,10
(#COVID19|#Corona),@MirMAKOfficial,10
(#COVID19|#Corona),@htTweets,10
(#COVID19|#Corona),@KariJoys,9
(#COVID19|#Corona),@TeamTrump,9
(#COVID19|#Corona),@SenSchumer,9
(#COVID19|#Corona),@Jimcorrsays,9
(#COVID19|#Corona),@ChilangoCom,9
(#COVID19|#Corona),@donwinslow,9
(#COVID19|#Corona),@GOPLeader,9
(#COVID19|#Corona),@Tagesspiegel,9
(#COVID19|#Corona),@Clark33Clark,8
(#COVID19|#Corona),@susanne_aust,8
(#COVID19|#Corona),@cpgale3,8
(#COVID19|#Corona),@bill_auclair,8
(#COVID19|#Corona),@BeschlossDC,8
(#COVID19|#Corona),@2013Boodicca,8
(#COVID19|#Corona),@CardiacAudit,8
(#COVID19|#Corona),@HSIGlobal,8
(#COVID19|#Corona),@lucyjohnston439,8
(#COVID19|#Corona),@CMonteroOficial,8
(#COVID19|#Corona),@mmamas1973,8
(#COVID19|#Corona),@Ejercito_Chile,7
(#COVID19|#Corona),@Acosta,7
(#COVID19|#Corona),@Einzelfallinfos,7
(#COVID19|#Corona),@europapress,7
(#COVID19|#Corona),@infirmierSNPI,7
(#COVID19|#Corona),@SL11669749,7
(#COVID19|#Corona),@peacemomma67,7
(#COVID19|#Corona),@FoxNews,7
(#COVID19|#Corona),@NewIndianXpress,7
(#COVID19|#Corona),@foxandfriends,7
(#COVID19|#Corona),@YouTube,7
(#COVID19|#Corona),@NCDCgov,7
(#COVID19|#Corona),@senatemajldr,7
(#COVID19|#Corona),@YourAnonCentral,7
(#COVID19|#Corona),@KellyannePolls,7
(#COVID19|#Corona),@dw_espanol,7
(#COVID19|#Corona),@JRubinBlogger,7
(#COVID19|#Corona),@mullickjamie,6
(#COVID19|#Corona),@CBSNews,6
(#COVID19|#Corona),@CSandbox,6
(#COVID19|#Corona),@CDCgov,6
(#COVID19|#Corona),@humanigen,6
(#COVID19|#Corona),@ProjectLincoln,6
(#COVID19|#Corona),@AlokPatelMD,6
(#COVID19|#Corona),@PMOIndia,6
(#COVID19|#Corona),@PeperArno,6
(#COVID19|#Corona),@thisbuerge,6
(#COVID19|#Corona),@EricG1247,6
(#COVID19|#Corona),@narendramodi,6
(#COVID19|#Corona),@Pop3Pam,6
(#COVID19|#Corona),@kaitlancollins,6
(#COVID19|#Corona),@Pontifex,6
(#COVID19|#Corona),@1MadKatt1,6
(#COVID19|#Corona),@guardian,6
(#COVID19|#Corona),@dhmontgomery,6
(#COVID19|#Corona),@alexmjordan,6
(#COVID19|#Corona),@bblock29,6
(#COVID19|#Corona),@RayOKeefe3,6
(#COVID19|#Corona),@AmitAryaMD,6
(#COVID19|#Corona),@XpressOdisha,6
(#COVID19|#Corona),@GovMurphy,6
(#COVID19|#Corona),@rashtrapatibhvn,5
(#COVID19|#Corona),@ABPNews,5
(#COVID19|#Corona),@AvanPrem,5
(#COVID19|#Corona),@rodolfoasar,5
(#COVID19|#Corona),@ABC,5
(#COVID19|#Corona),@RahulGandhi,5
(#COVID19|#Corona),@ndtv,5
(#COVID19|#Corona),@mauroberruto,5
