src,dst,count
$36327407,@narendramodi,8
$36327407,@htshowbiz,4
$36327407,@htdelhi,3
$36327407,@priyankagandhi,2
$36327407,@neerajwriting,2
$36327407,@utpal_parashar,2
$36327407,@KarnHT,2
$36327407,@naqshzeb,2
$36327407,@RamblingBrook,2
$36327407,@myogiadityanath,1
$36327407,@HT_Ed,1
$36327407,@capt_amarinder,1
$36327407,@avinashdnr,1
$36327407,@vinayak_ramesh,1
$36327407,@Bharati09,1
$36327407,@joydeepthakur,1
$36327407,@sanjoy_dey25,1
$36327407,@Thevarsteffy,1
$36327407,@anirudhb,1
$36327407,@HTSportsNews,1
$36327407,@subhashpathak,1
$36327407,@HTPunjab,1
$36327407,@HindustanTimes,1
$36327407,@INCIndia,1
$36327407,@KhairnarAbhay,1
$36327407,@PMOIndia,1
$36327407,@hemendraht,1
$36327407,@jairamthakurbjp,1
$36327407,@shivsunny,1
$36327407,@tanmaynews,1
$36327407,@jayashreenandi,1
