src,dst,count
#BBFanArmy2020,@billboard,169
#BBFanArmy2020,@weareoneEXO,86
#BBFanArmy2020,@ArianaGrande,84
#BBFanArmy2020,@RVsmtown,38
#BBFanArmy2020,@Louis_Tomlinson,38
#BBFanArmy2020,@MileyCyrus,16
#BBFanArmy2020,@JYPETWICE,15
#BBFanArmy2020,@With1DNews,14
#BBFanArmy2020,@Harry_Styles,13
#BBFanArmy2020,@superm,12
#BBFanArmy2020,@LiamPayne,4
#BBFanArmy2020,@JLo,4
#BBFanArmy2020,@LarryUpdatesAcc,3
#BBFanArmy2020,@realdailypayne,2
#BBFanArmy2020,@Madonna,2
#BBFanArmy2020,@ShawnMendes,2
#BBFanArmy2020,@NiallOfficial,1
#BBFanArmy2020,@GOT7Official,1
#BBFanArmy2020,@HoranUpdatesFR,1
#BBFanArmy2020,@taylorswift13,1
#BBFanArmy2020,@pledis_17,1
#BBFanArmy2020,@hsdaily,1
#BBFanArmy2020,@tommoinfo,1
