src,dst,count
#COVID19,@donwinslow,694
#COVID19,@realDonaldTrump,415
#COVID19,@CNN,265
#COVID19,@AprilDRyan,261
#COVID19,@YourAnonCentral,220
#COVID19,@CMonteroOficial,173
#COVID19,@CDCgov,68
#COVID19,@Laurie_Garrett,67
#COVID19,@VP,57
#COVID19,@WhiteHouse,50
#COVID19,@SeemaCMS,42
#COVID19,@JohnBasham,36
#COVID19,@WybrenvanHaga,29
#COVID19,@ERGOaccess,26
#COVID19,@GOP,25
#COVID19,@JoeBiden,23
#COVID19,@POTUS,22
#COVID19,@DrZweliMkhize,19
#COVID19,@Fginer,18
#COVID19,@senatemajldr,16
#COVID19,@_SemaHernandez_,14
#COVID19,@RepMcCaul,14
#COVID19,@soloyochapin,12
#COVID19,@mauroberruto,12
#COVID19,@Voda_Foundation,12
#COVID19,@AngelaRayner,12
#COVID19,@TomCailleretz,11
#COVID19,@SJMorrison_,11
#COVID19,@Pajaropolitico,11
#COVID19,@Wyn1745,10
#COVID19,@DrSarahJarvis,10
#COVID19,@mmpadellan,10
#COVID19,@DrEricDing,9
#COVID19,@ecuavisa,9
#COVID19,@FLOTUS,9
#COVID19,@IvankaTrump,9
#COVID19,@Don_4all,9
#COVID19,@Emolclause,9
#COVID19,@BorisJohnson,8
#COVID19,@JohnParisella,8
#COVID19,@StevenStackMD,8
#COVID19,@realMJSharma,8
#COVID19,@WHO,7
#COVID19,@steve_hanke,7
#COVID19,@pastormarkburns,7
#COVID19,@ChilangoCom,6
#COVID19,@Mike_Pence,6
#COVID19,@SpeakerPelosi,6
#COVID19,@johncusack,6
#COVID19,@Transport_gc,6
#COVID19,@newsmax,6
#COVID19,@ProjectLincoln,6
#COVID19,@FoxNews,6
#COVID19,@AskLipun,6
#COVID19,@DrDenaGrayson,6
#COVID19,@dm_jajpur,6
#COVID19,@LiamOMaraIV,6
#COVID19,@FBIBoston,5
#COVID19,@senjudiciary,5
#COVID19,@KariJoys,5
#COVID19,@xruiztru,5
#COVID19,@jason_daria,5
#COVID19,@IrmaRaste,5
#COVID19,@XHNews,5
#COVID19,@newwavermt,5
#COVID19,@SheenaParish,5
#COVID19,@RevChuckCurrie,5
#COVID19,@JulieGehring1,5
#COVID19,@RTErdogan,5
#COVID19,@KamalaHarris,5
#COVID19,@HimalayaGlobal,5
#COVID19,@ABC,5
#COVID19,@SenateGOP,5
#COVID19,@AlokPatelMD,5
#COVID19,@R3Thorns,4
#COVID19,@Jali_Cat,4
#COVID19,@WasOnceLou,4
#COVID19,@DKThomp,4
#COVID19,@DrTomFrieden,4
#COVID19,@pick291,4
#COVID19,@GovChristie,4
#COVID19,@KrauseForIowa,4
#COVID19,@grantstern,4
#COVID19,@BlessTheTeacher,4
#COVID19,@EvanKirstel,4
#COVID19,@Twitter,4
#COVID19,@AsaadHannaa,4
#COVID19,@Oespinar1,4
#COVID19,@julianzelizer,4
#COVID19,@JohnStossel,4
#COVID19,@B2Spirit_TT,4
#COVID19,@ALunaSilva,4
#COVID19,@ForNanie,4
#COVID19,@GhenhisKhan,4
#COVID19,@wolfblitzer,4
#COVID19,@AlamoOnTheRise,4
#COVID19,@ScotFreeman1776,4
#COVID19,@Univ_inenglish,4
#COVID19,@MBuhari,4
#COVID19,@KidKool4U,4
#COVID19,@ndtv,3
#COVID19,@matt_cam,3
#COVID19,@TheJusticeDept,3
#COVID19,@latestly,3
#COVID19,@RealSteveCox,3
#COVID19,@charliekirk11,3
#COVID19,@njhousing,3
#COVID19,@MsTaraDowdell,3
#COVID19,@htTweets,3
#COVID19,@jensspahn,3
#COVID19,@ShereefElnahal,3
#COVID19,@MeidasTouch,3
#COVID19,@nytimes,3
#COVID19,@ghoeberx,3
#COVID19,@TeamTrump,3
#COVID19,@TODAYshow,3
#COVID19,@GreenfieldIowa,3
#COVID19,@Winnie_Byanyima,3
#COVID19,@disings,3
#COVID19,@chrislhayes,3
#COVID19,@JoshuaBHoe,3
#COVID19,@BabySavers,3
#COVID19,@INTERPOL_HQ,3
#COVID19,@fuecks,3
#COVID19,@MinPres,3
#COVID19,@PressSec,3
#COVID19,@UKLabour,3
#COVID19,@PeggyStuart,3
#COVID19,@DonaldJTrumpJr,3
#COVID19,@DrVikasPadha,3
#COVID19,@taradublinrocks,3
#COVID19,@KellyannePolls,3
#COVID19,@Kokomothegreat,3
#COVID19,@1gygKh9VJKDYXv8,3
#COVID19,@6108CiaMantto,3
#COVID19,@LindseyGrahamSC,3
#COVID19,@IMAIndiaOrg,3
#COVID19,@ActivistRaising,3
